@400000005e2fd8ac2acb6601 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e2fd8ad191bbf90 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e2fd8ad1f25ec0a #f,-,48,149,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e2fd8af1f37133a #d,-,18,2695,2365,1152,1,0,190844,11832,2695,2367,1153,2692,2365,1143,98,100,0,501,2728;
@400000005e2fd8b11f41a1ed #d,-,18,2695,2365,1154,1,0,191823,11893,2695,2367,1154,2695,2364,1152,98,100,0,501,2730;
@400000005e2fd8b11f4ca5f8 #d,-,18,2695,2364,1180,2,0,192528,11936,2695,2366,1180,2695,2363,1152,98,100,0,501,2732;
@400000005e2fd8b31f5b8714 #d,-,18,2699,2367,1155,3,0,192927,11961,2699,2367,1184,2695,2364,1146,97,100,0,501,2764;
@400000005e2fd8b31f6658d5 #d,-,18,2699,2366,1153,4,0,192990,11965,2699,2367,1155,2699,2365,1152,98,100,0,501,2728;
@400000005e2fd8b51f748544 #d,-,18,2699,2366,1153,4,0,193051,11969,2699,2367,1154,2699,2364,1152,98,100,0,501,2730;
@400000005e2fd8b51f7ed590 #d,-,18,2699,2366,1153,5,0,193095,11971,2699,2367,1154,2699,2365,1152,98,100,0,501,2732;
@400000005e2fd8b71f87463b #d,-,18,2699,2365,1169,6,0,193167,11976,2699,2367,1169,2699,2364,1152,98,100,0,501,2732;
@400000005e2fd8b71f911602 #d,-,18,2702,2366,1153,7,0,193325,11986,2702,2367,1183,2699,2364,1144,97,100,0,501,2758;
@400000005e2fd8b91f99acdd #d,-,18,2700,2364,1154,7,0,193311,11985,2702,2366,1154,2700,2363,1151,99,100,0,501,2726;
@400000005e2fd8b91fa1a475 #d,-,18,2700,2366,1152,8,0,193299,11984,2700,2366,1154,2700,2364,1151,98,100,0,501,2728;
@400000005e2fd8bb1faa5eb3 #d,-,18,2699,2366,1153,9,0,193297,11984,2700,2366,1154,2699,2363,1152,98,100,0,501,2728;
@400000005e2fd8bb1fb53ba1 #d,-,18,2699,2364,1157,10,0,193296,11984,2699,2366,1157,2699,2364,1152,98,100,0,501,2730;
@400000005e2fd8bd1fc53d73 #d,-,18,2702,2366,1159,10,0,193443,11993,2702,2367,1183,2699,2363,1150,98,100,0,501,2755;
@400000005e2fd8bd1fcfb897 #d,-,18,2703,2367,1158,11,0,193502,11997,2703,2367,1161,2702,2365,1157,98,100,0,501,2742;
@400000005e2fd8bf1fe03735 #d,-,18,2704,2365,1152,12,0,193535,11999,2704,2367,1160,2703,2364,1152,98,100,0,501,2744;
@400000005e2fd8bf1feaaf8d #d,-,18,2703,2365,1151,13,0,193508,11997,2704,2367,1152,2703,2364,1150,98,100,0,501,2735;
@400000005e2fd8c11ff32b66 #d,-,18,2702,2367,1152,13,0,193496,11996,2703,2368,1154,2702,2365,1151,99,100,0,501,2728;
@400000005e2fd8c11ff95155 #d,-,18,2704,2367,1145,14,0,193573,12001,2704,2367,1182,2702,2364,1144,98,100,0,501,2749;
@400000005e2fd8c320087fbe #d,-,18,2703,2365,1152,15,0,193554,12000,2704,2367,1154,2703,2365,1145,98,100,0,501,2735;
