@400000005e313079257add0f #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e31307a13cf845f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e31307a19ddb7d2 #f,-,48,221,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e31307c19f2323c #d,-,18,2675,2328,1148,1,0,185640,11509,2678,2329,1150,2675,2328,1147,99,55,0,500,2682;
@400000005e31307e1a03165e #d,-,18,2672,2328,1176,1,0,187944,11652,2675,2328,1180,2672,2327,1148,99,71,0,500,2684;
@400000005e31307e1a0de81f #d,-,18,2672,2329,1149,2,0,188408,11681,2672,2330,1176,2672,2327,1141,98,78,0,500,2710;
@400000005e3130801a1a487b #d,-,18,2670,2330,1149,3,0,188746,11702,2672,2330,1150,2670,2329,1148,99,83,0,500,2684;
@400000005e3130801a248538 #d,-,18,2668,2329,1149,4,0,188968,11716,2670,2330,1150,2668,2328,1148,99,86,0,500,2684;
@400000005e3130821a307f22 #d,-,18,2666,2330,1148,4,0,189124,11725,2668,2330,1150,2666,2328,1147,99,88,0,500,2685;
@400000005e3130821a3b127d #d,-,18,2664,2330,1181,5,0,191951,11901,2666,2330,1181,2664,2329,1148,99,90,0,500,2684;
@400000005e3130841a4add5c #d,-,18,2666,2329,1150,6,0,189576,11753,2666,2330,1181,2664,2328,1142,98,90,0,500,2714;
@400000005e3130841a55077a #d,-,18,2664,2331,1149,7,0,191578,11877,2666,2331,1150,2664,2328,1148,99,92,0,500,2682;
@400000005e3130861a63bcd0 #d,-,18,2662,2332,1149,7,0,191443,11869,2664,2332,1150,2662,2331,1148,99,93,0,500,2685;
@400000005e3130861a6dbb28 #d,-,18,2661,2330,1147,8,0,189701,11761,2662,2332,1149,2661,2330,1147,99,93,0,500,2685;
@400000005e3130881a7afdd4 #d,-,18,2660,2331,1178,9,0,189829,11769,2661,2332,1178,2660,2330,1147,99,93,0,500,2684;
@400000005e3130881a85d708 #d,-,18,2663,2330,1150,10,0,189883,11772,2663,2331,1180,2660,2329,1141,98,94,0,500,2712;
@400000005e31308a1a923b1e #d,-,18,2661,2330,1149,10,0,189893,11773,2663,2331,1150,2661,2330,1147,99,94,0,500,2682;
@400000005e31308a1a9c68f5 #d,-,18,2660,2330,1149,11,0,189902,11773,2661,2330,1150,2660,2328,1148,99,94,0,500,2684;
@400000005e31308c1aa83f7b #d,-,18,2659,2328,1149,12,0,189909,11774,2660,2330,1150,2659,2328,1148,99,95,0,500,2684;
@400000005e31308c1ab2e664 #d,-,18,2658,2328,1174,12,0,189965,11777,2659,2329,1174,2658,2328,1148,99,95,0,500,2684;
@400000005e31308e1ac05b5b #d,-,18,2661,2330,1150,13,0,191048,11845,2661,2330,1181,2658,2328,1142,97,96,0,500,2716;
@400000005e31308e1aca6988 #d,-,18,2659,2328,1149,14,0,191002,11842,2661,2330,1151,2659,2328,1148,99,96,0,500,2680;
@400000005e3130901ad60296 #d,-,18,2659,2327,1150,15,0,190042,11782,2659,2329,1151,2659,2326,1148,99,96,0,500,2685;
@400000005e3130901ae0d811 #d,-,18,2658,2330,1148,15,0,190922,11837,2659,2330,1150,2658,2327,1148,98,96,0,500,2685;
@400000005e3130921aef37b8 #d,-,18,2657,2330,1163,16,0,190926,11837,2658,2331,1163,2657,2330,1148,98,96,0,500,2687;
@400000005e3130921af93610 #d,-,18,2661,2329,1150,17,0,190957,11839,2661,2331,1180,2657,2329,1141,97,97,0,500,2719;
@400000005e3130941b04def4 #d,-,18,2660,2330,1150,18,0,190167,11790,2661,2330,1153,2660,2328,1149,99,96,0,500,2685;
@400000005e3130941b0fa853 #d,-,18,2659,2329,1150,18,0,190170,11790,2660,2331,1151,2659,2329,1150,98,96,0,500,2687;
@400000005e3130961b1fd8b6 #d,-,18,2659,2330,1151,19,0,190177,11791,2659,2330,1151,2659,2329,1150,98,97,0,500,2689;
@400000005e3130961b2a0a46 #d,-,18,2658,2328,1153,20,0,190184,11791,2659,2331,1153,2658,2328,1150,98,97,0,500,2687;
@400000005e3130981b3a4a7e #d,-,18,2662,2330,1149,21,0,190257,11795,2662,2330,1187,2658,2328,1143,98,97,0,500,2716;
@400000005e3130981b4473ad #d,-,18,2661,2328,1151,21,0,190264,11796,2662,2331,1153,2661,2328,1149,98,97,0,500,2691;
@400000005e31309a1b516464 #d,-,18,2660,2328,1151,22,0,190271,11796,2661,2329,1152,2660,2327,1150,98,97,0,500,2687;
@400000005e31309a1b5c1b23 #d,-,18,2660,2331,1150,23,0,190270,11796,2660,2331,1151,2660,2328,1149,98,97,0,500,2689;
@400000005e31309c1b6b3d70 #d,-,18,2659,2331,1149,24,0,190851,11832,2660,2331,1151,2659,2330,1149,98,97,0,500,2687;
@400000005e31309c1b7572bb #d,-,18,2662,2330,1144,24,0,190333,11800,2662,2331,1181,2659,2329,1143,98,97,0,500,2707;
@400000005e31309e1b85ca3b #d,-,18,2662,2329,1150,25,0,190882,11834,2662,2330,1152,2662,2328,1144,98,97,0,500,2698;
@400000005e31309e1b8fe0ca #d,-,18,2661,2329,1152,26,0,190337,11800,2662,2330,1152,2661,2328,1150,99,97,0,500,2687;
@400000005e3130a01b9edce8 #d,-,18,2660,2329,1152,26,0,190853,11832,2661,2329,1152,2660,2329,1150,98,98,0,500,2689;
@400000005e3130a01ba9a28d #d,-,18,2659,2327,1151,27,0,190843,11832,2660,2329,1152,2659,2327,1150,98,98,0,500,2687;
@400000005e3130a21bba19b8 #d,-,18,2662,2328,1144,28,0,190392,11804,2662,2329,1182,2659,2327,1144,98,97,0,500,2701;
@400000005e3130a21bc479da #d,-,18,2662,2330,1150,29,0,190388,11804,2662,2330,1152,2662,2328,1144,98,97,0,500,2703;
@400000005e3130a41bd38d40 #d,-,18,2661,2329,1151,29,0,190387,11804,2662,2331,1152,2661,2329,1150,99,98,0,500,2687;
