@400000005e3285b5259162e0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e3285b613db0625 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e3285b619e624c4 #f,-,48,29,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e3285b819fab676 #d,-,18,2798,2356,1184,1,0,189671,11759,2803,2356,1185,2798,2355,1184,99,55,0,499,2803;
@400000005e3285ba1a047ddb #d,-,18,2795,2356,1184,1,0,192816,11954,2798,2357,1185,2795,2354,1182,99,71,0,499,2801;
@400000005e3285ba1a0e74c0 #d,-,18,2790,2354,1209,2,0,194363,12050,2795,2356,1209,2790,2353,1171,99,78,0,499,2794;
@400000005e3285bc1a176d64 #d,-,18,2789,2355,1180,3,0,195130,12098,2790,2355,1210,2789,2353,1174,99,83,0,499,2812;
@400000005e3285bc1a1e0139 #d,-,18,2784,2352,1173,4,0,195296,12108,2789,2355,1180,2784,2352,1167,100,86,0,499,2784;
@400000005e3285be1a267d11 #d,-,18,2778,2352,1174,5,0,195541,12123,2784,2354,1178,2778,2352,1173,100,88,0,499,2778;
@400000005e3285be1a2b9d4d #d,-,18,2774,2355,1174,5,0,198195,12288,2778,2355,1175,2774,2352,1173,99,90,0,499,2776;
@400000005e3285c01a3a5391 #d,-,18,2770,2353,1202,6,0,198140,12284,2774,2356,1202,2770,2353,1172,99,91,0,499,2774;
@400000005e3285c01a4488dc #d,-,18,2770,2356,1175,7,0,196042,12154,2770,2357,1204,2770,2353,1165,98,91,0,499,2805;
@400000005e3285c21a4cd8ee #d,-,18,2765,2358,1165,8,0,195977,12150,2770,2358,1175,2765,2354,1162,100,92,0,499,2765;
@400000005e3285c21a521161 #d,-,18,2760,2356,1166,8,0,195969,12150,2765,2358,1172,2760,2356,1165,100,93,0,499,2760;
@400000005e3285c41a5a75f1 #d,-,18,2757,2356,1168,9,0,195945,12148,2760,2358,1168,2757,2356,1165,99,93,0,499,2764;
@400000005e3285c41a649b66 #d,-,18,2752,2357,1184,10,0,195885,12144,2757,2357,1184,2752,2354,1157,99,94,0,499,2757;
@400000005e3285c61a7485ef #d,-,18,2752,2355,1166,11,0,195914,12146,2752,2357,1194,2752,2355,1156,98,94,0,499,2780;
@400000005e3285c61a7ea303 #d,-,18,2747,2353,1166,11,0,195850,12142,2752,2355,1167,2747,2352,1164,99,94,0,499,2749;
@400000005e3285c81a86d902 #d,-,18,2744,2351,1165,12,0,195800,12139,2747,2354,1167,2744,2350,1165,99,95,0,499,2753;
@400000005e3285c81a8ff50a #d,-,18,2741,2353,1166,13,0,195756,12136,2744,2353,1167,2741,2350,1165,99,95,0,499,2753;
@400000005e3285ca1a9f6df4 #d,-,18,2739,2355,1176,14,0,195728,12135,2741,2355,1176,2739,2352,1163,99,95,0,499,2753;
@400000005e3285ca1aa970f4 #d,-,18,2740,2353,1163,14,0,195752,12136,2740,2355,1196,2739,2353,1151,98,95,0,499,2781;
@400000005e3285cc1ab1d495 #d,-,18,2736,2355,1163,15,0,195701,12133,2740,2355,1165,2736,2352,1162,99,96,0,499,2742;
@400000005e3285cc1ab737df #d,-,18,2733,2353,1169,16,0,195684,12132,2736,2355,1171,2733,2352,1162,99,96,0,499,2749;
@400000005e3285ce1ac03c9f #d,-,18,2733,2350,1161,17,0,195650,12130,2733,2353,1169,2733,2350,1161,98,96,0,499,2762;
@400000005e3285ce1ac9837e #d,-,18,2731,2353,1168,17,0,195628,12128,2733,2353,1169,2731,2350,1161,99,96,0,499,2748;
@400000005e3285d01ad8d905 #d,-,18,2733,2354,1162,18,0,196469,12181,2733,2355,1196,2731,2351,1157,98,97,0,499,2783;
@400000005e3285d01ae39737 #d,-,18,2730,2353,1159,19,0,195601,12127,2733,2355,1162,2730,2352,1158,99,96,0,499,2744;
@400000005e3285d21aec2a57 #d,-,18,2727,2354,1159,20,0,195543,12123,2730,2355,1161,2727,2353,1158,99,97,0,499,2739;
@400000005e3285d21af13bac #d,-,18,2724,2355,1159,20,0,195481,12119,2727,2355,1159,2724,2353,1158,99,97,0,499,2739;
@400000005e3285d41b001467 #d,-,18,2722,2354,1157,21,0,195427,12116,2724,2355,1160,2722,2353,1157,99,97,0,499,2741;
@400000005e3285d41b0a45f7 #d,-,18,2724,2356,1162,22,0,195478,12119,2724,2356,1198,2722,2353,1157,98,97,0,499,2764;
@400000005e3285d61b158fdc #d,-,18,2723,2356,1151,23,0,195421,12116,2724,2356,1166,2723,2354,1150,98,97,0,499,2760;
@400000005e3285d61b2026f1 #d,-,18,2720,2353,1158,23,0,195378,12113,2723,2356,1164,2720,2353,1151,99,97,0,499,2728;
