@400000005e3178b8262a092c #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e3178b9147d418b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e3178b91a8b1aa8 #f,-,48,237,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e3178bb1a9f00fd #d,-,18,2723,2354,1167,1,0,189779,11766,2725,2354,1171,2723,2351,1167,98,100,0,500,2757;
@400000005e3178bd1aad0a08 #d,-,18,2723,2355,1167,1,0,191873,11896,2723,2355,1169,2723,2352,1167,98,100,0,500,2753;
@400000005e3178bd1ab5205d #d,-,18,2722,2355,1168,2,0,192801,11953,2723,2355,1169,2722,2352,1167,98,100,0,500,2753;
@400000005e3178bf1ac48a60 #d,-,18,2726,2354,1154,3,0,193533,11999,2726,2356,1195,2722,2353,1152,98,100,0,500,2778;
@400000005e3178bf1acf47a4 #d,-,18,2722,2356,1162,4,0,197230,12228,2726,2357,1165,2722,2354,1154,99,100,0,500,2741;
@400000005e3178c11adde6a0 #d,-,18,2721,2357,1161,4,0,193705,12009,2722,2359,1162,2721,2356,1160,99,100,0,500,2746;
@400000005e3178c11ae6d329 #d,-,18,2719,2357,1161,5,0,193764,12013,2721,2358,1162,2719,2357,1160,99,100,0,500,2742;
@400000005e3178c31af65475 #d,-,18,2718,2359,1161,6,0,193809,12016,2719,2359,1161,2718,2357,1160,99,100,0,500,2742;
@400000005e3178c31aff9b54 #d,-,18,2719,2358,1155,7,0,194015,12028,2719,2360,1188,2718,2357,1153,98,100,0,500,2758;
@400000005e3178c51b0f4a43 #d,-,18,2718,2359,1154,7,0,195873,12144,2719,2359,1164,2718,2356,1154,98,100,0,500,2751;
@400000005e3178c51b182c8d #d,-,18,2716,2358,1159,8,0,193982,12026,2718,2359,1159,2716,2357,1154,99,100,0,500,2735;
@400000005e3178c71b2850d4 #d,-,18,2714,2359,1158,9,0,193960,12025,2716,2359,1159,2714,2356,1158,99,100,0,500,2737;
@400000005e3178c71b3360fb #d,-,18,2713,2357,1158,10,0,195389,12114,2714,2359,1160,2713,2357,1158,99,100,0,500,2737;
@400000005e3178c91b431c05 #d,-,18,2714,2360,1142,10,0,194023,12029,2714,2361,1186,2713,2357,1142,98,100,0,500,2748;
@400000005e3178c91b4df539 #d,-,18,2712,2360,1154,11,0,193954,12025,2714,2361,1157,2712,2358,1142,99,100,0,500,2739;
@400000005e3178cb1b5ea356 #d,-,18,2709,2358,1154,12,0,193887,12021,2712,2361,1155,2709,2358,1152,99,100,0,500,2728;
@400000005e3178cb1b6968fc #d,-,18,2707,2361,1152,13,0,194960,12087,2709,2361,1155,2707,2357,1152,99,100,0,501,2728;
@400000005e3178cd1b7a1e8c #d,-,18,2706,2359,1153,13,0,193804,12015,2707,2361,1155,2706,2359,1151,99,100,0,501,2728;
@400000005e3178cd1b84e078 #d,-,18,2705,2359,1152,14,0,193872,12020,2706,2360,1183,2705,2359,1152,99,100,0,501,2732;
@400000005e3178cf1b9589ed #d,-,18,2706,2361,1153,15,0,193822,12016,2706,2362,1156,2705,2359,1146,98,100,0,501,2749;
@400000005e3178cf1ba06f3d #d,-,18,2704,2360,1155,15,0,194697,12071,2706,2361,1155,2704,2357,1153,99,100,0,501,2728;
@400000005e3178d11bb0973e #d,-,18,2703,2361,1154,16,0,193759,12013,2704,2361,1155,2703,2359,1153,99,100,0,500,2730;
@400000005e3178d11bbbb380 #d,-,18,2702,2359,1154,17,0,193729,12011,2703,2361,1155,2702,2358,1152,99,100,0,500,2728;
