@400000005e33dc6702d5ffaa #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e33dc672cba8f64 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33dc6732c0d3a0 #f,-,48,77,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e33dc6932d14711 #d,-,18,2791,2359,1179,0,0,187170,11604,2797,2359,1210,2791,2357,1179,99,100,0,500,2817;
@400000005e33dc6b32daf72e #d,-,18,2786,2360,1178,1,0,191430,11868,2791,2360,1179,2786,2358,1177,99,100,0,500,2789;
@400000005e33dc6b32e46171 #d,-,18,2783,2359,1178,2,0,193248,11981,2786,2360,1179,2783,2359,1177,99,100,0,500,2787;
@400000005e33dc6d32f58c5a #d,-,18,2779,2357,1178,3,0,194191,12039,2783,2359,1179,2779,2356,1177,99,100,0,500,2787;
@400000005e33dc6d32ffbdeb #d,-,18,2776,2357,1208,4,0,195185,12101,2779,2357,1210,2776,2356,1177,99,100,0,500,2785;
@400000005e33dc6f3307f2fb #d,-,18,2776,2357,1169,4,0,195344,12111,2776,2358,1208,2776,2357,1167,98,100,0,500,2812;
@400000005e33dc6f3310ad39 #d,-,18,2771,2357,1173,5,0,195548,12124,2776,2357,1176,2771,2357,1169,100,100,0,500,2771;
@400000005e33dc713320745f #d,-,18,2768,2356,1173,6,0,195678,12132,2771,2357,1174,2768,2356,1172,99,100,0,500,2776;
@400000005e33dc71332b22bc #d,-,18,2765,2356,1173,7,0,195780,12138,2768,2357,1176,2765,2355,1171,99,100,0,500,2776;
@400000005e33dc73333a695b #d,-,18,2761,2358,1196,7,0,195914,12146,2765,2358,1196,2761,2356,1163,99,100,0,500,2771;
@400000005e33dc7333449644 #d,-,18,2760,2358,1169,8,0,195959,12149,2761,2358,1196,2760,2356,1164,99,100,0,500,2787;
@400000005e33dc753353c955 #d,-,18,2757,2359,1166,9,0,195935,12147,2760,2359,1169,2757,2358,1166,99,100,0,500,2765;
@400000005e33dc75335ddef5 #d,-,18,2754,2358,1167,10,0,195939,12148,2757,2359,1172,2754,2358,1166,99,100,0,500,2764;
@400000005e33dc77336c0c52 #d,-,18,2751,2357,1158,10,0,195867,12143,2754,2359,1169,2751,2356,1157,99,100,0,500,2765;
@400000005e33dc773376d5b2 #d,-,18,2746,2356,1194,11,0,195896,12145,2751,2357,1194,2746,2356,1158,99,100,0,500,2748;
@400000005e33dc793382cbe2 #d,-,18,2747,2356,1167,12,0,195901,12145,2747,2357,1197,2746,2356,1158,98,100,0,500,2785;
@400000005e33dc79338d5b83 #d,-,18,2744,2356,1166,13,0,196995,12213,2747,2357,1167,2744,2356,1164,99,100,0,500,2753;
@400000005e33dc7b3398f84b #d,-,18,2741,2354,1166,13,0,196892,12207,2744,2357,1168,2741,2353,1165,99,100,0,500,2755;
@400000005e33dc7b33a3bdf1 #d,-,18,2739,2353,1163,14,0,195770,12137,2741,2354,1167,2739,2352,1161,99,100,0,500,2755;
@400000005e33dc7d33b2389a #d,-,18,2736,2350,1188,15,0,195754,12136,2739,2353,1188,2736,2350,1163,99,100,0,500,2746;
@400000005e33dc7d33bcf313 #d,-,18,2737,2352,1165,16,0,195775,12138,2737,2352,1197,2736,2350,1158,98,100,0,500,2783;
@400000005e33dc7f33cae11c #d,-,18,2735,2351,1164,16,0,195731,12135,2737,2352,1166,2735,2350,1164,99,100,0,500,2746;
@400000005e33dc7f33d502d7 #d,-,18,2732,2353,1163,17,0,196531,12184,2735,2354,1166,2732,2350,1163,99,100,0,500,2751;
@400000005e33dc8133e47bc2 #d,-,18,2730,2355,1164,18,0,195654,12130,2732,2355,1165,2730,2353,1162,99,100,0,500,2749;
@400000005e33dc8133ef460f #d,-,18,2729,2353,1174,19,0,195621,12128,2730,2355,1174,2729,2353,1162,99,100,0,500,2748;
@400000005e33dc8333ff7a2b #d,-,18,2731,2353,1154,19,0,195626,12128,2731,2354,1196,2729,2352,1150,98,100,0,500,2781;
@400000005e33dc833409c6be #d,-,18,2727,2355,1166,20,0,195580,12126,2731,2355,1166,2727,2353,1154,99,100,0,500,2730;
@400000005e33dc85341966c6 #d,-,18,2727,2355,1166,21,0,195568,12125,2727,2355,1169,2727,2354,1166,99,100,0,500,2753;
@400000005e33dc8534239c11 #d,-,18,2726,2355,1166,22,0,195556,12124,2727,2355,1168,2726,2354,1166,98,100,0,500,2757;
@400000005e33dc8734335f7c #d,-,18,2726,2355,1168,22,0,195546,12123,2726,2356,1168,2726,2354,1166,98,100,0,500,2755;
@400000005e33dc87343e0dd9 #d,-,18,2729,2356,1157,23,0,195577,12125,2729,2356,1197,2726,2355,1152,98,100,0,500,2783;
@400000005e33dc89344d8a7d #d,-,18,2726,2355,1159,24,0,195529,12122,2729,2356,1162,2726,2355,1157,99,100,0,500,2741;
@400000005e33dc8934582dad #d,-,18,2724,2355,1159,25,0,195488,12120,2726,2356,1161,2724,2355,1159,99,100,0,500,2741;
@400000005e33dc8b34680000 #d,-,18,2721,2356,1160,25,0,195446,12117,2724,2357,1161,2721,2355,1158,99,100,0,500,2739;
@400000005e33dc8b347248d9 #d,-,18,2720,2356,1152,26,0,195394,12114,2721,2357,1163,2720,2356,1151,99,100,0,500,2742;
@400000005e33dc8d3482a413 #d,-,18,2720,2356,1153,27,0,195395,12114,2720,2357,1186,2720,2356,1150,98,100,0,500,2749;
@400000005e33dc8d348cd95d #d,-,18,2718,2356,1156,28,0,195350,12111,2720,2357,1161,2718,2356,1153,99,100,0,500,2741;
@400000005e33dc8f349bdddd #d,-,18,2715,2356,1158,28,0,195302,12108,2718,2357,1158,2715,2356,1156,99,100,0,500,2733;
@400000005e33dc8f34a6e1e9 #d,-,18,2714,2357,1156,29,0,195259,12106,2715,2357,1158,2714,2356,1154,99,100,0,500,2733;
@400000005e33dc9134b69cf3 #d,-,18,2712,2356,1157,30,0,195218,12103,2714,2358,1157,2712,2356,1155,99,100,0,500,2733;
@400000005e33dc9134c0de59 #d,-,18,2713,2355,1149,31,0,195229,12104,2713,2356,1188,2712,2355,1149,98,100,0,500,2749;
@400000005e33dc9334cea18a #d,-,18,2713,2354,1156,31,0,195188,12101,2713,2356,1159,2713,2353,1149,98,100,0,500,2746;
@400000005e33dc9334d8d31b #d,-,18,2711,2355,1156,32,0,195151,12099,2713,2355,1158,2711,2353,1156,99,100,0,500,2732;
@400000005e33dc9534e5ceff #d,-,18,2709,2354,1156,33,0,195114,12097,2711,2355,1157,2709,2353,1155,99,100,0,500,2733;
@400000005e33dc9534f0c424 #d,-,18,2708,2355,1156,34,0,195078,12094,2709,2355,1157,2708,2353,1155,99,100,0,500,2733;
@400000005e33dc9735008f03 #d,-,18,2709,2357,1152,34,0,195093,12095,2709,2357,1188,2708,2354,1152,98,100,0,500,2742;
@400000005e33dc97350ae309 #d,-,18,2710,2357,1156,35,0,195060,12093,2710,2357,1158,2709,2356,1149,98,100,0,500,2751;
@400000005e33dc99351aed3d #d,-,18,2709,2356,1157,36,0,195027,12091,2710,2357,1158,2709,2356,1155,99,100,0,500,2733;
@400000005e33dc993525166c #d,-,18,2708,2355,1157,37,0,194994,12089,2709,2356,1158,2708,2355,1155,99,100,0,500,2733;
@400000005e33dc9b3532f58e #d,-,18,2707,2353,1158,37,0,194967,12087,2708,2355,1158,2707,2352,1156,99,100,0,500,2733;
@400000005e33dc9b353dc2a6 #d,-,18,2707,2354,1162,38,0,194987,12089,2707,2354,1189,2707,2353,1158,98,100,0,500,2737;
@400000005e33dc9d354a93b3 #d,-,18,2709,2354,1157,39,0,194954,12087,2709,2355,1162,2707,2353,1149,98,100,0,500,2757;
@400000005e33dc9d3554c18a #d,-,18,2707,2354,1148,40,0,194919,12084,2709,2355,1157,2707,2353,1148,99,100,0,500,2733;
@400000005e33dc9f355f3cae #d,-,18,2705,2355,1154,40,0,194881,12082,2707,2355,1155,2705,2353,1147,99,100,0,500,2719;
@400000005e33dc9f3569dc24 #d,-,18,2703,2355,1154,41,0,194846,12080,2705,2355,1155,2703,2355,1152,99,100,0,500,2726;
@400000005e33dca135776863 #d,-,18,2702,2353,1172,42,0,194854,12081,2703,2355,1185,2702,2353,1152,99,100,0,500,2726;
@400000005e33dca13581b99e #d,-,18,2704,2349,1159,43,0,194819,12078,2704,2356,1172,2702,2347,1147,98,100,0,500,2751;
@400000005e33dca3358f3608 #d,-,18,2703,2356,1153,43,0,195124,12097,2704,2356,1159,2703,2349,1152,99,100,0,500,2728;
@400000005e33dca3359a179e #d,-,18,2702,2353,1156,44,0,195089,12095,2703,2356,1157,2702,2352,1152,99,100,0,500,2724;
@400000005e33dca535aa5f49 #d,-,18,2701,2355,1153,45,0,194732,12073,2702,2355,1156,2701,2353,1153,99,100,0,500,2728;
@400000005e33dca535b4d6b3 #d,-,18,2700,2354,1184,46,0,195060,12093,2701,2355,1186,2700,2354,1153,99,100,0,500,2726;
@400000005e33dca735c476bb #d,-,18,2702,2354,1155,46,0,195024,12091,2702,2354,1184,2700,2353,1147,98,100,0,500,2755;
@400000005e33dca735ceb468 #d,-,18,2702,2351,1154,47,0,194687,12070,2702,2354,1156,2702,2351,1153,99,100,0,500,2726;
@400000005e33dca935dde2d0 #d,-,18,2700,2350,1154,48,0,194963,12087,2702,2351,1155,2700,2350,1153,99,100,0,500,2726;
