@400000005e37c1ab26355311 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e37c1ac148c58ab #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e37c1ac1a908dc7 #f,-,48,237,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e37c1ae1a9af1a2 #d,-,18,2784,2376,1170,0,0,1244142,77136,2789,2376,1170,2731,2375,1163,99,100,0,500,2787;
@400000005e37c1b01aa40637 #d,-,18,2780,2377,1166,1,0,194010,12028,2784,2378,1170,2780,2376,1166,99,100,0,500,2790;
@400000005e37c1b01aa92de6 #d,-,18,2777,2378,1169,2,0,195003,12090,2780,2378,1169,2777,2377,1166,99,100,0,500,2785;
@400000005e37c1b21ab47146 #d,-,18,2774,2377,1167,3,0,195509,12121,2777,2378,1169,2774,2377,1167,99,100,0,500,2787;
@400000005e37c1b21abe7711 #d,-,18,2775,2379,1163,3,0,196212,12165,2775,2379,1198,2774,2377,1161,98,100,0,500,2812;
@400000005e37c1b41acdd13f #d,-,18,2771,2378,1168,4,0,196365,12174,2775,2379,1169,2771,2378,1163,99,100,0,500,2787;
@400000005e37c1b41ad87381 #d,-,18,2769,2378,1167,5,0,196492,12182,2771,2379,1169,2769,2378,1165,99,100,0,500,2785;
@400000005e37c1b61ae7fc40 #d,-,18,2766,2377,1167,6,0,196561,12186,2769,2378,1168,2766,2376,1166,99,100,0,500,2783;
@400000005e37c1b61af2318b #d,-,18,2764,2377,1166,6,0,196628,12190,2766,2377,1169,2764,2375,1166,99,100,0,500,2785;
@400000005e37c1b81afca8f5 #d,-,18,2766,2377,1160,7,0,196870,12205,2766,2377,1199,2764,2376,1160,98,100,0,500,2803;
@400000005e37c1b81b07214e #d,-,18,2764,2375,1168,8,0,196898,12207,2766,2377,1169,2764,2375,1160,98,100,0,500,2792;
@400000005e37c1ba1b17556a #d,-,18,2762,2376,1167,9,0,196903,12207,2764,2377,1168,2762,2375,1165,99,100,0,500,2783;
@400000005e37c1ba1b21a5b7 #d,-,18,2761,2376,1168,10,0,196923,12209,2762,2377,1169,2761,2375,1167,99,100,0,500,2781;
@400000005e37c1bc1b2fcf5a #d,-,18,2759,2376,1169,10,0,196934,12209,2761,2376,1170,2759,2375,1166,99,100,0,500,2783;
@400000005e37c1bc1b39dd87 #d,-,18,2760,2376,1162,11,0,197091,12219,2760,2376,1199,2759,2376,1162,98,100,0,500,2797;
@400000005e37c1be1b42807d #d,-,18,2760,2376,1167,12,0,198293,12294,2760,2376,1169,2760,2375,1161,98,100,0,500,2799;
@400000005e37c1be1b491bc5 #d,-,18,2758,2374,1161,13,0,198147,12285,2760,2376,1167,2758,2374,1157,99,100,0,500,2776;
@400000005e37c1c01b52a87e #d,-,18,2755,2374,1163,13,0,198058,12279,2758,2374,1168,2755,2374,1161,99,100,0,500,2767;
@400000005e37c1c01b5ca7c4 #d,-,18,2752,2374,1164,14,0,197961,12273,2755,2374,1165,2752,2373,1163,99,100,0,500,2773;
@400000005e37c1c21b6d21ba #d,-,18,2752,2374,1165,15,0,197987,12275,2752,2374,1195,2752,2373,1163,99,100,0,500,2776;
@400000005e37c1c21b7730d5 #d,-,18,2751,2372,1155,16,0,197836,12265,2752,2374,1165,2751,2372,1154,98,100,0,500,2789;
@400000005e37c1c41b7fc3f6 #d,-,18,2748,2372,1159,16,0,196847,12204,2751,2372,1163,2748,2371,1155,99,100,0,500,2757;
@400000005e37c1c41b879383 #d,-,18,2745,2371,1159,17,0,196782,12200,2748,2372,1159,2745,2371,1158,99,100,0,500,2760;
@400000005e37c1c61b9022e9 #d,-,18,2743,2372,1159,18,0,196731,12197,2745,2372,1162,2743,2371,1159,99,100,0,500,2760;
@400000005e37c1c61b9704f9 #d,-,18,2742,2371,1172,19,0,196779,12200,2743,2372,1191,2742,2371,1158,99,100,0,500,2764;
@400000005e37c1c81b9f8bff #d,-,18,2742,2373,1159,19,0,197467,12242,2742,2373,1172,2742,2371,1152,98,100,0,500,2787;
@400000005e37c1c81ba89478 #d,-,18,2740,2372,1153,20,0,197353,12235,2742,2373,1159,2740,2371,1149,99,100,0,500,2758;
@400000005e37c1ca1bb15e8b #d,-,18,2737,2372,1155,21,0,196569,12187,2740,2373,1158,2737,2371,1153,99,100,0,500,2746;
@400000005e37c1ca1bb7c015 #d,-,18,2734,2374,1154,22,0,197178,12225,2737,2374,1156,2734,2372,1154,99,100,0,500,2751;
