@400000005e3cf44e0883086b #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e3cf44e32705263 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e3cf44e387b80d7 #f,-,48,143,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e3cf450388c16bd #d,-,18,2670,2367,1136,1,0,189563,11752,2671,2367,1165,2668,2364,1136,98,100,0,500,2700;
@400000005e3cf45238999b89 #d,-,18,2669,2368,1137,1,0,190227,11794,2670,2368,1137,2669,2367,1135,98,100,0,500,2698;
@400000005e3cf45238a3f7f1 #d,-,18,2669,2364,1137,2,0,196115,12159,2669,2368,1138,2669,2364,1136,98,100,0,500,2701;
@400000005e3cf45438afcf65 #d,-,18,2669,2367,1136,3,0,195003,12090,2669,2367,1138,2669,2362,1136,98,100,0,500,2700;
@400000005e3cf45438b9d9d9 #d,-,18,2673,2367,1155,3,0,191183,11853,2673,2367,1167,2669,2367,1135,98,100,0,500,2726;
@400000005e3cf45638c251f7 #d,-,18,2672,2366,1137,4,0,191123,11849,2673,2368,1155,2672,2365,1129,98,100,0,500,2700;
@400000005e3cf45638c71423 #d,-,18,2671,2365,1136,5,0,191136,11850,2672,2366,1137,2671,2365,1136,98,100,0,500,2700;
@400000005e3cf45838d583a0 #d,-,18,2671,2367,1135,6,0,191134,11850,2671,2368,1139,2671,2363,1134,98,100,0,500,2700;
@400000005e3cf45838dff397 #d,-,18,2671,2366,1139,6,0,191154,11851,2671,2368,1139,2671,2366,1135,98,100,0,500,2701;
@400000005e3cf45a38e84851 #d,-,18,2674,2365,1165,7,0,191367,11864,2674,2367,1168,2671,2365,1135,98,100,0,500,2721;
@400000005e3cf45a38f2bc02 #d,-,18,2673,2365,1136,8,0,191336,11862,2674,2366,1165,2673,2365,1130,98,100,0,500,2707;
@400000005e3cf45c3901fee8 #d,-,18,2672,2367,1138,9,0,191327,11862,2673,2367,1139,2672,2363,1135,98,100,0,500,2700;
@400000005e3cf45c390c2bd0 #d,-,18,2674,2367,1144,9,0,191415,11867,2674,2368,1145,2672,2367,1138,98,100,0,500,2716;
@400000005e3cf45e391b4b52 #d,-,18,2675,2367,1142,10,0,191469,11871,2675,2368,1144,2674,2367,1142,98,100,0,500,2714;
@400000005e3cf45e39259b9f #d,-,18,2676,2366,1167,11,0,191565,11877,2676,2368,1167,2675,2366,1134,98,100,0,500,2717;
@400000005e3cf460392ff44e #d,-,18,2676,2367,1136,12,0,191564,11877,2676,2368,1167,2676,2363,1131,98,100,0,500,2712;
@400000005e3cf460393ae4ca #d,-,18,2675,2367,1136,12,0,191538,11875,2676,2367,1137,2675,2366,1136,99,100,0,500,2700;
@400000005e3cf462394b28bc #d,-,18,2674,2367,1135,13,0,191521,11874,2675,2368,1138,2674,2366,1135,99,100,0,500,2700;
@400000005e3cf462395536e9 #d,-,18,2673,2368,1137,14,0,191512,11873,2674,2368,1138,2673,2366,1135,98,100,0,500,2701;
@400000005e3cf464395dceb1 #d,-,18,2675,2369,1164,15,0,191556,11876,2675,2369,1164,2673,2368,1135,98,100,0,500,2708;
@400000005e3cf4643968883b #d,-,18,2675,2369,1138,15,0,191575,11877,2675,2369,1168,2675,2368,1128,98,100,0,500,2721;
@400000005e3cf466397113e9 #d,-,18,2675,2369,1135,16,0,191560,11876,2675,2370,1138,2675,2366,1135,99,100,0,500,2700;
@400000005e3cf46639765788 #d,-,18,2674,2367,1137,17,0,191550,11876,2675,2369,1138,2674,2367,1135,99,100,0,500,2701;
@400000005e3cf468397f1580 #d,-,18,2673,2367,1135,18,0,192317,11923,2674,2367,1138,2673,2366,1134,99,100,0,500,2700;
@400000005e3cf46839859e28 #d,-,18,2673,2369,1154,18,0,192291,11922,2673,2370,1154,2673,2367,1133,99,100,0,500,2700;
@400000005e3cf46a39959024 #d,-,18,2675,2367,1136,19,0,192300,11922,2675,2370,1166,2673,2366,1128,98,100,0,500,2724;
@400000005e3cf46a399fa20b #d,-,18,2673,2367,1136,20,0,192261,11920,2675,2368,1137,2673,2367,1134,99,100,0,500,2700;
@400000005e3cf46c39aaf098 #d,-,18,2673,2370,1136,21,0,192220,11917,2673,2370,1136,2673,2367,1134,99,100,0,500,2700;
@400000005e3cf46c39b600bf #d,-,18,2672,2369,1135,21,0,191531,11874,2673,2370,1136,2672,2369,1134,98,100,0,500,2700;
@400000005e3cf46e39beaee2 #d,-,18,2672,2370,1142,22,0,191528,11874,2672,2371,1142,2672,2367,1135,98,100,0,500,2700;
@400000005e3cf46e39c90b4a #d,-,18,2674,2369,1134,23,0,191567,11877,2674,2371,1166,2672,2369,1127,98,100,0,500,2724;
@400000005e3cf47039d363f8 #d,-,18,2673,2369,1134,23,0,191553,11876,2674,2369,1136,2673,2369,1134,99,100,0,500,2700;
@400000005e3cf47039ddb8ed #d,-,18,2672,2369,1134,24,0,191536,11875,2673,2369,1136,2672,2369,1134,99,100,0,500,2698;
@400000005e3cf47239ecd781 #d,-,18,2671,2368,1134,25,0,191524,11874,2672,2369,1138,2671,2366,1132,98,100,0,500,2698;
@400000005e3cf47239f79d26 #d,-,18,2670,2368,1134,26,0,191510,11873,2671,2369,1136,2670,2368,1133,98,100,0,500,2698;
@400000005e3cf4743a008a9d #d,-,18,2673,2370,1133,26,0,191555,11876,2673,2370,1167,2670,2368,1127,98,100,0,500,2726;
@400000005e3cf4743a063fdc #d,-,18,2673,2369,1135,27,0,191546,11875,2673,2370,1137,2673,2369,1133,99,100,0,500,2700;
@400000005e3cf4763a11cccf #d,-,18,2672,2371,1135,28,0,191538,11875,2673,2371,1136,2672,2369,1134,98,100,0,500,2700;
@400000005e3cf4763a1bf244 #d,-,18,2671,2367,1134,29,0,191527,11874,2672,2371,1136,2671,2367,1134,98,100,0,500,2701;
@400000005e3cf4783a2b20ad #d,-,18,2671,2370,1136,29,0,191520,11874,2671,2370,1137,2671,2366,1134,98,100,0,500,2700;
@400000005e3cf4783a3620ff #d,-,18,2674,2371,1129,30,0,191559,11876,2674,2371,1166,2671,2368,1128,98,100,0,500,2728;
@400000005e3cf47a3a40db77 #d,-,18,2673,2371,1135,31,0,191552,11876,2674,2371,1136,2673,2371,1129,99,100,0,500,2700;
@400000005e3cf47a3a4b280a #d,-,18,2674,2367,1142,32,0,191571,11877,2674,2371,1143,2673,2367,1135,98,100,0,500,2716;
@400000005e3cf47c3a5b6bfc #d,-,18,2676,2369,1142,32,0,191588,11878,2676,2370,1145,2674,2366,1139,98,100,0,500,2714;
@400000005e3cf47c3a658db7 #d,-,18,2676,2369,1141,33,0,191599,11879,2676,2370,1142,2676,2368,1140,98,100,0,500,2714;
@400000005e3cf47e3a703fce #d,-,18,2681,2369,1134,34,0,191661,11882,2681,2369,1173,2676,2368,1134,97,100,0,500,2746;
@400000005e3cf47e3a7afa46 #d,-,18,2681,2366,1142,35,0,191670,11883,2681,2369,1143,2681,2366,1134,98,100,0,500,2710;
@400000005e3cf4803a8ae889 #d,-,18,2681,2370,1139,35,0,191683,11884,2681,2371,1145,2681,2365,1139,98,100,0,500,2716;
@400000005e3cf4803a952da9 #d,-,18,2679,2370,1135,36,0,191673,11883,2681,2371,1139,2679,2370,1134,99,100,0,500,2701;
@400000005e3cf4823aa02a41 #d,-,18,2678,2370,1135,37,0,191665,11883,2679,2371,1137,2678,2370,1134,99,100,0,500,2700;
@400000005e3cf4823aaaacd8 #d,-,18,2680,2369,1138,38,0,191698,11885,2680,2371,1167,2678,2367,1134,98,100,0,500,2732;
@400000005e3cf4843ab95f64 #d,-,18,2679,2368,1136,38,0,191687,11884,2680,2371,1138,2679,2368,1129,99,100,0,500,2698;
@400000005e3cf4843ac378bd #d,-,18,2677,2369,1135,39,0,191680,11884,2679,2370,1137,2677,2368,1135,99,100,0,500,2701;
