@400000005e425b1116b05d3d #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e425b120500328d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e425b120b0cd765 #f,-,48,203,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e425b140b23175d #d,-,18,2719,2380,1179,1,0,186621,11570,2720,2380,1179,2718,2378,1147,98,100,0,500,2749;
@400000005e425b160b331486 #d,-,18,2718,2377,1149,2,0,195651,12130,2719,2380,1179,2718,2377,1140,98,100,0,500,2751;
@400000005e425b160b3de647 #d,-,18,2715,2380,1146,2,0,195099,12096,2718,2382,1149,2715,2377,1145,99,100,0,500,2735;
@400000005e425b180b489c18 #d,-,18,2713,2381,1147,3,0,190855,11833,2715,2382,1147,2713,2380,1145,99,100,0,500,2735;
@400000005e425b180b52b2a6 #d,-,18,2712,2380,1148,4,0,191331,11862,2713,2381,1148,2712,2379,1146,99,100,0,500,2737;
@400000005e425b1a0b5f9742 #d,-,18,2712,2379,1173,5,0,191795,11891,2712,2382,1173,2712,2379,1145,98,100,0,500,2744;
@400000005e425b1a0b6a4958 #d,-,18,2712,2381,1147,5,0,192130,11912,2712,2381,1178,2712,2378,1140,98,100,0,500,2757;
@400000005e425b1c0b771a65 #d,-,18,2711,2380,1147,6,0,192294,11922,2712,2382,1148,2711,2378,1146,99,100,0,500,2737;
@400000005e425b1c0b815bcb #d,-,18,2709,2376,1147,7,0,194368,12050,2711,2380,1148,2709,2376,1146,99,100,0,500,2735;
@400000005e425b1e0b8d7919 #d,-,18,2708,2380,1147,8,0,192522,11936,2709,2380,1149,2708,2376,1146,98,100,0,500,2737;
@400000005e425b1e0b985e69 #d,-,18,2708,2378,1164,8,0,192649,11944,2708,2380,1164,2708,2377,1146,98,100,0,500,2739;
