@400000005e44fa42209a6fbf #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e44fa430ee7c808 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e44fa4314ef2941 #f,-,48,247,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e44fa451503da9e #d,-,18,2671,2346,1149,1,0,185108,11476,2671,2347,1179,2667,2345,1144,97,100,0,499,2733;
@400000005e44fa47150e13a2 #d,-,18,2671,2346,1148,2,0,187220,11607,2671,2347,1151,2671,2345,1148,98,100,0,499,2708;
@400000005e44fa471515ac3c #d,-,18,2672,2348,1148,2,0,192982,11964,2672,2350,1150,2671,2346,1148,98,100,0,499,2708;
@400000005e44fa49151eb0fb #d,-,18,2672,2349,1149,3,0,188917,11712,2672,2349,1150,2672,2346,1147,98,100,0,499,2707;
@400000005e44fa491527158b #d,-,18,2673,2347,1157,4,0,189437,11745,2673,2350,1158,2672,2347,1148,98,100,0,499,2712;
@400000005e44fa4b1536b94d #d,-,18,2676,2349,1145,5,0,190055,11783,2676,2349,1183,2673,2346,1143,97,100,0,499,2742;
@400000005e44fa4b1540ac77 #d,-,18,2677,2350,1151,5,0,190292,11798,2677,2350,1152,2676,2347,1145,98,100,0,499,2710;
@400000005e44fa4d154fa034 #d,-,18,2677,2350,1150,6,0,190478,11809,2677,2352,1152,2677,2350,1148,98,100,0,499,2714;
@400000005e44fa4d155a81ca #d,-,18,2677,2351,1150,7,0,190605,11817,2677,2351,1150,2677,2349,1148,98,100,0,499,2712;
@400000005e44fa4f1563384e #d,-,18,2677,2350,1149,8,0,190700,11823,2677,2352,1150,2677,2349,1148,98,100,0,499,2712;
@400000005e44fa4f1567d44b #d,-,18,2680,2349,1142,8,0,190967,11839,2680,2351,1180,2677,2348,1142,97,100,0,499,2741;
@400000005e44fa5115775c1b #d,-,18,2680,2349,1149,9,0,191044,11844,2680,2351,1152,2680,2348,1142,98,100,0,499,2712;
@400000005e44fa511581b884 #d,-,18,2680,2350,1150,10,0,191111,11848,2680,2351,1151,2680,2348,1149,98,100,0,499,2714;
@400000005e44fa531590eb94 #d,-,18,2680,2349,1150,11,0,191161,11852,2680,2350,1151,2680,2347,1149,98,100,0,499,2712;
@400000005e44fa53159b14c3 #d,-,18,2680,2346,1151,11,0,191205,11854,2680,2349,1152,2680,2346,1150,98,100,0,499,2714;
@400000005e44fa5515a355ef #d,-,18,2683,2347,1145,12,0,191377,11865,2683,2348,1182,2680,2346,1145,97,100,0,499,2744;
@400000005e44fa5515abc2e1 #d,-,18,2682,2349,1151,13,0,192468,11933,2683,2349,1152,2682,2347,1144,98,100,0,499,2710;
@400000005e44fa5715b407c6 #d,-,18,2682,2348,1151,13,0,192437,11931,2682,2349,1152,2682,2346,1150,98,100,0,499,2712;
@400000005e44fa5715bc839e #d,-,18,2681,2345,1152,14,0,191451,11870,2682,2349,1152,2681,2345,1150,98,100,0,499,2714;
@400000005e44fa5915cbe540 #d,-,18,2680,2346,1152,15,0,191466,11870,2681,2349,1153,2680,2345,1149,98,100,0,499,2712;
@400000005e44fa5915d66c7f #d,-,18,2684,2344,1154,16,0,191592,11878,2684,2346,1184,2680,2343,1151,97,100,0,499,2742;
@400000005e44fa5b15df2a77 #d,-,18,2683,2345,1152,16,0,191595,11878,2684,2346,1154,2683,2343,1145,99,100,0,499,2710;
@400000005e44fa5b15e47679 #d,-,18,2682,2343,1153,17,0,191611,11879,2683,2345,1154,2682,2342,1152,98,100,0,499,2712;
@400000005e44fa5d15f4f15d #d,-,18,2682,2345,1152,18,0,191626,11880,2682,2345,1154,2682,2342,1152,98,100,0,499,2712;
@400000005e44fa5d15ff2a61 #d,-,18,2681,2343,1155,19,0,191644,11881,2682,2345,1155,2681,2343,1152,98,100,0,499,2714;
@400000005e44fa5f160776ba #d,-,18,2685,2346,1166,20,0,192458,11932,2685,2346,1184,2681,2343,1153,97,100,0,499,2744;
@400000005e44fa5f160d10f6 #d,-,18,2686,2344,1156,20,0,191783,11890,2686,2346,1166,2685,2343,1150,98,100,0,499,2726;
@400000005e44fa611615a05d #d,-,18,2685,2346,1154,21,0,192459,11932,2686,2346,1156,2685,2343,1153,98,100,0,499,2717;
@400000005e44fa61161ff464 #d,-,18,2685,2344,1155,22,0,191825,11893,2685,2346,1157,2685,2344,1154,98,100,0,499,2721;
@400000005e44fa63162874e4 #d,-,18,2685,2344,1155,23,0,191840,11894,2685,2345,1156,2685,2344,1154,98,100,0,499,2717;
@400000005e44fa631631bf7d #d,-,18,2689,2344,1184,23,0,191933,11899,2689,2345,1188,2685,2344,1155,97,100,0,499,2744;
@400000005e44fa651641fbfb #d,-,18,2688,2344,1156,24,0,191944,11900,2689,2345,1184,2688,2343,1149,98,100,0,500,2724;
@400000005e44fa65164ca5b0 #d,-,18,2688,2345,1157,25,0,191958,11901,2688,2346,1157,2688,2343,1154,98,100,0,500,2719;
@400000005e44fa67165529ea #d,-,18,2688,2344,1155,25,0,191974,11902,2688,2346,1158,2688,2344,1154,98,100,0,500,2721;
@400000005e44fa67165b6f83 #d,-,18,2687,2347,1155,26,0,191986,11903,2688,2347,1157,2687,2343,1153,98,100,0,499,2717;
@400000005e44fa691663eb5c #d,-,18,2690,2345,1185,27,0,192572,11939,2690,2347,1186,2687,2345,1155,98,100,0,499,2739;
@400000005e44fa6916692b42 #d,-,18,2690,2347,1156,28,0,192065,11908,2690,2348,1185,2690,2345,1148,98,100,0,499,2730;
@400000005e44fa6b1678ab9f #d,-,18,2689,2345,1156,28,0,192077,11908,2690,2348,1156,2689,2345,1154,98,100,0,500,2719;
