@400000005e462cd838d247ae #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e462cd9271b7953 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e462cd92d28b32e #f,-,48,55,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e462cdb2d3ee263 #d,-,18,2676,2387,1121,1,0,184765,11455,2684,2388,1123,2676,2386,1115,99,100,0,500,2684;
@400000005e462cdd2d48be45 #d,-,18,2673,2388,1122,2,0,186411,11557,2676,2388,1123,2673,2386,1121,99,100,0,500,2685;
@400000005e462cdd2d52d02c #d,-,18,2670,2387,1121,3,0,187273,11610,2673,2389,1123,2670,2386,1121,99,100,0,500,2685;
@400000005e462cdf2d5c987f #d,-,18,2672,2387,1122,3,0,188262,11672,2672,2389,1152,2670,2386,1121,98,100,0,500,2717;
@400000005e462cdf2d676dfa #d,-,18,2669,2386,1121,4,0,188495,11686,2672,2389,1123,2669,2386,1115,99,100,0,500,2682;
@400000005e462ce12d6fca28 #d,-,18,2668,2387,1125,5,0,188768,11703,2669,2388,1128,2668,2386,1121,99,100,0,500,2691;
@400000005e462ce12d742f31 #d,-,18,2666,2387,1122,5,0,188949,11714,2668,2389,1126,2666,2387,1121,99,100,0,500,2687;
@400000005e462ce32d841601 #d,-,18,2664,2388,1123,6,0,189090,11723,2666,2389,1124,2664,2387,1122,98,100,0,500,2691;
@400000005e462ce32d8ee6d3 #d,-,18,2668,2386,1137,7,0,191334,11862,2668,2389,1155,2664,2386,1123,98,100,0,500,2719;
@400000005e462ce52d974f1d #d,-,18,2665,2387,1123,8,0,189510,11749,2668,2389,1137,2665,2386,1116,99,100,0,500,2689;
@400000005e462ce52da18cc9 #d,-,18,2664,2388,1123,8,0,189588,11754,2665,2389,1125,2664,2387,1123,98,100,0,500,2691;
@400000005e462ce72db0324a #d,-,18,2664,2389,1123,9,0,189654,11758,2664,2389,1125,2664,2387,1123,98,100,0,500,2692;
@400000005e462ce72dbb0b7e #d,-,18,2664,2389,1131,10,0,189750,11764,2664,2391,1131,2664,2388,1122,98,100,0,500,2696;
@400000005e462ce92dc5ed14 #d,-,18,2668,2388,1148,11,0,189982,11778,2668,2391,1154,2664,2388,1129,97,100,0,500,2726;
@400000005e462ce92dd02619 #d,-,18,2666,2389,1123,11,0,189992,11779,2668,2391,1148,2666,2388,1116,98,100,0,500,2694;
@400000005e462ceb2dd8c555 #d,-,18,2665,2388,1124,12,0,190025,11781,2666,2391,1124,2665,2387,1123,99,100,0,500,2691;
@400000005e462ceb2de3c5a6 #d,-,18,2664,2389,1124,13,0,190044,11782,2665,2390,1124,2664,2387,1123,98,100,0,500,2691;
@400000005e462ced2dec48f2 #d,-,18,2664,2388,1132,13,0,190094,11785,2664,2390,1133,2664,2388,1122,98,100,0,500,2696;
