@400000005e4a35120e7de22a #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e4a35123864721e #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4a351302cb0311 #f,-,48,181,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e4a351502d56333 #d,-,18,2687,2388,1133,1,0,183962,11405,2689,2390,1136,2687,2388,1130,98,100,0,500,2717;
@400000005e4a351702de34ba #d,-,18,2686,2391,1133,1,0,186727,11577,2687,2391,1135,2686,2388,1133,98,100,0,500,2717;
@400000005e4a351702e902c1 #d,-,18,2685,2390,1164,2,0,193423,11992,2686,2391,1164,2685,2390,1133,98,100,0,500,2717;
@400000005e4a351902f8e4e9 #d,-,18,2688,2388,1135,3,0,189336,11738,2688,2390,1165,2685,2388,1127,97,100,0,500,2748;
@400000005e4a351903031679 #d,-,18,2687,2386,1135,4,0,189821,11768,2688,2388,1135,2687,2386,1133,98,100,0,500,2717;
@400000005e4a351b030d7a55 #d,-,18,2686,2388,1134,4,0,190149,11789,2687,2389,1136,2686,2385,1133,98,100,0,500,2717;
@400000005e4a351b03183114 #d,-,18,2686,2388,1135,5,0,190381,11803,2686,2389,1135,2686,2388,1133,98,100,0,500,2716;
@400000005e4a351d03208d42 #d,-,18,2685,2387,1158,6,0,192825,11955,2686,2388,1158,2685,2387,1134,98,100,0,500,2717;
@400000005e4a351d0326cf21 #d,-,18,2688,2388,1136,7,0,190912,11836,2688,2389,1165,2685,2387,1126,97,100,0,500,2749;
@400000005e4a351f032f1407 #d,-,18,2687,2389,1134,7,0,191030,11843,2688,2389,1137,2687,2387,1134,99,100,0,500,2714;
@400000005e4a351f0339f59d #d,-,18,2686,2387,1135,8,0,191128,11849,2687,2389,1136,2686,2387,1134,98,100,0,500,2719;
@400000005e4a3521034288bd #d,-,18,2685,2389,1134,9,0,191203,11854,2686,2389,1135,2685,2387,1133,98,100,0,500,2717;
@400000005e4a3521034cf8b4 #d,-,18,2685,2388,1155,10,0,191360,11864,2685,2389,1155,2685,2387,1134,98,100,0,500,2717;
@400000005e4a3523035bfc46 #d,-,18,2690,2385,1137,10,0,191525,11874,2690,2389,1168,2685,2383,1130,97,100,0,500,2762;
@400000005e4a35230366d1c0 #d,-,18,2689,2383,1140,11,0,191601,11879,2690,2386,1140,2689,2383,1137,98,100,0,500,2719;
@400000005e4a3525036f5d6e #d,-,18,2688,2384,1137,12,0,191650,11882,2689,2385,1140,2688,2383,1137,98,100,0,500,2723;
@400000005e4a35250373bebe #d,-,18,2688,2385,1136,13,0,192769,11951,2688,2386,1140,2688,2384,1136,98,100,0,500,2723;
@400000005e4a3527037bf788 #d,-,18,2688,2384,1141,13,0,192768,11951,2688,2385,1141,2688,2383,1136,98,100,0,500,2723;
@400000005e4a352703834ef0 #d,-,18,2692,2385,1137,14,0,191890,11897,2692,2386,1170,2688,2383,1132,97,100,0,500,2751;
@400000005e4a35290392d307 #d,-,18,2690,2384,1139,15,0,191920,11899,2692,2385,1141,2690,2383,1137,98,100,0,500,2724;
@400000005e4a3529039d1827 #d,-,18,2690,2385,1139,16,0,191953,11901,2690,2386,1140,2690,2384,1138,98,100,0,500,2724;
@400000005e4a352b03a5709b #d,-,18,2689,2383,1139,16,0,191978,11902,2690,2385,1140,2689,2383,1138,98,100,0,500,2723;
@400000005e4a352b03b059a5 #d,-,18,2689,2384,1140,17,0,192005,11904,2689,2385,1140,2689,2383,1138,98,100,0,500,2724;
@400000005e4a352d03c0c4b4 #d,-,18,2692,2383,1134,18,0,192108,11910,2692,2385,1171,2689,2383,1133,98,100,0,500,2746;
@400000005e4a352d03cb0d8d #d,-,18,2692,2384,1140,19,0,192128,11911,2692,2384,1142,2692,2382,1134,98,100,0,500,2732;
@400000005e4a352f03da9a06 #d,-,18,2691,2383,1140,19,0,192143,11912,2692,2385,1140,2691,2382,1138,98,100,0,500,2723;
@400000005e4a352f03e4c424 #d,-,18,2690,2384,1137,20,0,192145,11913,2691,2384,1140,2690,2382,1137,98,100,0,500,2721;
@400000005e4a353103f1fe6e #d,-,18,2690,2385,1140,21,0,192825,11955,2690,2385,1141,2690,2384,1137,98,100,0,500,2724;
@400000005e4a353103fcdc4a #d,-,18,2692,2382,1132,22,0,192884,11958,2692,2385,1170,2690,2381,1132,98,100,0,500,2739;
@400000005e4a35330408421f #d,-,18,2692,2384,1139,22,0,192876,11958,2692,2385,1142,2692,2382,1132,98,100,0,500,2737;
@400000005e4a353304128650 #d,-,18,2692,2383,1140,23,0,192267,11920,2692,2385,1144,2692,2382,1137,98,100,0,500,2728;
@400000005e4a3535041ab4dc #d,-,18,2691,2385,1140,24,0,192275,11921,2692,2385,1141,2691,2382,1139,98,100,0,500,2723;
