@400000005e4b84880632cab1 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e4b848830188383 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4b848836221fa2 #f,-,48,213,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e4b848a3635c6a3 #d,-,18,2727,2371,1189,1,0,189047,11720,2727,2372,1189,2726,2369,1162,98,100,0,500,2764;
@400000005e4b848c363f966a #d,-,18,2730,2371,1163,2,0,191250,11857,2730,2372,1190,2727,2370,1156,97,100,0,500,2790;
@400000005e4b848c3647dff7 #d,-,18,2730,2371,1162,3,0,192275,11921,2730,2372,1164,2730,2371,1161,98,100,0,500,2760;
@400000005e4b848e3657b603 #d,-,18,2729,2370,1162,3,0,192905,11960,2730,2372,1164,2729,2369,1161,98,100,0,500,2764;
@400000005e4b848e3661fedd #d,-,18,2729,2371,1160,4,0,193315,11985,2729,2372,1163,2729,2369,1160,98,100,0,500,2764;
@400000005e4b84903669afad #d,-,18,2729,2370,1181,5,0,193686,12008,2729,2372,1181,2729,2370,1160,98,100,0,500,2760;
@400000005e4b8490366f9825 #d,-,18,2731,2369,1162,6,0,196428,12178,2731,2370,1190,2729,2368,1155,97,100,0,500,2789;
@400000005e4b84923677f80d #d,-,18,2730,2371,1160,6,0,194163,12038,2731,2371,1163,2730,2369,1160,99,100,0,500,2757;
@400000005e4b8492367d3f66 #d,-,18,2730,2369,1161,7,0,194289,12045,2730,2371,1162,2730,2369,1160,98,100,0,500,2760;
@400000005e4b8494368598c9 #d,-,18,2729,2371,1160,8,0,194373,12051,2730,2371,1162,2729,2369,1160,98,100,0,500,2760;
@400000005e4b8494368f7c1e #d,-,18,2728,2370,1171,9,0,194469,12057,2729,2372,1171,2728,2370,1160,98,100,0,500,2760;
@400000005e4b84963697e468 #d,-,18,2731,2371,1161,9,0,194634,12067,2731,2371,1188,2728,2370,1153,97,100,0,500,2787;
@400000005e4b8496369e2a01 #d,-,18,2730,2371,1161,10,0,194683,12070,2731,2372,1162,2730,2369,1159,99,100,0,500,2757;
@400000005e4b849836a6c84f #d,-,18,2729,2370,1159,11,0,194719,12072,2730,2371,1161,2729,2369,1159,98,100,0,500,2758;
@400000005e4b849836b16b7f #d,-,18,2729,2372,1159,12,0,194797,12077,2729,2372,1169,2729,2370,1159,98,100,0,500,2764;
@400000005e4b849a36c10b87 #d,-,18,2729,2370,1158,12,0,194816,12078,2729,2372,1161,2729,2370,1157,98,100,0,500,2764;
@400000005e4b849a36cb5bd3 #d,-,18,2731,2370,1157,13,0,194922,12085,2731,2371,1186,2729,2369,1153,98,100,0,500,2778;
@400000005e4b849c36d3c7d6 #d,-,18,2729,2372,1157,14,0,194916,12084,2731,2372,1159,2729,2370,1157,98,100,0,500,2757;
@400000005e4b849c36de01c9 #d,-,18,2728,2369,1158,15,0,194910,12084,2729,2372,1159,2728,2369,1157,99,100,0,500,2755;
@400000005e4b849e36ec8c48 #d,-,18,2727,2369,1159,15,0,194909,12084,2728,2370,1160,2727,2369,1157,99,100,0,500,2753;
@400000005e4b849e36f6ec6a #d,-,18,2726,2371,1158,16,0,195791,12139,2727,2372,1159,2726,2369,1158,98,100,0,500,2757;
@400000005e4b84a03706daad #d,-,18,2728,2372,1152,17,0,195833,12141,2728,2372,1187,2726,2371,1152,98,100,0,500,2773;
@400000005e4b84a037111ede #d,-,18,2727,2371,1157,18,0,194980,12088,2728,2372,1160,2727,2370,1152,98,100,0,500,2760;
@400000005e4b84a2371fb1bf #d,-,18,2726,2372,1158,18,0,194982,12088,2727,2372,1158,2726,2370,1157,98,100,0,500,2755;
@400000005e4b84a2372a970f #d,-,18,2725,2373,1156,19,0,194975,12088,2726,2374,1159,2725,2372,1156,98,100,0,500,2753;
@400000005e4b84a4373358c0 #d,-,18,2724,2371,1156,20,0,194964,12087,2725,2373,1158,2724,2371,1155,98,100,0,500,2753;
@400000005e4b84a437382f69 #d,-,18,2725,2372,1151,21,0,195020,12091,2725,2372,1185,2724,2370,1151,98,100,0,500,2764;
@400000005e4b84a63743a8cd #d,-,18,2725,2372,1157,21,0,195016,12091,2725,2372,1160,2725,2372,1151,98,100,0,500,2767;
@400000005e4b84a6374df1a6 #d,-,18,2724,2371,1157,22,0,195008,12090,2725,2373,1158,2724,2371,1156,98,100,0,500,2753;
@400000005e4b84a8375c2a31 #d,-,18,2723,2371,1156,23,0,195002,12090,2724,2372,1158,2723,2371,1156,98,100,0,500,2753;
@400000005e4b84a83766fbf1 #d,-,18,2723,2372,1157,24,0,194992,12089,2723,2373,1158,2723,2371,1156,98,100,0,500,2755;
@400000005e4b84aa37777e49 #d,-,18,2723,2371,1155,24,0,195051,12093,2723,2373,1186,2723,2371,1155,98,100,0,500,2758;
@400000005e4b84aa3782208a #d,-,18,2725,2371,1158,25,0,195041,12092,2725,2371,1160,2723,2370,1150,98,100,0,500,2773;
@400000005e4b84ac37907c79 #d,-,18,2724,2372,1157,26,0,195592,12126,2725,2372,1159,2724,2371,1157,98,100,0,500,2755;
@400000005e4b84ac379a9e34 #d,-,18,2723,2370,1158,27,0,195030,12091,2724,2372,1159,2723,2370,1156,98,100,0,500,2753;
@400000005e4b84ae37aa2aad #d,-,18,2722,2372,1150,27,0,195541,12123,2723,2372,1158,2722,2370,1150,98,100,0,500,2753;
@400000005e4b84ae37b503e1 #d,-,18,2721,2372,1166,28,0,195552,12124,2722,2372,1183,2721,2372,1146,99,100,0,500,2741;
@400000005e4b84b037c4eab1 #d,-,18,2722,2371,1153,29,0,195012,12090,2722,2373,1166,2721,2371,1149,98,100,0,500,2771;
@400000005e4b84b037cf4e8d #d,-,18,2720,2373,1154,30,0,194991,12089,2722,2373,1155,2720,2371,1152,99,100,0,500,2744;
@400000005e4b84b237de819d #d,-,18,2719,2372,1153,30,0,194967,12088,2720,2374,1154,2719,2371,1152,99,100,0,500,2744;
@400000005e4b84b237e8b6e8 #d,-,18,2718,2371,1153,31,0,194951,12086,2719,2373,1156,2718,2365,1153,99,100,0,500,2744;
@400000005e4b84b437f79715 #d,-,18,2716,2371,1177,32,0,194977,12088,2718,2371,1184,2716,2370,1153,98,100,0,500,2744;
@400000005e4b84b438028c3a #d,-,18,2719,2370,1154,33,0,194956,12087,2719,2371,1177,2716,2370,1148,98,100,0,500,2769;
@400000005e4b84b638120c98 #d,-,18,2717,2371,1154,33,0,194936,12086,2719,2371,1155,2717,2369,1153,98,100,0,500,2746;
@400000005e4b84b6381c6546 #d,-,18,2717,2371,1155,34,0,194937,12086,2717,2371,1162,2717,2368,1154,98,100,0,500,2748;
@400000005e4b84b8382b8882 #d,-,18,2716,2369,1159,35,0,194923,12085,2717,2371,1159,2716,2368,1152,98,100,0,500,2749;
@400000005e4b84b83835aa3e #d,-,18,2716,2367,1184,36,0,194954,12087,2716,2370,1184,2716,2367,1157,98,100,0,500,2749;
@400000005e4b84ba38460578 #d,-,18,2719,2368,1158,36,0,194951,12086,2719,2368,1184,2716,2367,1152,97,100,0,500,2776;
@400000005e4b84ba38504e51 #d,-,18,2719,2370,1156,37,0,194941,12086,2719,2370,1159,2719,2368,1156,98,100,0,500,2751;
@400000005e4b84bc385c878f #d,-,18,2718,2370,1152,38,0,194913,12084,2719,2371,1156,2718,2370,1150,99,100,0,500,2744;
@400000005e4b84bc386750ee #d,-,18,2716,2370,1152,39,0,195262,12106,2718,2370,1152,2716,2369,1151,99,100,0,500,2737;
@400000005e4b84be387104c5 #d,-,18,2714,2368,1178,39,0,195253,12105,2716,2370,1178,2714,2368,1151,99,100,0,500,2737;
@400000005e4b84be387bfda3 #d,-,18,2715,2368,1153,40,0,195237,12104,2715,2368,1180,2714,2367,1145,98,100,0,500,2762;
@400000005e4b84c03887ba16 #d,-,18,2714,2368,1151,41,0,194853,12080,2715,2368,1153,2714,2367,1151,99,100,0,500,2737;
@400000005e4b84c038920a62 #d,-,18,2712,2369,1151,42,0,194833,12079,2714,2370,1152,2712,2368,1150,99,100,0,500,2735;
@400000005e4b84c2389b0b68 #d,-,18,2711,2368,1152,42,0,195153,12099,2712,2370,1152,2711,2368,1150,98,100,0,500,2739;
@400000005e4b84c2389e79a5 #d,-,18,2709,2371,1173,43,0,195139,12098,2711,2371,1173,2709,2368,1149,99,100,0,500,2735;
@400000005e4b84c438ac48f2 #d,-,18,2712,2371,1153,44,0,194804,12077,2712,2371,1179,2709,2370,1146,98,100,0,500,2765;
@400000005e4b84c438b75919 #d,-,18,2710,2372,1151,45,0,194782,12076,2712,2372,1153,2710,2371,1150,99,100,0,500,2735;
@400000005e4b84c638c508bb #d,-,18,2709,2370,1151,45,0,194765,12075,2710,2372,1152,2709,2369,1150,98,100,0,500,2737;
@400000005e4b84c638cf6524 #d,-,18,2708,2370,1151,46,0,195060,12093,2709,2370,1152,2708,2369,1150,98,100,0,500,2737;
@400000005e4b84c838df1c74 #d,-,18,2708,2369,1163,47,0,194733,12073,2708,2370,1163,2708,2369,1151,98,100,0,500,2737;
@400000005e4b84c838e951be #d,-,18,2711,2371,1153,48,0,194742,12074,2711,2371,1180,2708,2369,1145,98,100,0,500,2765;
@400000005e4b84ca38f1beb0 #d,-,18,2709,2371,1152,48,0,194727,12073,2711,2371,1154,2709,2370,1151,98,100,0,500,2737;
@400000005e4b84ca38f9a93f #d,-,18,2708,2371,1152,49,0,194710,12072,2709,2372,1152,2708,2371,1150,98,100,0,500,2737;
@400000005e4b84cc390876cc #d,-,18,2707,2369,1150,50,0,194693,12071,2708,2372,1152,2707,2369,1150,98,100,0,500,2737;
