@400000005e4ce1a12a6545eb #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e4ce1a218b7aae1 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4ce1a21ec5c352 #f,-,48,245,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e4ce1a41ed8a6c0 #d,-,18,2692,2363,1138,1,0,185565,11505,2694,2363,1162,2692,2361,1138,98,100,0,501,2721;
@400000005e4ce1a61eeb0e4f #d,-,18,2690,2361,1143,1,0,187824,11645,2692,2364,1145,2690,2361,1138,98,100,0,501,2721;
@400000005e4ce1a61ef55728 #d,-,18,2688,2363,1144,2,0,188919,11713,2690,2363,1147,2688,2361,1143,99,100,0,501,2708;
@400000005e4ce1a81f031e14 #d,-,18,2686,2361,1146,3,0,189490,11748,2688,2363,1146,2686,2360,1144,99,100,0,501,2710;
@400000005e4ce1a81f0e1e65 #d,-,18,2685,2362,1145,4,0,189916,11774,2686,2362,1148,2685,2360,1144,99,100,0,501,2708;
@400000005e4ce1aa1f1ce391 #d,-,18,2685,2360,1141,4,0,190491,11810,2685,2362,1175,2685,2359,1141,98,100,0,501,2719;
@400000005e4ce1aa1f276717 #d,-,18,2685,2362,1144,5,0,190616,11818,2685,2362,1147,2685,2360,1140,98,100,0,501,2728;
@400000005e4ce1ac1f33bb57 #d,-,18,2684,2361,1147,6,0,190712,11824,2685,2362,1147,2684,2360,1144,99,100,0,501,2708;
@400000005e4ce1ac1f3ec40b #d,-,18,2683,2359,1145,6,0,190821,11830,2684,2362,1147,2683,2359,1144,99,100,0,501,2710;
@400000005e4ce1ae1f4f4a1c #d,-,18,2682,2362,1144,7,0,190900,11835,2683,2362,1149,2682,2359,1143,98,100,0,501,2710;
@400000005e4ce1ae1f59c540 #d,-,18,2682,2361,1147,8,0,191171,11852,2682,2362,1177,2682,2360,1144,98,100,0,501,2712;
@400000005e4ce1b01f697d7e #d,-,18,2683,2361,1145,9,0,191166,11852,2683,2362,1147,2682,2360,1138,98,100,0,501,2732;
@400000005e4ce1b01f73ec87 #d,-,18,2682,2360,1146,9,0,192626,11942,2683,2362,1147,2682,2359,1143,99,100,0,501,2708;
@400000005e4ce1b21f806072 #d,-,18,2681,2361,1145,10,0,191248,11857,2682,2362,1147,2681,2359,1145,98,100,0,501,2712;
@400000005e4ce1b21f8b87e1 #d,-,18,2680,2360,1147,11,0,191274,11859,2681,2362,1147,2680,2360,1145,98,100,0,501,2710;
@400000005e4ce1b41f9b2ba3 #d,-,18,2680,2361,1164,12,0,191447,11869,2680,2362,1178,2680,2359,1144,98,100,0,501,2710;
@400000005e4ce1b41fa5ced3 #d,-,18,2682,2360,1146,12,0,191453,11870,2682,2362,1164,2680,2360,1138,97,100,0,501,2737;
@400000005e4ce1b61fb2ce70 #d,-,18,2682,2361,1147,13,0,191458,11870,2682,2362,1148,2682,2360,1144,98,100,0,501,2710;
@400000005e4ce1b61fbd4221 #d,-,18,2681,2359,1145,14,0,191474,11871,2682,2361,1147,2681,2359,1145,98,100,0,501,2712;
@400000005e4ce1b81fcd191b #d,-,18,2680,2360,1146,15,0,191493,11872,2681,2361,1148,2680,2358,1145,98,100,0,501,2710;
@400000005e4ce1b81fd83cd1 #d,-,18,2679,2361,1174,15,0,191591,11878,2680,2362,1177,2679,2360,1144,98,100,0,501,2710;
@400000005e4ce1ba1fe56fa7 #d,-,18,2682,2361,1146,16,0,191598,11879,2682,2362,1174,2679,2359,1139,97,100,0,501,2737;
@400000005e4ce1ba1feff6e7 #d,-,18,2681,2361,1146,17,0,191601,11879,2682,2362,1146,2681,2359,1144,98,100,0,501,2710;
@400000005e4ce1bc1ffb3958 #d,-,18,2681,2360,1146,18,0,191603,11879,2681,2362,1149,2681,2360,1145,98,100,0,501,2710;
@400000005e4ce1bc200284a6 #d,-,18,2680,2363,1147,18,0,191609,11879,2681,2363,1148,2680,2360,1144,98,100,0,501,2710;
@400000005e4ce1be20123bf6 #d,-,18,2679,2361,1176,19,0,191672,11883,2680,2364,1176,2679,2361,1144,98,100,0,501,2712;
@400000005e4ce1be201cc7dd #d,-,18,2682,2363,1147,20,0,191687,11884,2682,2364,1176,2679,2359,1138,97,100,0,501,2739;
@400000005e4ce1c0202d467b #d,-,18,2681,2365,1144,21,0,191690,11884,2682,2365,1147,2681,2363,1143,99,100,0,501,2708;
@400000005e4ce1c02037b1ca #d,-,18,2680,2363,1144,21,0,191685,11884,2681,2365,1145,2680,2363,1143,98,100,0,501,2710;
@400000005e4ce1c2204304ff #d,-,18,2679,2364,1143,22,0,191681,11884,2680,2365,1145,2679,2362,1142,98,100,0,501,2708;
@400000005e4ce1c2204a7b23 #d,-,18,2678,2360,1171,23,0,191707,11885,2679,2364,1171,2678,2356,1142,98,100,0,501,2707;
@400000005e4ce1c420578e50 #d,-,18,2681,2359,1147,24,0,191736,11887,2681,2362,1175,2678,2359,1138,97,100,0,501,2739;
