@400000005e4e2d5e3059b2f3 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e4e2d5f1eb03f7b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4e2d5f24bea539 #f,-,48,21,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e4e2d6124d260b7 #d,-,18,2675,2348,1152,1,0,201564,12496,2675,2350,1154,2674,2347,1150,98,100,0,500,2710;
@400000005e4e2d6324e40fe0 #d,-,18,2675,2349,1151,2,0,191935,11900,2675,2350,1154,2675,2347,1151,98,100,0,500,2710;
@400000005e4e2d6324ee4171 #d,-,18,2676,2349,1180,3,0,192422,11930,2676,2351,1180,2675,2348,1151,98,100,0,500,2716;
@400000005e4e2d6524f9e966 #d,-,18,2679,2350,1152,3,0,192378,11927,2679,2351,1180,2676,2348,1146,97,100,0,500,2739;
@400000005e4e2d652504d26f #d,-,18,2679,2348,1154,4,0,192331,11924,2679,2351,1154,2679,2348,1151,98,100,0,500,2712;
@400000005e4e2d6725127a9e #d,-,18,2680,2348,1151,5,0,195044,12092,2680,2351,1154,2679,2348,1151,98,100,0,500,2716;
@400000005e4e2d67251cc731 #d,-,18,2680,2350,1152,5,0,192284,11921,2680,2351,1154,2680,2348,1151,98,100,0,500,2714;
@400000005e4e2d69252a34b4 #d,-,18,2680,2350,1179,6,0,192406,11929,2680,2351,1179,2680,2348,1152,98,100,0,500,2716;
@400000005e4e2d692534e6cb #d,-,18,2683,2349,1154,7,0,192449,11931,2683,2351,1181,2680,2349,1145,97,100,0,500,2741;
@400000005e4e2d6b2541005f #d,-,18,2683,2349,1151,8,0,192427,11930,2683,2351,1154,2683,2348,1150,98,100,0,500,2714;
@400000005e4e2d6b254b41c5 #d,-,18,2683,2349,1153,8,0,192408,11929,2683,2350,1154,2683,2348,1151,98,100,0,500,2714;
@400000005e4e2d6d2559f71c #d,-,18,2682,2348,1152,9,0,192383,11927,2683,2350,1154,2682,2347,1151,98,100,0,500,2716;
@400000005e4e2d6d25642139 #d,-,18,2682,2348,1174,10,0,193791,12015,2682,2350,1174,2682,2347,1151,98,100,0,500,2716;
@400000005e4e2d6f25738694 #d,-,18,2686,2349,1153,11,0,192473,11933,2686,2350,1182,2682,2347,1147,97,100,0,500,2744;
@400000005e4e2d6f257e53ad #d,-,18,2685,2346,1154,11,0,192463,11932,2686,2349,1155,2685,2346,1152,99,100,0,500,2710;
@400000005e4e2d71258ab409 #d,-,18,2685,2347,1154,12,0,192448,11931,2685,2349,1155,2685,2346,1152,98,100,0,500,2716;
@400000005e4e2d712594e954 #d,-,18,2684,2349,1154,13,0,192440,11931,2685,2349,1155,2684,2346,1153,98,100,0,500,2716;
@400000005e4e2d7325a540d4 #d,-,18,2684,2349,1163,14,0,192444,11931,2684,2349,1163,2684,2347,1153,98,100,0,500,2716;
@400000005e4e2d7325af6dbd #d,-,18,2688,2347,1153,14,0,192513,11935,2688,2349,1183,2684,2347,1147,97,100,0,500,2744;
@400000005e4e2d7525bc5347 #d,-,18,2686,2345,1155,15,0,193419,11992,2688,2349,1156,2686,2345,1152,98,100,0,500,2714;
@400000005e4e2d7525c728c1 #d,-,18,2686,2350,1152,16,0,193364,11988,2686,2350,1155,2686,2345,1152,98,100,0,500,2716;
@400000005e4e2d7725d70ae9 #d,-,18,2685,2350,1153,17,0,192481,11933,2686,2350,1155,2685,2348,1152,98,100,0,500,2716;
@400000005e4e2d7725e11ccf #d,-,18,2685,2351,1154,17,0,192478,11933,2685,2352,1154,2685,2349,1151,98,100,0,500,2717;
@400000005e4e2d7925f043c5 #d,-,18,2688,2353,1149,18,0,192540,11937,2688,2353,1181,2685,2350,1146,98,100,0,500,2741;
@400000005e4e2d7925fb0d24 #d,-,18,2687,2352,1151,19,0,192535,11937,2688,2354,1153,2687,2352,1149,98,100,0,500,2719;
@400000005e4e2d7b2609bfaf #d,-,18,2687,2353,1153,20,0,192531,11936,2687,2353,1153,2687,2351,1151,98,100,0,500,2717;
@400000005e4e2d7b26142afe #d,-,18,2687,2352,1153,20,0,192527,11936,2687,2353,1153,2687,2351,1151,98,100,0,500,2717;
@400000005e4e2d7d2621cf73 #d,-,18,2686,2353,1152,21,0,192519,11936,2687,2353,1153,2686,2351,1151,98,100,0,500,2719;
@400000005e4e2d7d262bf4e9 #d,-,18,2689,2350,1146,22,0,193215,11979,2689,2353,1181,2686,2350,1146,98,100,0,500,2733;
@400000005e4e2d7f2638ed13 #d,-,18,2688,2353,1151,23,0,192561,11938,2689,2353,1154,2688,2350,1146,98,100,0,500,2726;
@400000005e4e2d7f2643d263 #d,-,18,2687,2352,1152,23,0,192550,11938,2688,2353,1152,2687,2351,1150,99,100,0,500,2714;
@400000005e4e2d8126514c01 #d,-,18,2687,2353,1151,24,0,192539,11937,2687,2353,1153,2687,2351,1150,98,100,0,500,2716;
@400000005e4e2d81265bcadf #d,-,18,2686,2354,1150,25,0,192532,11937,2687,2354,1152,2686,2353,1150,98,100,0,500,2717;
@400000005e4e2d83266b7702 #d,-,18,2688,2356,1144,26,0,192585,11940,2688,2356,1178,2686,2353,1144,98,100,0,500,2728;
@400000005e4e2d832675a893 #d,-,18,2688,2355,1150,26,0,192574,11939,2688,2356,1151,2688,2354,1144,98,100,0,500,2732;
@400000005e4e2d85268177a5 #d,-,18,2688,2355,1150,27,0,192572,11939,2688,2357,1151,2688,2354,1150,98,100,0,500,2717;
@400000005e4e2d85268c50da #d,-,18,2687,2356,1150,28,0,192563,11938,2688,2356,1151,2687,2354,1149,98,100,0,500,2717;
@400000005e4e2d87269cd331 #d,-,18,2687,2354,1151,29,0,193055,11969,2687,2356,1153,2687,2354,1150,98,100,0,500,2717;
@400000005e4e2d8726a6f133 #d,-,18,2688,2355,1150,29,0,192604,11941,2688,2357,1179,2687,2354,1149,98,100,0,500,2723;
@400000005e4e2d8926b62bb7 #d,-,18,2689,2355,1149,30,0,192589,11940,2689,2357,1151,2688,2354,1144,98,100,0,500,2737;
@400000005e4e2d8926c10132 #d,-,18,2688,2355,1151,31,0,192579,11939,2689,2357,1151,2688,2354,1149,99,100,0,500,2714;
@400000005e4e2d8b26cc0d9f #d,-,18,2687,2355,1149,31,0,192570,11939,2688,2357,1151,2687,2354,1149,98,100,0,500,2716;
@400000005e4e2d8b26d24364 #d,-,18,2686,2356,1150,32,0,192564,11939,2687,2357,1152,2686,2354,1149,98,100,0,500,2716;
@400000005e4e2d8d26dd5eb8 #d,-,18,2686,2357,1161,33,0,192604,11941,2686,2357,1178,2686,2355,1150,98,100,0,500,2717;
@400000005e4e2d8d26e83c94 #d,-,18,2688,2357,1149,34,0,192591,11940,2688,2357,1161,2686,2355,1144,98,100,0,500,2739;
@400000005e4e2d8f26f8b2d0 #d,-,18,2688,2356,1150,34,0,192585,11940,2688,2357,1152,2688,2355,1149,98,100,0,500,2719;
@400000005e4e2d8f2702d0d2 #d,-,18,2687,2356,1152,35,0,192978,11964,2688,2356,1152,2687,2354,1149,98,100,0,500,2716;
@400000005e4e2d91270f19e6 #d,-,18,2686,2356,1150,36,0,192962,11963,2687,2357,1152,2686,2354,1150,98,100,0,500,2716;
@400000005e4e2d91271a0a62 #d,-,18,2686,2357,1175,37,0,192605,11941,2686,2357,1179,2686,2355,1149,98,100,0,500,2717;
