@400000005e3d18d403e5028a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3d18d42dd35324 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e3d18d433e36727 #f,-,48,145,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e3d18d633f85242 #d,-,18,2453,2378,1123,1,0,175134,10858,2996,2380,1180,2453,2377,1120,89,100,0,501,2746;
@400000005e3d18d83407debb #d,-,18,2449,2376,1249,1,0,175824,10901,2453,2379,1249,2449,2376,1118,90,100,0,501,2711;
@400000005e3d18d83410c78a #d,-,18,3048,2379,1255,2,0,185287,11487,3048,2380,1830,2449,2376,935,93,100,0,501,3272;
@400000005e3d18da341f4e50 #d,-,18,2477,2380,1161,3,0,184754,11454,3048,2380,1255,2477,2378,1129,88,100,0,501,2791;
@400000005e3d18da34286a58 #d,-,18,2478,2380,1123,4,0,182956,11343,2478,2380,1161,2477,2378,1111,89,100,0,501,2784;
@400000005e3d18dc3432463a #d,-,18,2427,2379,1121,4,0,184297,11426,2478,2380,1125,2427,2377,1120,89,100,0,501,2711;
@400000005e3d18dc343789da #d,-,18,2868,2380,1144,5,0,185916,11526,2868,2381,1837,2427,2374,1004,96,100,0,501,2976;
@400000005e3d18de344587b8 #d,-,18,2663,2379,1173,6,0,186062,11535,2868,2380,1263,2663,2377,1144,85,100,0,501,3097;
@400000005e3d18de344e8c77 #d,-,18,2523,2379,1122,7,0,185010,11470,2663,2380,1174,2523,2377,1108,89,100,0,501,2808;
@400000005e3d18e0345a0222 #d,-,18,2435,2378,1125,7,0,184068,11412,2523,2379,1129,2435,2377,1121,89,100,0,501,2715;
@400000005e3d18e0346331b9 #d,-,18,2545,2379,1048,8,0,186862,11585,2545,2381,1853,2435,2374,1048,92,100,0,501,2756;
@400000005e3d18e234715e27 #d,-,18,2980,2379,1162,9,0,186479,11561,2980,2380,1235,2545,2377,1005,90,100,0,501,3310;
@400000005e3d18e2347b4625 #d,-,18,2517,2380,1137,10,0,185906,11526,2980,2381,1162,2517,2379,1127,90,100,0,501,2794;
@400000005e3d18e4348a7c01 #d,-,18,2455,2379,1136,10,0,185276,11487,2517,2380,1137,2455,2378,1132,89,100,0,501,2742;
@400000005e3d18e43493fd8d #d,-,18,2455,2381,1130,11,0,184742,11454,2455,2381,1137,2455,2379,1130,89,100,0,501,2744;
@400000005e3d18e634a36b4a #d,-,18,2339,2382,1145,12,0,183568,11381,2455,2382,1145,2339,2379,1022,88,100,0,501,2651;
@400000005e3d18e634ad4285 #d,-,18,2401,2380,1134,12,0,183108,11352,2401,2382,1145,2339,2380,1117,89,100,0,501,2670;
@400000005e3d18e834bb4c7e #d,-,18,3084,2376,1292,13,0,184896,11463,3084,2380,1862,2401,2369,925,95,100,0,501,3227;
@400000005e3d18e834c4be34 #d,-,18,2435,2376,1170,14,0,184828,11459,3084,2379,1292,2435,2375,1135,85,100,0,501,2841;
@400000005e3d18ea34d39f50 #d,-,18,2505,2376,1126,14,0,184346,11429,2505,2378,1170,2435,2375,1110,89,100,0,501,2794;
@400000005e3d18ea34dccdf9 #d,-,18,2433,2376,1126,15,0,183907,11402,2505,2378,1129,2433,2375,1122,89,100,0,501,2715;
@400000005e3d18ec34eac81d #d,-,18,2850,2377,1107,16,0,185111,11476,2850,2379,1850,2433,2374,925,96,100,0,501,2957;
@400000005e3d18ec34f4756f #d,-,18,2641,2377,1167,17,0,185241,11485,2850,2379,1302,2641,2376,1107,85,100,0,501,3095;
@400000005e3d18ee350336e0 #d,-,18,2537,2379,1120,17,0,184877,11462,2641,2379,1175,2537,2377,1107,90,100,0,501,2810;
