@400000005e6749011394b58b #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e67490201e52b0a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e67490207f318a4 #f,-,48,245,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e6749040807402b #d,-,18,2419,2342,1130,0,0,179641,11137,2419,2342,1137,2417,2341,1130,89,100,0,500,2699;
@400000005e674906081853cc #d,-,18,2420,2343,1133,1,0,177329,10994,2420,2343,1136,2419,2342,1129,89,100,0,500,2697;
@400000005e674906082196f1 #d,-,18,2422,2341,1135,2,0,176462,10940,2422,2343,1136,2420,2341,1130,89,100,0,500,2697;
@400000005e674908082fbfa6 #d,-,18,2423,2340,1425,2,0,182315,11303,2423,2342,1500,2422,2339,1133,89,100,0,500,2701;
@400000005e67490808392276 #d,-,18,2787,2344,1191,3,0,178763,11083,2787,2344,1425,2423,2340,1025,92,100,0,500,3026;
@400000005e67490a0847db86 #d,-,18,2665,2343,1120,4,0,183144,11354,2787,2344,1518,2665,2340,1120,92,100,0,500,2881;
@400000005e67490a0850b928 #d,-,18,2856,2342,1169,5,0,183545,11379,2856,2344,1308,2665,2341,1037,91,100,0,500,3107;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
