@400000005e6899751cf51a25 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e6899760b444a9d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e68997611529a01 #f,-,48,197,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e6899781164ce57 #d,-,18,2415,2377,1121,0,0,163833,10157,2415,2377,1122,2413,2375,1118,89,100,0,500,2704;
@400000005e68997a117321e3 #d,-,18,2415,2378,1118,1,0,168025,10417,2415,2379,1126,2415,2377,1117,89,100,0,500,2704;
@400000005e68997a117bc120 #d,-,18,2416,2377,1121,2,0,169708,10521,2416,2379,1125,2415,2377,1116,89,100,0,500,2708;
@400000005e68997c118a283b #d,-,18,2417,2377,1118,2,0,170627,10578,2417,2378,1123,2416,2374,1116,89,100,0,500,2708;
@400000005e68997c11936033 #d,-,18,2418,2376,1121,3,0,171231,10616,2418,2377,1123,2417,2375,1117,89,100,0,500,2704;
@400000005e68997e11a1dadd #d,-,18,2418,2376,1208,4,0,172972,10724,2418,2377,1235,2418,2375,1118,89,100,0,500,2704;
@400000005e68997e11aa8546 #d,-,18,2705,2374,1288,4,0,176961,10971,2705,2376,1310,2418,2374,1199,92,100,0,500,2922;
@400000005e68998011b8f87d #d,-,18,2811,2375,1234,5,0,181546,11255,2811,2377,1288,2705,2374,1195,91,100,0,500,3076;
@400000005e68998011c1f983 #d,-,18,2675,2375,1201,6,0,181758,11269,2811,2376,1234,2675,2374,1121,91,100,0,500,2938;
@400000005e68998211d0459c #d,-,18,2583,2377,1264,7,0,183311,11365,2675,2378,1298,2583,2375,1194,90,100,0,500,2846;
@400000005e68998211d9655e #d,-,18,2824,2378,1126,7,0,182629,11323,2824,2378,1278,2583,2375,1116,92,100,0,500,3052;
@400000005e68998411e7cd67 #d,-,18,2617,2378,1160,8,0,183014,11346,2824,2379,1218,2617,2377,1126,90,100,0,500,2905;
@400000005e68998411f0fcfe #d,-,18,2612,2376,1281,9,0,183535,11379,2617,2378,1281,2612,2376,1132,92,100,0,500,2839;
@400000005e68998611ff5ca6 #d,-,18,2767,2378,1256,10,0,184881,11462,2767,2378,1300,2612,2376,1256,92,100,0,500,3005;
@400000005e689986120927c5 #d,-,18,2695,2376,1216,10,0,184970,11468,2767,2378,1256,2695,2375,1121,90,100,0,500,2962;
@400000005e6899881217ca7b #d,-,18,2561,2376,1207,11,0,184943,11466,2695,2377,1234,2561,2375,1117,89,100,0,500,2851;
@400000005e68998812204299 #d,-,18,2719,2376,1289,12,0,185968,11530,2719,2378,1309,2561,2376,1205,92,100,0,500,2934;
@400000005e68998a122da7ba #d,-,18,2826,2378,1224,13,0,186265,11548,2826,2378,1290,2719,2375,1105,91,100,0,500,3090;
@400000005e68998a12371971 #d,-,18,2595,2378,1132,13,0,186131,11540,2826,2379,1229,2595,2377,1116,90,100,0,500,2862;
@400000005e68998c124552ea #d,-,18,2387,2378,1138,14,0,185052,11473,2595,2379,1140,2387,2378,1005,87,100,0,500,2725;
@400000005e68998c124e3bb9 #d,-,18,2387,2378,1139,15,0,184745,11454,2387,2378,1151,2387,2377,1138,89,100,0,500,2656;
@400000005e68998e125b3ffe #d,-,18,2459,2378,1120,15,0,184261,11424,2459,2378,1139,2387,2377,1113,89,100,0,500,2744;
@400000005e68998e1264312f #d,-,18,2454,2378,1118,16,0,183818,11396,2459,2379,1122,2454,2378,1116,90,100,0,500,2711;
@400000005e6899901271ad99 #d,-,18,2451,2379,1121,17,0,183423,11372,2454,2379,1124,2451,2378,1116,90,100,0,500,2706;
@400000005e689990127a58f1 #d,-,18,2447,2378,1119,17,0,183042,11348,2451,2379,1122,2447,2378,1116,90,100,0,500,2706;
@400000005e689992128770c5 #d,-,18,2444,2378,1119,18,0,182695,11327,2447,2379,1123,2444,2377,1117,90,100,0,500,2708;
@400000005e68999212903630 #d,-,18,2441,2378,1122,19,0,182369,11306,2444,2378,1122,2441,2377,1118,90,100,0,500,2708;
@400000005e689994129e9992 #d,-,18,2439,2377,1120,19,0,182065,11288,2441,2378,1124,2439,2376,1117,90,100,0,500,2708;
@400000005e68999412a7c56f #d,-,18,2491,2376,1289,20,0,182364,11306,2491,2377,1289,2439,2376,1118,90,100,0,500,2749;
@400000005e68999612b5f686 #d,-,18,2779,2378,1246,21,0,183069,11350,2779,2378,1307,2491,2376,1246,92,100,0,500,3016;
@400000005e68999612bfb2be #d,-,18,2777,2379,1195,22,0,183934,11403,2779,2379,1277,2777,2378,1168,92,100,0,500,3014;
@400000005e68999812cec624 #d,-,18,2587,2377,1199,22,0,183957,11405,2777,2379,1228,2587,2377,1122,89,100,0,500,2886;
@400000005e68999812d83068 #d,-,18,2705,2378,1276,23,0,184479,11437,2705,2380,1299,2587,2377,1195,92,100,0,500,2924;
@400000005e68999a12e631ff #d,-,18,2793,2378,1204,24,0,184112,11414,2793,2380,1276,2705,2378,1118,91,100,0,500,3057;
@400000005e68999a12efbfa6 #d,-,18,2559,2380,1183,24,0,184034,11410,2793,2380,1204,2559,2378,1126,90,100,0,501,2839;
@400000005e68999c12fede3a #d,-,18,2561,2380,1272,25,0,184415,11433,2561,2380,1300,2559,2378,1183,90,100,0,501,2841;
@400000005e68999c1308410a #d,-,18,2828,2381,1146,26,0,184668,11449,2828,2381,1280,2561,2378,1115,92,100,0,501,3054;
@400000005e68999e131724f1 #d,-,18,2611,2381,1137,27,0,185146,11479,2828,2381,1218,2611,2378,1137,89,100,0,501,2903;
@400000005e68999e13207079 #d,-,18,2555,2381,1286,27,0,184828,11459,2611,2381,1286,2555,2378,1124,90,100,0,501,2810;
@400000005e6899a0132f4579 #d,-,18,2765,2380,1248,28,0,185255,11485,2765,2381,1298,2555,2378,1248,92,100,0,501,3005;
@400000005e6899a0133878ca #d,-,18,2701,2379,1209,29,0,185296,11488,2765,2381,1248,2701,2378,1133,90,100,0,501,2974;
@400000005e6899a213452ed4 #d,-,18,2599,2380,1117,30,0,185126,11477,2701,2381,1216,2599,2378,1117,90,100,0,501,2879;
@400000005e6899a2134dd93d #d,-,18,2425,2378,1123,30,0,185297,11488,2599,2381,1123,2425,2377,1116,89,100,0,501,2713;
@400000005e6899a4135b666b #d,-,18,2425,2379,1120,31,0,184620,11446,2425,2379,1123,2425,2376,1116,89,100,0,501,2706;
@400000005e6899a413643bab #d,-,18,2424,2377,1120,32,0,184794,11457,2425,2379,1125,2424,2377,1117,89,100,0,500,2706;
@400000005e6899a61370a734 #d,-,18,2424,2380,1121,32,0,184157,11417,2424,2381,1123,2424,2376,1117,89,100,0,500,2708;
@400000005e6899a61379d6cb #d,-,18,2424,2379,1119,33,0,183935,11403,2424,2380,1123,2424,2378,1116,89,100,0,500,2706;
@400000005e6899a813873cdb #d,-,18,2423,2379,1123,34,0,183724,11390,2424,2379,1123,2423,2377,1117,89,100,0,500,2706;
@400000005e6899a8138fefa5 #d,-,18,2423,2379,1118,34,0,183516,11378,2423,2379,1125,2423,2378,1117,89,100,0,500,2706;
@400000005e6899aa139e6696 #d,-,18,2423,2377,1121,35,0,183323,11366,2423,2379,1123,2423,2377,1116,89,100,0,500,2706;
@400000005e6899aa13a7c4bd #d,-,18,2422,2377,1198,36,0,183318,11365,2423,2378,1232,2422,2377,1116,89,100,0,500,2706;
@400000005e6899ac13b610d6 #d,-,18,2727,2378,1286,37,0,183698,11389,2727,2379,1310,2422,2376,1196,92,100,0,500,2936;
@400000005e6899ac13bf7760 #d,-,18,2797,2378,1215,37,0,183942,11404,2797,2379,1286,2727,2378,1198,91,100,0,500,3069;
@400000005e6899ae13ce6763 #d,-,18,2677,2377,1219,38,0,183940,11404,2797,2379,1219,2677,2376,1121,91,100,0,500,2941;
@400000005e6899ae13d7b1fc #d,-,18,2585,2379,1267,39,0,184191,11419,2677,2379,1298,2585,2376,1194,90,100,0,500,2848;
@400000005e6899b013e64896 #d,-,18,2834,2379,1154,39,0,184358,11430,2834,2380,1280,2585,2378,1123,92,100,0,500,3064;
@400000005e6899b013ef8449 #d,-,18,2607,2377,1140,40,0,184366,11430,2834,2379,1218,2607,2377,1140,90,100,0,500,2896;
