@400000005e69ea8f2d5b1157 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e69ea901baa0457 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e69ea9021b800d8 #f,-,48,85,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e69ea9221ca8723 #d,-,18,2438,2381,1125,1,0,170084,10545,2438,2381,1131,2436,2379,1123,89,100,0,500,2730;
@400000005e69ea9421d84e0e #d,-,18,2438,2380,1125,1,0,171881,10656,2438,2381,1132,2438,2378,1120,89,100,0,500,2727;
@400000005e69ea9421e0e991 #d,-,18,2439,2379,1127,2,0,172707,10707,2439,2380,1129,2438,2378,1120,89,100,0,500,2727;
@400000005e69ea9621ee2883 #d,-,18,2440,2382,1123,3,0,173232,10740,2440,2382,1130,2439,2379,1121,89,100,0,500,2727;
@400000005e69ea9621f6b430 #d,-,18,2440,2380,1126,3,0,173581,10762,2440,2382,1128,2440,2380,1121,89,100,0,500,2725;
@400000005e69ea9822008f24 #d,-,18,2440,2380,1400,4,0,178288,11053,2440,2381,1400,2440,2380,1122,89,100,0,500,2727;
@400000005e69ea982205f9e1 #d,-,18,2882,2378,1397,5,0,181546,11255,2882,2380,1404,2440,2377,1321,93,100,0,500,3073;
@400000005e69ea9a220f77b3 #d,-,18,3154,2377,1400,6,0,186572,11567,3154,2378,1404,2882,2377,1394,93,100,0,500,3365;
@400000005e69ea9a22151101 #d,-,18,3154,2379,1397,7,0,192518,11936,3154,2379,1404,3154,2377,1396,93,100,0,500,3377;
@400000005e69ea9c22216542 #d,-,18,3155,2379,1401,8,0,193869,12019,3155,2380,1407,3154,2378,1390,93,100,0,500,3374;
@400000005e69ea9c22296094 #d,-,18,3155,2377,1399,8,0,196600,12189,3155,2379,1404,3155,2376,1393,93,100,0,500,3374;
@400000005e69ea9e22328410 #d,-,18,3290,2379,1482,9,0,199374,12361,3290,2381,1632,3155,2376,1239,95,100,0,500,3450;
@400000005e69ea9e22373b0e #d,-,18,3100,2378,1402,10,0,201363,12484,3290,2380,1482,3100,2378,1375,91,100,0,500,3379;
@400000005e69eaa0223f1b5f #d,-,18,3180,2380,1408,11,0,203143,12594,3180,2380,1411,3100,2377,1401,93,100,0,500,3398;
@400000005e69eaa02243bece #d,-,18,3179,2380,1405,12,0,204719,12692,3180,2382,1410,3179,2380,1401,93,100,0,500,3391;
@400000005e69eaa2224c790c #d,-,18,3179,2379,1404,13,0,206085,12777,3179,2380,1410,3179,2378,1400,93,100,0,500,3393;
@400000005e69eaa222520ea1 #d,-,18,3179,2379,1408,14,0,207713,12878,3179,2380,1610,3179,2377,1402,93,100,0,500,3389;
@400000005e69eaa4225b4965 #d,-,18,3232,2380,1421,15,0,208573,12931,3232,2381,1482,3179,2379,1235,93,100,0,500,3441;
@400000005e69eaa42260acaf #d,-,18,3166,2379,1404,16,0,209548,12992,3232,2381,1423,3166,2378,1401,93,100,0,500,3398;
@400000005e69eaa6226a5558 #d,-,18,3167,2380,1404,16,0,210437,13047,3167,2380,1411,3166,2379,1404,93,100,0,500,3396;
@400000005e69eaa6226fbc5c #d,-,18,3168,2380,1404,17,0,212210,13157,3168,2381,1412,3167,2379,1404,93,100,0,500,3396;
@400000005e69eaa82279269f #d,-,18,3169,2381,1406,18,0,211977,13142,3169,2382,1410,3168,2379,1402,93,100,0,500,3393;
@400000005e69eaa8227e184a #d,-,18,3292,2379,1429,19,0,212839,13196,3292,2381,1623,3169,2379,1242,93,100,0,500,3505;
@400000005e69eaaa228670be #d,-,18,3114,2381,1405,20,0,214271,13284,3292,2382,1429,3114,2379,1377,93,100,0,500,3344;
@400000005e69eaaa228b4eda #d,-,18,3176,2381,1405,21,0,213978,13266,3176,2382,1410,3114,2381,1400,93,100,0,500,3396;
@400000005e69eaac2294c8f3 #d,-,18,3176,2382,1405,22,0,214516,13300,3176,2383,1410,3176,2380,1404,93,100,0,500,3393;
@400000005e69eaac229a3b23 #d,-,18,3177,2384,1403,23,0,215015,13330,3177,2384,1410,3176,2382,1401,93,100,0,500,3400;
@400000005e69eaae22a85049 #d,-,18,3177,2386,1135,23,0,215451,13357,3177,2386,1614,3177,2383,1135,93,100,0,500,3398;
@400000005e69eaae22b15509 #d,-,18,2830,2384,1124,24,0,214061,13271,3177,2386,1177,2830,2383,1011,89,100,0,500,3152;
@400000005e69eab022bfa4dc #d,-,18,2449,2384,1142,25,0,212835,13195,2830,2385,1143,2449,2383,1117,89,100,0,500,2742;
@400000005e69eab022c81941 #d,-,18,2447,2385,1125,25,0,211654,13122,2449,2386,1144,2447,2384,1115,89,100,0,500,2732;
@400000005e69eab222d54c17 #d,-,18,2447,2384,1125,26,0,210540,13053,2447,2386,1128,2447,2384,1122,89,100,0,500,2730;
@400000005e69eab222de2d73 #d,-,18,2445,2383,1122,27,0,209487,12988,2447,2384,1128,2445,2383,1120,89,100,0,500,2727;
@400000005e69eab422eb7ff4 #d,-,18,2444,2385,1126,28,0,208499,12926,2445,2385,1127,2444,2383,1119,89,100,0,500,2725;
@400000005e69eab422f3fbcc #d,-,18,2443,2383,1120,28,0,207558,12868,2444,2385,1126,2443,2383,1120,89,100,0,500,2723;
@400000005e69eab62301f9aa #d,-,18,2442,2383,1125,29,0,207231,12848,2443,2384,1126,2442,2382,1119,89,100,0,500,2720;
@400000005e69eab6230a952c #d,-,18,2441,2384,1120,30,0,206371,12795,2442,2384,1125,2441,2382,1119,89,100,0,500,2720;
@400000005e69eab82313c01b #d,-,18,2440,2381,1377,30,0,205828,12761,2441,2385,1377,2440,2381,1119,89,100,0,500,2723;
@400000005e69eab823189a7d #d,-,18,2846,2382,1394,31,0,206255,12787,2846,2382,1398,2440,2380,1332,93,100,0,500,3047;
@400000005e69eaba2321b685 #d,-,18,3152,2385,1398,32,0,206249,12787,3152,2385,1401,2846,2382,1392,93,100,0,500,3363;
@400000005e69eaba232724fc #d,-,18,3152,2383,1398,33,0,206735,12817,3152,2385,1401,3152,2382,1391,93,100,0,500,3372;
@400000005e69eabc23337cf7 #d,-,18,3152,2383,1394,34,0,207194,12846,3152,2384,1400,3152,2382,1393,93,100,0,500,3379;
@400000005e69eabc233c918b #d,-,18,3152,2385,1401,35,0,207636,12873,3152,2385,1402,3152,2383,1390,93,100,0,500,3374;
@400000005e69eabe2345e0cd #d,-,18,3226,2383,1440,36,0,208151,12905,3226,2385,1631,3152,2383,1242,94,100,0,500,3405;
@400000005e69eabe234b6dff #d,-,18,3158,2383,1399,36,0,208600,12933,3226,2384,1478,3158,2382,1371,92,100,0,500,3431;
@400000005e69eac02354864e #d,-,18,3161,2383,1398,37,0,209011,12958,3161,2383,1410,3158,2382,1397,93,100,0,500,3398;
@400000005e69eac0235a00e0 #d,-,18,3163,2380,1406,38,0,209411,12983,3163,2383,1412,3161,2380,1398,93,100,0,500,3391;
@400000005e69eac223637297 #d,-,18,3165,2382,1406,39,0,209798,13007,3165,2382,1410,3163,2380,1403,93,100,0,500,3396;
@400000005e69eac22368cd7f #d,-,18,3167,2379,1558,40,0,210364,13042,3167,2383,1627,3165,2378,1403,93,100,0,500,3393;
@400000005e69eac423718c65 #d,-,18,3240,2382,1415,41,0,211027,13083,3240,2382,1558,3167,2379,1249,93,100,0,500,3450;
@400000005e69eac42376fadc #d,-,18,3184,2382,1406,42,0,211366,13104,3240,2383,1419,3184,2381,1401,93,100,0,500,3412;
@400000005e69eac6237fe3ab #d,-,18,3183,2380,1404,43,0,211288,13099,3184,2382,1410,3183,2379,1403,93,100,0,500,3398;
@400000005e69eac623851864 #d,-,18,3183,2382,1409,43,0,211607,13119,3183,2382,1410,3183,2379,1402,93,100,0,500,3398;
@400000005e69eac8238d0b55 #d,-,18,3183,2381,1406,44,0,211912,13138,3183,2382,1410,3183,2380,1404,93,100,0,500,3396;
@400000005e69eac8239193c2 #d,-,18,3290,2378,1431,45,0,212282,13161,3290,2381,1622,3183,2377,1238,93,100,0,500,3505;
@400000005e69eaca2399f3aa #d,-,18,3116,2379,1408,46,0,212539,13177,3290,2380,1431,3116,2378,1374,93,100,0,500,3341;
@400000005e69eaca239eb6c4 #d,-,18,3174,2377,1404,47,0,212807,13194,3174,2380,1410,3116,2377,1404,93,100,0,500,3393;
@400000005e69eacc23a814ec #d,-,18,3174,2377,1407,48,0,213066,13210,3174,2379,1409,3174,2377,1401,93,100,0,500,3389;
@400000005e69eacc23ada30d #d,-,18,3174,2379,1406,49,0,213313,13225,3174,2379,1409,3174,2377,1401,93,100,0,500,3391;
@400000005e69eace23bb725a #d,-,18,3174,2380,1157,50,0,213560,13240,3174,2380,1613,3174,2377,1157,93,100,0,500,3389;
@400000005e69eace23c4d7f5 #d,-,18,2840,2378,1138,50,0,212913,13200,3174,2381,1186,2840,2378,1009,90,100,0,500,3152;
@400000005e69ead023d4aeef #d,-,18,2441,2380,1131,51,0,212328,13164,2840,2381,1138,2441,2378,1128,89,100,0,500,2737;
@400000005e69ead023ddcaf8 #d,-,18,2442,2379,1131,52,0,212093,13149,2442,2381,1134,2441,2378,1128,89,100,0,500,2739;
@400000005e69ead223ed2526 #d,-,18,2444,2381,1132,52,0,211540,13115,2444,2381,1133,2442,2378,1129,89,100,0,500,2737;
@400000005e69ead223f6e8d1 #d,-,18,2445,2380,1132,53,0,210684,13062,2445,2381,1135,2444,2379,1130,89,100,0,500,2739;
@400000005e69ead424068c93 #d,-,18,2446,2382,1133,54,0,210171,13030,2446,2382,1134,2445,2380,1128,89,100,0,500,2742;
@400000005e69ead4240fbc2a #d,-,18,2447,2380,1131,54,0,209671,12999,2447,2382,1133,2446,2379,1130,89,100,0,500,2739;
@400000005e69ead6241f8709 #d,-,18,2448,2383,1131,55,0,209186,12969,2448,2383,1134,2447,2380,1128,89,100,0,500,2739;
@400000005e69ead62428ed92 #d,-,18,2449,2381,1129,56,0,208715,12940,2449,2383,1134,2448,2380,1128,89,100,0,500,2739;
@400000005e69ead824328667 #d,-,18,2450,2382,1292,56,0,208329,12916,2450,2382,1292,2449,2380,1129,89,100,0,500,2739;
@400000005e69ead824381488 #d,-,18,2801,2381,1394,57,0,208540,12929,2801,2382,1412,2450,2381,1292,93,100,0,500,3009;
@400000005e69eada2440af1c #d,-,18,3146,2380,1399,58,0,208788,12944,3146,2381,1402,2801,2378,1384,93,100,0,500,3348;
@400000005e69eada2445475e #d,-,18,3148,2382,1398,59,0,209312,12977,3148,2382,1402,3146,2380,1393,93,100,0,500,3379;
@400000005e69eadc244e5fad #d,-,18,3148,2379,1395,60,0,209539,12991,3148,2382,1400,3148,2378,1393,93,100,0,500,3370;
@400000005e69eadc2453ddf9 #d,-,18,3149,2383,1403,61,0,209768,13005,3149,2383,1406,3148,2379,1395,93,100,0,500,3377;
@400000005e69eade245d9589 #d,-,18,3153,2381,1345,62,0,209748,13004,3153,2383,1629,3149,2380,1232,93,100,0,500,3381;
@400000005e69eade2462d1b5 #d,-,18,3212,2381,1399,63,0,210015,13020,3212,2381,1479,3153,2380,1345,92,100,0,500,3460;
@400000005e69eae0246bea04 #d,-,18,3208,2380,1411,64,0,210252,13035,3212,2382,1414,3208,2380,1399,94,100,0,500,3396;
@400000005e69eae024716850 #d,-,18,3205,2381,1408,64,0,210479,13049,3208,2381,1412,3205,2379,1403,94,100,0,500,3400;
@400000005e69eae2247aaf2f #d,-,18,3202,2382,1406,65,0,210701,13063,3205,2382,1411,3202,2381,1404,94,100,0,500,3398;
@400000005e69eae2247fe6b3 #d,-,18,3199,2379,1630,66,0,211025,13083,3202,2382,1631,3199,2379,1404,94,100,0,500,3398;
@400000005e69eae42489683f #d,-,18,3201,2381,1399,67,0,211165,13092,3201,2381,1630,3199,2379,1233,93,100,0,500,3434;
@400000005e69eae4248efec2 #d,-,18,3201,2379,1409,68,0,211627,13120,3201,2381,1425,3201,2375,1399,93,100,0,500,3419;
@400000005e69eae62497a572 #d,-,18,3198,2381,1405,69,0,211817,13132,3201,2381,1410,3198,2378,1402,94,100,0,500,3391;
@400000005e69eae6249cb992 #d,-,18,3195,2378,1408,70,0,212008,13144,3198,2381,1410,3195,2377,1403,94,100,0,500,3396;
@400000005e69eae824a5ae7c #d,-,18,3193,2380,1406,71,0,212191,13155,3195,2380,1410,3193,2378,1401,94,100,0,500,3393;
