@400000005e6b3d602d7158c3 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e6b3d611bc18b34 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6b3d6121cf9c32 #f,-,48,185,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e6b3d6321e239c6 #d,-,18,2434,2372,1130,1,0,177246,10989,2434,2373,1130,2433,2372,1124,89,55,0,500,2720;
@400000005e6b3d6521f02b88 #d,-,18,2435,2371,1130,1,0,176562,10946,2435,2374,1132,2434,2370,1126,89,71,0,500,2723;
@400000005e6b3d6521f8d326 #d,-,18,2436,2374,1130,2,0,171682,10644,2436,2374,1131,2435,2371,1126,89,76,0,500,2725;
@400000005e6b3d672205e299 #d,-,18,2437,2374,1127,3,0,172368,10686,2437,2375,1131,2436,2374,1124,89,81,0,500,2723;
@400000005e6b3d67220f2978 #d,-,18,2437,2371,1127,3,0,172821,10714,2437,2374,1131,2437,2371,1123,89,84,0,500,2720;
@400000005e6b3d69221a313d #d,-,18,2437,2373,1125,4,0,173101,10732,2437,2374,1131,2437,2371,1125,89,86,0,500,2718;
@400000005e6b3d69221f4292 #d,-,18,2437,2371,1456,5,0,176440,10939,2437,2374,1492,2437,2371,1124,89,88,0,500,2720;
@400000005e6b3d6b222950bf #d,-,18,3118,2371,1476,6,0,183049,11349,3118,2372,1491,2437,2370,1380,95,89,0,500,3268;
@400000005e6b3d6b222efd9c #d,-,18,3329,2372,1524,7,0,188685,11698,3329,2373,1524,3118,2371,1413,94,90,0,500,3536;
@400000005e6b3d6d223d65a6 #d,-,18,3194,2374,1448,7,0,192694,11947,3329,2375,1554,3194,2371,1259,92,91,0,500,3443;
@400000005e6b3d6d2246db16 #d,-,18,3407,2373,1506,8,0,197080,12219,3407,2375,1520,3194,2373,1448,95,92,0,500,3569;
@400000005e6b3d6f2250f918 #d,-,18,3406,2372,1580,9,0,200040,12402,3407,2374,1580,3406,2371,1253,94,93,0,500,3611;
