@400000005e6f31d52f5a7f9a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e6f31d61da9fa93 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6f31d623b83a21 #f,-,48,41,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e6f31d823ca6616 #d,-,18,2421,2391,1118,0,0,164599,10205,2421,2391,1119,2421,2390,1114,89,100,0,500,2718;
@400000005e6f31da23d84538 #d,-,18,2421,2390,1115,1,0,168317,10435,2421,2392,1123,2421,2390,1114,89,100,0,500,2718;
@400000005e6f31da23e12e07 #d,-,18,2421,2392,1118,2,0,169869,10531,2421,2392,1121,2421,2389,1113,89,100,0,500,2720;
@400000005e6f31dc23ede7cb #d,-,18,2421,2389,1117,2,0,170763,10587,2421,2392,1121,2421,2389,1113,89,100,0,500,2718;
@400000005e6f31dc23f66c05 #d,-,18,2421,2391,1117,3,0,171332,10622,2421,2392,1119,2421,2389,1114,89,100,0,500,2718;
@400000005e6f31de24031d68 #d,-,18,2422,2390,1118,4,0,171726,10647,2422,2392,1120,2421,2390,1115,89,100,0,500,2715;
@400000005e6f31de240be77b #d,-,18,2422,2391,1116,4,0,174359,10810,2422,2392,1121,2422,2390,1114,89,100,0,500,2718;
@400000005e6f31e024193db6 #d,-,18,2422,2390,1121,5,0,172253,10679,2422,2392,1121,2422,2389,1114,89,100,0,500,2718;
@400000005e6f31e02421b5d4 #d,-,18,2422,2393,1116,6,0,174275,10805,2422,2394,1122,2422,2390,1116,88,100,0,500,2723;
@400000005e6f31e22430b1f2 #d,-,18,2423,2392,1120,6,0,172593,10700,2423,2393,1122,2422,2391,1115,88,100,0,500,2723;
@400000005e6f31e2243a892c #d,-,18,2423,2394,1122,7,0,172731,10709,2423,2394,1126,2423,2392,1115,89,100,0,500,2720;
@400000005e6f31e4244854c0 #d,-,18,2426,2392,1506,8,0,177445,11001,2426,2394,1856,2423,2390,1122,88,100,0,500,2734;
@400000005e6f31e42451228d #d,-,18,3312,2392,1229,9,0,178747,11082,3312,2393,1506,2426,2391,1152,93,100,0,500,3543;
@400000005e6f31e6245f7619 #d,-,18,2729,2394,1151,9,0,179404,11123,3312,2394,1241,2729,2391,1151,90,100,0,500,3000;
@400000005e6f31e62467a3b6 #d,-,18,3076,2392,1234,10,0,183294,11364,3076,2394,1841,2729,2389,1141,94,100,0,500,3239;
@400000005e6f31e8247626c2 #d,-,18,2910,2393,1206,11,0,184092,11413,3076,2394,1270,2910,2391,1206,87,100,0,500,3320;
@400000005e6f31e8247f0464 #d,-,18,2667,2388,1811,12,0,185521,11502,2910,2393,1811,2667,2388,1141,90,100,0,500,2957;
@400000005e6f31ea248e3b2e #d,-,18,3280,2393,1234,13,0,188210,11669,3280,2394,1870,2667,2388,1144,93,100,0,500,3512;
@400000005e6f31ea24986cbf #d,-,18,2695,2390,1177,13,0,188383,11679,3280,2393,1242,2695,2390,1177,90,100,0,500,2964;
@400000005e6f31ec24a69ce8 #d,-,18,2625,2392,1375,14,0,189736,11763,2695,2392,1889,2625,2389,1132,90,100,0,500,2898;
@400000005e6f31ec24af6341 #d,-,18,3236,2390,1226,15,0,189641,11757,3236,2393,1375,2625,2390,1092,92,100,0,500,3505;
@400000005e6f31ee24bdaba1 #d,-,18,2695,2393,1155,16,0,189593,11754,3236,2393,1251,2695,2390,1155,90,100,0,500,2967;
