@400000005e70830f3479d28c #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e70831022c8ebbb #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e70831028d72b4a #f,-,48,193,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e70831428eee91a #d,-,18,2424,2377,1129,1,0,174154,10797,2424,2379,1129,2423,2377,1119,89,100,0,500,2718;
@400000005e70831428f76138 #d,-,18,2424,2376,1121,1,0,174028,10789,2424,2378,1129,2424,2375,1121,89,100,0,500,2715;
@400000005e7083162905a5de #d,-,18,2424,2379,1127,2,0,178274,11053,2424,2379,1128,2424,2375,1120,89,100,0,500,2715;
@400000005e708316290f4714 #d,-,18,2424,2376,1123,3,0,177387,10998,2424,2379,1127,2424,2376,1118,89,100,0,500,2718;
@400000005e708318291de8db #d,-,18,2329,2378,1144,3,0,172178,10675,2424,2379,1144,2329,2376,1016,87,100,0,500,2651;
@400000005e7083182927248e #d,-,18,2333,2377,1127,4,0,172496,10694,2333,2378,1147,2329,2376,1113,88,100,0,500,2640;
@400000005e70831a2935931c #d,-,18,2431,2379,1124,5,0,172736,10709,2431,2379,1128,2333,2376,1123,89,100,0,500,2723;
@400000005e70831a293ee9d1 #d,-,18,2431,2377,1130,5,0,172940,10722,2431,2379,1130,2431,2376,1124,89,100,0,500,2720;
@400000005e70831c294d35ea #d,-,18,2431,2376,1125,6,0,173104,10732,2431,2378,1132,2431,2376,1123,89,100,0,500,2725;
@400000005e70831c29565e0d #d,-,18,2432,2377,1131,7,0,173251,10741,2432,2378,1132,2431,2376,1123,89,100,0,500,2725;
@400000005e70831e296257f7 #d,-,18,2432,2376,1129,7,0,173386,10749,2432,2377,1132,2432,2375,1125,89,100,0,500,2723;
