@400000005e7171e10d9d464f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7171e13794ca3a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7171e2020b8f49 #f,-,48,133,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e7171e602282eef #d,-,18,2427,2390,1121,1,0,179184,11109,2427,2392,1128,2425,2388,1121,88,100,0,501,2730;
@400000005e7171e60231b169 #d,-,18,2427,2391,1125,1,0,172325,10684,2427,2391,1128,2427,2389,1120,88,100,0,501,2730;
@400000005e7171e802419b04 #d,-,18,2428,2393,1122,2,0,172823,10715,2428,2394,1126,2427,2391,1119,89,100,0,501,2727;
@400000005e7171e8024aedff #d,-,18,2428,2392,1119,3,0,173079,10730,2428,2394,1124,2428,2392,1117,88,100,0,501,2730;
@400000005e7171ea025a14f4 #d,-,18,2428,2393,1125,4,0,173277,10743,2428,2394,1125,2428,2391,1117,89,100,0,501,2727;
@400000005e7171ea0263d12c #d,-,18,2428,2393,1121,4,0,173401,10750,2428,2393,1126,2428,2391,1119,89,100,0,501,2725;
@400000005e7171ec02730f6a #d,-,18,2428,2391,1126,5,0,175645,10890,2428,2394,1127,2428,2391,1119,88,100,0,501,2730;
@400000005e7171ec027c5dbd #d,-,18,2428,2392,1124,6,0,175517,10882,2428,2394,1126,2428,2391,1120,88,100,0,501,2732;
@400000005e7171ee028b80f8 #d,-,18,2429,2392,1123,6,0,173684,10768,2429,2393,1126,2428,2391,1117,88,100,0,501,2730;
@400000005e7171ee0294d7ad #d,-,18,2429,2391,1123,7,0,173740,10771,2429,2394,1125,2429,2391,1116,89,100,0,501,2725;
@400000005e7171f002a4394f #d,-,18,2429,2391,1122,8,0,173799,10775,2429,2393,1126,2429,2391,1119,88,100,0,501,2730;
@400000005e7171f002adaebf #d,-,18,2429,2393,1126,8,0,173871,10780,2429,2394,1127,2429,2391,1120,88,100,0,501,2730;
@400000005e7171f202bd18c2 #d,-,18,2429,2393,1120,9,0,173893,10781,2429,2394,1127,2429,2392,1120,88,100,0,501,2732;
@400000005e7171f202c66acf #d,-,18,2595,2390,1373,10,0,177164,10984,2595,2393,1373,2429,2389,1120,91,100,0,501,2834;
@400000005e7171f402d591c4 #d,-,18,2968,2391,1201,11,0,178248,11051,2968,2392,1375,2595,2390,1201,92,100,0,501,3206;
@400000005e7171f402df52a4 #d,-,18,2793,2393,1197,11,0,178902,11091,2968,2393,1232,2793,2391,1153,90,100,0,501,3078;
@400000005e7171f602eef1be #d,-,18,2611,2393,1182,12,0,179233,11112,2793,2393,1197,2611,2392,1170,90,100,0,501,2896;
@400000005e7171f602f85847 #d,-,18,2607,2392,1128,13,0,179306,11117,2611,2394,1182,2607,2391,1114,90,100,0,501,2865;
@400000005e7171f80307a2a1 #d,-,18,2461,2394,1188,13,0,179231,11112,2607,2395,1188,2461,2391,1123,89,100,0,501,2763;
@400000005e7171f80311092a #d,-,18,2675,2393,1346,14,0,180788,11208,2675,2394,1373,2461,2392,1188,91,100,0,501,2917;
@400000005e7171fa031f83d4 #d,-,18,3010,2391,1157,15,0,182697,11327,3010,2394,1354,2675,2391,1141,93,100,0,500,3230;
@400000005e7171fa0328e5b6 #d,-,18,2711,2394,1153,16,0,182213,11297,3010,2394,1238,2711,2391,1153,89,100,0,500,3014;
@400000005e7171fc03383871 #d,-,18,2579,2392,1162,16,0,182208,11296,2711,2394,1173,2579,2392,1151,89,100,0,500,2870;
@400000005e7171fc03418e37 #d,-,18,2572,2393,1134,17,0,182039,11286,2579,2395,1163,2572,2392,1117,91,100,0,500,2820;
@400000005e7171fe034fcf23 #d,-,18,2445,2393,1238,18,0,181942,11280,2572,2394,1238,2445,2392,1125,88,100,0,500,2749;
