@400000005e71d3f81dbb05d2 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e71d3f90c0b15ce #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e71d3f912190adb #f,-,48,73,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e71d3fb122b1814 #d,-,18,2429,2371,1128,0,0,174611,10825,2429,2372,1128,2428,2371,1124,89,100,0,500,2715;
@400000005e71d3fd12392d3a #d,-,18,2429,2373,1125,1,0,174556,10822,2429,2373,1130,2429,2371,1123,89,100,0,500,2713;
@400000005e71d3fd1241d7a3 #d,-,18,2430,2372,1129,2,0,174532,10820,2430,2373,1132,2429,2371,1122,89,100,0,500,2713;
@400000005e71d3ff124f785f #d,-,18,2430,2372,1128,2,0,178460,11064,2430,2373,1132,2430,2371,1124,89,100,0,500,2718;
@400000005e71d3ff125807c6 #d,-,18,2430,2371,1125,3,0,174560,10822,2430,2372,1130,2430,2370,1124,89,100,0,500,2720;
@400000005e71d401126561ba #d,-,18,2431,2373,1127,4,0,177254,10989,2431,2373,1132,2430,2370,1122,89,100,0,500,2713;
@400000005e71d401126ddd92 #d,-,18,2431,2372,1122,4,0,174536,10821,2431,2373,1128,2431,2372,1122,89,100,0,500,2715;
@400000005e71d403127b4b15 #d,-,18,2431,2372,1126,5,0,174561,10822,2431,2374,1131,2431,2371,1122,89,100,0,500,2715;
@400000005e71d4031283fde0 #d,-,18,2431,2374,1125,6,0,174537,10821,2431,2374,1130,2431,2372,1122,89,100,0,500,2713;
@400000005e71d40512910137 #d,-,18,2431,2372,1125,6,0,174517,10820,2431,2374,1130,2431,2371,1122,89,100,0,500,2718;
@400000005e71d4051299eaf5 #d,-,18,2431,2372,1127,7,0,174488,10818,2431,2372,1128,2431,2371,1121,89,100,0,500,2711;
@400000005e71d40712a711b0 #d,-,18,2431,2372,1128,8,0,174486,10818,2431,2373,1129,2431,2371,1123,89,100,0,500,2715;
