@400000005e7324d82f4725e5 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7324d91d991671 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7324d923a774bc #f,-,48,177,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e7324db23ba7060 #d,-,18,2420,2358,1130,0,0,171327,10622,2420,2358,1133,2418,2356,1127,89,100,0,501,2706;
@400000005e7324dd23c808ba #d,-,18,2420,2358,1126,1,0,172276,10681,2420,2359,1131,2420,2356,1125,89,100,0,501,2699;
@400000005e7324dd23d074bd #d,-,18,2420,2358,1129,2,0,172709,10708,2420,2359,1132,2420,2355,1125,89,100,0,501,2701;
@400000005e7324df23ddd713 #d,-,18,2420,2358,1128,2,0,172913,10720,2420,2359,1132,2420,2356,1123,89,100,0,501,2701;
@400000005e7324df23e652eb #d,-,18,2420,2359,1129,3,0,173068,10730,2420,2359,1132,2420,2356,1124,89,100,0,501,2704;
@400000005e7324e123f39d0a #d,-,18,2420,2359,1129,4,0,173197,10738,2420,2359,1132,2420,2356,1124,89,100,0,501,2701;
@400000005e7324e123fc6364 #d,-,18,2420,2358,1130,4,0,173271,10742,2420,2359,1133,2420,2357,1126,89,100,0,501,2704;
@400000005e7324e32409a9c9 #d,-,18,2421,2358,1133,5,0,173345,10747,2421,2360,1134,2420,2356,1126,89,100,0,501,2704;
@400000005e7324e32412c5d1 #d,-,18,2421,2359,1128,6,0,173404,10751,2421,2360,1134,2421,2358,1127,89,100,0,501,2706;
@400000005e7324e524203e81 #d,-,18,2422,2359,1130,6,0,173451,10753,2422,2360,1131,2421,2358,1124,89,100,0,501,2706;
@400000005e7324e52428b2e6 #d,-,18,2421,2360,1128,7,0,173502,10757,2422,2360,1133,2421,2358,1126,89,100,0,501,2704;
