@400000005e7476fa17cf8199 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7476fb062be8a1 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7476fb0c3d2975 #f,-,48,45,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e7476fd0c54099d #d,-,18,2412,2374,1126,0,0,165270,10246,2412,2374,1129,2411,2371,1118,89,100,0,501,2708;
@400000005e7476ff0c64be3f #d,-,18,2414,2373,1122,1,0,168476,10445,2414,2374,1128,2412,2372,1121,89,100,0,501,2711;
@400000005e7476ff0c6dedd6 #d,-,18,2415,2374,1127,2,0,170021,10541,2415,2374,1130,2414,2371,1122,89,100,0,501,2711;
@400000005e7477010c7d1974 #d,-,18,2415,2372,1124,2,0,170831,10591,2415,2374,1130,2415,2372,1122,88,100,0,501,2715;
@400000005e7477010c869b00 #d,-,18,2416,2372,1129,3,0,171404,10627,2416,2374,1129,2415,2372,1121,89,100,0,501,2713;
@400000005e7477030c955b83 #d,-,18,2417,2373,1126,4,0,171737,10647,2417,2374,1129,2416,2371,1121,89,100,0,501,2711;
@400000005e7477030c9ea351 #d,-,18,2418,2371,1125,4,0,172021,10665,2418,2373,1129,2417,2371,1122,89,100,0,501,2713;
@400000005e7477050cadddd5 #d,-,18,2418,2371,1128,5,0,172238,10678,2418,2373,1129,2418,2370,1124,89,100,0,501,2713;
@400000005e7477050cb78a38 #d,-,18,2419,2373,1123,6,0,172426,10690,2419,2373,1131,2418,2370,1123,89,100,0,501,2715;
@400000005e7477070cc758d1 #d,-,18,2420,2374,1127,6,0,172578,10699,2420,2374,1130,2419,2371,1121,89,100,0,501,2715;
@400000005e7477070cd0b6f8 #d,-,18,2420,2372,1125,7,0,172704,10707,2420,2374,1128,2420,2371,1121,89,100,0,501,2711;
@400000005e7477090ce09566 #d,-,18,2422,2373,1128,8,0,172821,10714,2422,2374,1129,2420,2372,1121,89,100,0,501,2715;
@400000005e7477090ce9e861 #d,-,18,2422,2373,1126,8,0,172900,10719,2422,2375,1129,2422,2372,1122,89,100,0,501,2713;
@400000005e74770b0cf8b9a8 #d,-,18,2422,2374,1125,9,0,172987,10725,2422,2375,1129,2422,2373,1124,89,100,0,501,2713;
@400000005e74770b0d02b800 #d,-,18,2423,2373,1137,10,0,173082,10731,2423,2375,1137,2422,2373,1122,89,100,0,501,2718;
@400000005e74770d0d114639 #d,-,18,2914,2371,1452,11,0,178918,11092,2914,2373,1677,2423,2370,1137,95,100,0,501,3062;
@400000005e74770d0d1a957a #d,-,18,3054,2373,1207,11,0,179329,11118,3054,2375,1452,2914,2371,1051,90,100,0,501,3374;
@400000005e74770f0d2ac996 #d,-,18,2665,2373,1175,12,0,178876,11090,3054,2375,1219,2665,2373,1175,90,100,0,501,2945;
@400000005e74770f0d34b54e #d,-,18,2595,2373,1157,13,0,179150,11107,2665,2375,1186,2595,2373,1157,90,100,0,501,2872;
@400000005e7477110d3d96a9 #d,-,18,2503,2372,1719,14,0,180939,11218,2595,2375,1783,2503,2371,1125,89,100,0,501,2794;
@400000005e7477110d41dc09 #d,-,18,3511,2373,1311,15,0,183552,11380,3511,2375,1719,2503,2370,1079,96,100,0,501,3623;
@400000005e7477130d4fbb2b #d,-,18,2647,2373,1211,15,0,183876,11400,3511,2374,1311,2647,2371,1191,88,100,0,501,3005;
@400000005e7477130d595045 #d,-,18,2645,2371,1181,16,0,183198,11358,2647,2373,1212,2645,2371,1172,90,100,0,501,2907;
@400000005e7477150d687eae #d,-,18,2543,2371,1159,17,0,182965,11343,2645,2373,1183,2543,2371,1124,89,100,0,501,2827;
@400000005e7477150d6cd3e3 #d,-,18,3020,2372,1259,18,0,185614,11508,3020,2372,1750,2543,2369,1159,95,100,0,501,3159;
@400000005e7477170d7a02ff #d,-,18,3020,2372,1220,18,0,185828,11521,3020,2373,1303,3020,2371,1108,90,100,0,501,3346;
@400000005e7477170d834d99 #d,-,18,2653,2372,1163,19,0,185853,11522,3020,2372,1220,2653,2370,1151,90,100,0,501,2936;
@400000005e7477190d8ea841 #d,-,18,2547,2371,1137,20,0,186257,11547,2653,2373,1172,2547,2370,1132,89,100,0,501,2832;
@400000005e7477190d92f9bc #d,-,18,2471,2371,1519,21,0,187607,11631,2547,2373,1758,2471,2370,1131,89,100,0,501,2749;
@400000005e74771b0d9af8c8 #d,-,18,3481,2372,1240,22,0,187738,11639,3481,2372,1627,2471,2369,1102,94,100,0,501,3697;
@400000005e74771b0d9f0823 #d,-,18,2665,2371,1210,22,0,187809,11644,3481,2373,1240,2665,2371,1195,91,100,0,501,2926;
@400000005e74771d0da6d03c #d,-,18,2659,2371,1185,23,0,187731,11639,2665,2372,1210,2659,2370,1176,91,100,0,501,2891;
@400000005e74771d0dab159c #d,-,18,2525,2373,1132,24,0,187383,11617,2659,2373,1185,2525,2370,1127,89,100,0,501,2813;
@400000005e74771f0db76d96 #d,-,18,2365,2372,1144,24,0,186881,11586,2525,2373,1170,2365,2370,1045,88,100,0,501,2673;
@400000005e74771f0dc000b6 #d,-,18,2437,2371,1122,25,0,186492,11562,2437,2373,1144,2365,2370,1114,89,100,0,501,2713;
@400000005e7477210dcc6113 #d,-,18,2434,2371,1127,26,0,186650,11572,2437,2373,1128,2434,2370,1122,89,100,0,501,2708;
@400000005e7477210dd56d46 #d,-,18,2432,2373,1123,26,0,185807,11520,2434,2374,1128,2432,2371,1120,89,100,0,501,2711;
@400000005e7477230de23a98 #d,-,18,2431,2373,1125,27,0,185498,11500,2432,2374,1129,2431,2372,1119,89,100,0,501,2713;
@400000005e7477230deaba2a #d,-,18,2430,2374,1124,28,0,185198,11482,2431,2374,1126,2430,2372,1121,89,100,0,501,2708;
@400000005e7477250df768c1 #d,-,18,2428,2372,1124,28,0,184916,11464,2430,2374,1129,2428,2372,1120,89,100,0,501,2711;
@400000005e7477250e002300 #d,-,18,2428,2371,1127,29,0,184651,11448,2428,2374,1128,2428,2371,1121,89,100,0,501,2708;
@400000005e7477270e0bd710 #d,-,18,2427,2372,1123,30,0,184829,11459,2428,2374,1128,2427,2371,1122,89,100,0,501,2711;
@400000005e7477270e1452e8 #d,-,18,2426,2373,1126,30,0,184151,11417,2427,2374,1130,2426,2372,1120,89,100,0,501,2711;
@400000005e7477290e21289d #d,-,18,2426,2372,1126,31,0,183921,11403,2426,2373,1130,2426,2371,1121,89,100,0,501,2711;
@400000005e7477290e29a82f #d,-,18,2425,2373,1123,32,0,183698,11389,2426,2373,1127,2425,2371,1121,89,100,0,501,2711;
@400000005e74772b0e35a219 #d,-,18,2425,2373,1127,32,0,183487,11376,2425,2373,1129,2425,2371,1121,89,100,0,501,2711;
@400000005e74772b0e3ecdf6 #d,-,18,2424,2371,1125,33,0,183665,11387,2425,2374,1128,2424,2371,1122,89,100,0,501,2711;
@400000005e74772d0e4c00cd #d,-,18,2424,2371,1126,34,0,183461,11374,2424,2374,1129,2424,2371,1121,89,100,0,501,2713;
@400000005e74772d0e549c4f #d,-,18,2423,2371,1120,34,0,182889,11339,2424,2374,1130,2423,2370,1119,89,100,0,501,2708;
@400000005e74772f0e614db1 #d,-,18,2423,2373,1127,35,0,182706,11327,2423,2373,1127,2423,2370,1120,89,100,0,501,2708;
@400000005e74772f0e69e934 #d,-,18,2422,2373,1125,36,0,182524,11316,2423,2373,1127,2422,2371,1119,89,100,0,501,2706;
@400000005e7477310e74c268 #d,-,18,2421,2371,1354,36,0,182488,11314,2422,2373,1354,2421,2371,1120,89,100,0,501,2708;
@400000005e7477310e7af0b9 #d,-,18,3036,2371,1165,37,0,183929,11403,3036,2371,1643,2421,2367,1165,94,100,0,501,3199;
@400000005e7477330e8911fb #d,-,18,2964,2371,1210,38,0,183755,11392,3036,2373,1293,2964,2370,1108,91,100,0,501,3256;
@400000005e7477330e922e03 #d,-,18,2667,2371,1161,39,0,183821,11396,2964,2373,1216,2667,2371,1156,90,100,0,501,2943;
@400000005e7477350e9e6eb5 #d,-,18,2553,2372,1122,40,0,183729,11391,2667,2373,1171,2553,2370,1116,89,100,0,501,2839;
@400000005e7477350ea4b808 #d,-,18,2461,2369,1652,40,0,184327,11428,2553,2372,1756,2461,2367,1122,89,100,0,501,2751;
@400000005e7477370eacaeb2 #d,-,18,3513,2370,1301,41,0,184897,11463,3513,2371,1652,2461,2369,1109,96,100,0,501,3635;
