@400000005e786b431b8d600a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e786b4409ea34f7 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e786b440ffae570 #f,-,48,85,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e786b461011ff56 #d,-,18,2481,2364,1136,1,0,173733,10771,2486,2365,1138,2481,2364,1132,91,55,0,500,2725;
@400000005e786b4810234188 #d,-,18,2477,2364,1133,1,0,174406,10813,2481,2365,1138,2477,2364,1131,90,71,0,500,2730;
@400000005e786b48102c9bf6 #d,-,18,2473,2363,1137,2,0,174725,10832,2477,2365,1138,2473,2363,1132,90,78,0,500,2727;
@400000005e786b4a103c1d42 #d,-,18,2470,2362,1135,3,0,174911,10844,2473,2363,1137,2470,2362,1133,90,83,0,500,2725;
@400000005e786b4a10460f7f #d,-,18,2467,2363,1133,3,0,175033,10852,2470,2364,1139,2467,2362,1131,90,86,0,500,2730;
@400000005e786b4c1055e2c0 #d,-,18,2465,2363,1139,4,0,175119,10857,2467,2363,1140,2465,2363,1131,90,88,0,500,2727;
@400000005e786b4c105f5830 #d,-,18,2462,2363,1135,5,0,175164,10860,2465,2364,1139,2462,2363,1132,90,89,0,500,2727;
@400000005e786b4e106f42b9 #d,-,18,2460,2364,1135,5,0,175183,10861,2462,2365,1138,2460,2363,1132,90,90,0,500,2727;
@400000005e786b4e10788225 #d,-,18,2458,2364,1133,6,0,175183,10861,2460,2365,1136,2458,2364,1132,90,91,0,500,2725;
@400000005e786b501087f2ae #d,-,18,2456,2365,1134,7,0,176821,10962,2458,2365,1136,2456,2364,1132,90,93,0,500,2725;
@400000005e786b5010917080 #d,-,18,2454,2362,1140,7,0,176693,10955,2456,2365,1140,2454,2362,1132,90,94,0,500,2725;
@400000005e786b5210a0b277 #d,-,18,2452,2362,1133,8,0,176586,10948,2454,2363,1141,2452,2362,1131,89,94,0,500,2727;
@400000005e786b5210a9fdff #d,-,18,2451,2364,1134,9,0,175205,10862,2452,2365,1138,2451,2362,1132,89,94,0,500,2725;
@400000005e786b5410b943b0 #d,-,18,2450,2364,1133,9,0,175204,10862,2451,2365,1138,2450,2363,1130,89,94,0,500,2725;
@400000005e786b5410c2c8f5 #d,-,18,2449,2365,1135,10,0,175203,10862,2450,2365,1137,2449,2363,1132,89,94,0,500,2723;
@400000005e786b5610d1fc06 #d,-,18,2448,2364,1133,11,0,175193,10862,2449,2365,1136,2448,2363,1129,89,95,0,500,2723;
@400000005e786b5610dbdf5c #d,-,18,2446,2365,1129,11,0,175152,10859,2448,2365,1134,2446,2363,1128,89,95,0,500,2720;
@400000005e786b5810eb3128 #d,-,18,2444,2360,1131,12,0,175116,10857,2446,2365,1134,2444,2359,1126,90,95,0,500,2713;
@400000005e786b5810f497b2 #d,-,18,2443,2363,1130,13,0,175090,10855,2444,2364,1135,2443,2358,1126,89,95,0,500,2715;
@400000005e786b5a11025ae4 #d,-,18,2751,2359,1583,14,0,178045,11038,2751,2363,1583,2443,2359,1130,94,96,0,500,2924;
@400000005e786b5a110ae2d7 #d,-,18,3463,2361,1439,15,0,182224,11297,3463,2362,1586,2751,2359,1439,95,96,0,500,3645;
@400000005e786b5c111a09cc #d,-,18,3154,2359,1291,15,0,183117,11353,3463,2362,1439,3154,2359,1174,92,96,0,500,3415;
@400000005e786b5c11235f93 #d,-,18,2824,2362,1156,16,0,182751,11330,3154,2362,1292,2824,2359,1156,91,96,0,500,3095;
@400000005e786b5e1131cb56 #d,-,18,2723,2360,1535,17,0,184637,11447,2824,2363,1604,2723,2360,1135,93,96,0,500,2922;
@400000005e786b5e1139f539 #d,-,18,3513,2359,1542,18,0,187401,11618,3513,2362,1608,2723,2359,1535,94,96,0,500,3701;
@400000005e786b6011491875 #d,-,18,3200,2362,1275,19,0,188018,11657,3513,2363,1542,3200,2359,1176,92,97,0,500,3472;
@400000005e786b60115272e3 #d,-,18,2860,2364,1179,20,0,188264,11672,3200,2365,1292,2860,2361,1179,91,97,0,500,3109;
@400000005e786b621160c2b6 #d,-,18,2689,2363,1495,20,0,189597,11755,2860,2364,1610,2689,2361,1160,92,97,0,500,2912;
@400000005e786b6211690028 #d,-,18,3529,2363,1562,21,0,191843,11894,3529,2363,1599,2689,2362,1495,95,97,0,500,3692;
@400000005e786b64117836f2 #d,-,18,3208,2364,1261,22,0,192272,11920,3529,2366,1562,3208,2363,1119,91,97,0,500,3517;
@400000005e786b641181a4ef #d,-,18,2886,2363,1197,23,0,192426,11930,3208,2365,1294,2886,2363,1197,93,97,0,500,3097;
@400000005e786b66118fc631 #d,-,18,2631,2362,1455,24,0,193272,11982,2886,2364,1613,2631,2361,1153,90,97,0,500,2900;
@400000005e786b6611983234 #d,-,18,3513,2363,1568,25,0,195135,12098,3513,2364,1610,2631,2360,1455,96,97,0,500,3635;
@400000005e786b6811a74954 #d,-,18,3294,2364,1268,26,0,195545,12123,3513,2366,1568,3294,2363,1115,91,97,0,500,3602;
@400000005e786b6811b0afde #d,-,18,2856,2364,1221,26,0,195618,12128,3294,2365,1294,2856,2364,1221,93,97,0,500,3062;
@400000005e786b6a11c02155 #d,-,18,2635,2364,1045,27,0,194895,12083,2856,2366,1221,2635,2364,1030,90,97,0,500,2924;
@400000005e786b6a11c97f7d #d,-,18,2278,2364,1137,28,0,194302,12046,2635,2365,1154,2278,2363,1045,88,97,0,500,2583;
@400000005e786b6c11d8c9d6 #d,-,18,2433,2364,1131,28,0,193794,12015,2433,2365,1137,2278,2364,1129,89,97,0,500,2725;
@400000005e786b6c11e21829 #d,-,18,2433,2365,1135,29,0,193319,11985,2433,2365,1135,2433,2364,1128,89,97,0,500,2720;
@400000005e786b6e11f17d84 #d,-,18,2433,2366,1131,30,0,192861,11957,2433,2366,1136,2433,2364,1126,89,98,0,500,2718;
@400000005e786b6e11fb3249 #d,-,18,2433,2366,1132,30,0,192431,11930,2433,2367,1133,2433,2365,1130,89,98,0,500,2720;
@400000005e786b7012099964 #d,-,18,2434,2366,1131,31,0,192018,11905,2434,2367,1134,2433,2366,1129,89,98,0,500,2720;
@400000005e786b7012129a6a #d,-,18,2434,2364,1132,32,0,191627,11880,2434,2367,1134,2434,2364,1131,89,98,0,500,2720;
@400000005e786b7212219dfb #d,-,18,2434,2364,1133,32,0,191257,11857,2434,2365,1135,2434,2364,1131,89,98,0,500,2723;
@400000005e786b72122b0bf8 #d,-,18,2435,2366,1131,33,0,190900,11835,2435,2366,1136,2434,2364,1128,89,98,0,500,2723;
@400000005e786b74123a32ee #d,-,18,2435,2366,1134,34,0,190966,11839,2435,2366,1135,2435,2366,1127,89,98,0,500,2720;
@400000005e786b7412435ecb #d,-,18,2436,2364,1131,34,0,190233,11794,2436,2366,1134,2435,2363,1128,89,98,0,500,2720;
@400000005e786b761252a0c2 #d,-,18,2436,2366,1132,35,0,190309,11799,2436,2366,1133,2436,2363,1129,89,98,0,500,2720;
@400000005e786b76125c0b06 #d,-,18,2436,2366,1132,36,0,190002,11780,2436,2366,1135,2436,2366,1130,89,98,0,500,2718;
@400000005e786b78126b396e #d,-,18,2436,2364,1132,36,0,189331,11738,2436,2366,1135,2436,2364,1130,89,98,0,500,2720;
@400000005e786b781274804e #d,-,18,2437,2366,1133,37,0,189055,11721,2437,2366,1134,2436,2364,1130,89,98,0,500,2723;
@400000005e786b7a1283f1c5 #d,-,18,2437,2364,1130,38,0,188790,11704,2437,2367,1137,2437,2364,1130,89,98,0,500,2720;
@400000005e786b7a128d2515 #d,-,18,2437,2364,1133,39,0,188531,11688,2437,2365,1134,2437,2364,1129,89,98,0,500,2723;
@400000005e786b7c129c115e #d,-,18,2437,2365,1130,39,0,188285,11673,2437,2365,1135,2437,2362,1130,89,98,0,500,2720;
@400000005e786b7c12a5c623 #d,-,18,2437,2363,1131,40,0,188045,11658,2437,2365,1134,2437,2362,1129,89,98,0,500,2718;
@400000005e786b7e12b5a84b #d,-,18,2437,2362,1131,41,0,187811,11644,2437,2364,1134,2437,2362,1129,89,98,0,500,2718;
@400000005e786b7e12bef78c #d,-,18,2437,2364,1132,41,0,187585,11630,2437,2366,1134,2437,2362,1130,89,98,0,500,2720;
@400000005e786b8012cdd400 #d,-,18,2437,2362,1130,42,0,187367,11616,2437,2365,1135,2437,2362,1129,89,98,0,500,2720;
@400000005e786b8012d6e7a6 #d,-,18,2436,2363,1467,43,0,187389,11618,2437,2366,1467,2436,2362,1128,89,98,0,500,2718;
@400000005e786b8212e5efe0 #d,-,18,3016,2360,1559,44,0,188697,11699,3016,2363,1586,2436,2360,1443,95,98,0,500,3173;
@400000005e786b8212ef4694 #d,-,18,3567,2368,1295,44,0,189394,11742,3567,2369,1576,3016,2359,1189,95,98,0,500,3735;
@400000005e786b8412f93d79 #d,-,18,2956,2365,1255,45,0,189367,11740,3567,2368,1381,2956,2365,1255,90,98,0,500,3256;
@400000005e786b84130297e7 #d,-,18,2759,2366,1384,46,0,189415,11743,2956,2368,1384,2759,2365,1147,91,98,0,500,3024;
@400000005e786b86130edc52 #d,-,18,3034,2365,1563,47,0,190407,11805,3034,2366,1608,2759,2365,1384,94,98,0,500,3213;
@400000005e786b8613157f0e #d,-,18,3569,2367,1237,48,0,191058,11845,3569,2368,1579,3034,2365,1181,95,98,0,500,3735;
@400000005e786b881323c76d #d,-,18,2958,2368,1259,49,0,191274,11859,3569,2368,1354,2958,2367,1237,90,98,0,500,3265;
@400000005e786b88132d12f4 #d,-,18,2771,2367,1302,49,0,191272,11858,2958,2369,1302,2771,2367,1163,91,98,0,500,3028;
@400000005e786b8a13389fe7 #d,-,18,3022,2364,1564,50,0,192185,11915,3022,2367,1608,2771,2364,1302,94,98,0,500,3204;
@400000005e786b8a13421dba #d,-,18,3551,2366,1132,51,0,192775,11952,3551,2367,1575,3022,2364,1130,95,98,0,500,3718;
@400000005e786b8c13520b0e #d,-,18,2982,2367,1277,52,0,193244,11981,3551,2367,1371,2982,2366,1132,90,99,0,500,3287;
@400000005e786b8c135bc746 #d,-,18,2783,2369,1157,53,0,193163,11976,2982,2369,1277,2783,2367,1149,91,99,0,500,3040;
@400000005e786b8e136aa000 #d,-,18,2902,2366,1614,54,0,193906,12022,2902,2369,1617,2783,2366,1157,93,99,0,500,3088;
@400000005e786b8e1373c824 #d,-,18,3511,2368,1252,55,0,194594,12064,3511,2368,1614,2902,2366,1252,94,99,0,500,3697;
@400000005e786b90138023d8 #d,-,18,3106,2368,1294,56,0,194727,12073,3511,2369,1366,3106,2367,1173,91,99,0,500,3384;
@400000005e786b901389b8f2 #d,-,18,2795,2367,1146,56,0,194420,12054,3106,2368,1294,2795,2367,1146,91,98,0,500,3064;
@400000005e786b92139941b2 #d,-,18,2485,2367,1130,57,0,194397,12052,2795,2368,1157,2485,2367,1069,88,99,0,500,2796;
@400000005e786b9213a27d64 #d,-,18,2481,2367,1134,58,0,193907,12022,2485,2368,1139,2481,2366,1130,90,98,0,500,2732;
@400000005e786b9413b169ad #d,-,18,2477,2367,1133,58,0,193920,12023,2481,2368,1136,2477,2367,1131,90,99,0,500,2730;
@400000005e786b9413baf2ac #d,-,18,2473,2366,1136,59,0,193690,12008,2477,2368,1137,2473,2365,1131,90,99,0,500,2730;
@400000005e786b9613ca4cdb #d,-,18,2470,2366,1130,60,0,193225,11979,2473,2367,1137,2470,2366,1130,90,99,0,500,2727;
@400000005e786b9613d3a38f #d,-,18,2466,2368,1131,60,0,193006,11966,2470,2368,1135,2466,2366,1130,90,99,0,500,2727;
@400000005e786b9813e2fccf #d,-,18,2464,2368,1131,61,0,192796,11953,2466,2369,1134,2464,2366,1130,90,99,0,500,2725;
@400000005e786b9813ec2c66 #d,-,18,2461,2368,1133,62,0,192586,11940,2464,2369,1134,2461,2368,1130,90,99,0,500,2723;
