@400000005e7b0e2629c0ad29 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7b0e2718117c11 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7b0e271e1e4f7a #f,-,48,93,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e7b0e291e30b709 #d,-,18,2404,2360,1127,1,0,179721,11142,2404,2362,1129,2398,2360,1123,88,100,0,500,2708;
@400000005e7b0e2b1e3dcdef #d,-,18,2406,2359,1133,1,0,171564,10636,2406,2360,1133,2404,2358,1123,88,100,0,500,2704;
@400000005e7b0e2b1e46a41e #d,-,18,2409,2360,1127,2,0,176805,10961,2409,2360,1133,2406,2359,1126,88,100,0,500,2708;
@400000005e7b0e2d1e53d33b #d,-,18,2411,2360,1125,3,0,176198,10924,2411,2360,1133,2409,2359,1124,89,100,0,500,2706;
@400000005e7b0e2d1e5c42f8 #d,-,18,2412,2360,1129,3,0,175826,10901,2412,2360,1129,2411,2359,1123,89,100,0,500,2704;
@400000005e7b0e2f1e6923d9 #d,-,18,2414,2359,1125,4,0,175520,10882,2414,2360,1130,2412,2358,1122,89,100,0,500,2701;
@400000005e7b0e2f1e72017b #d,-,18,2415,2356,1131,5,0,173092,10731,2415,2359,1131,2414,2356,1122,89,100,0,500,2699;
@400000005e7b0e311e7f380c #d,-,18,2416,2358,1124,5,0,173134,10734,2416,2358,1132,2415,2356,1124,89,100,0,500,2704;
@400000005e7b0e311e87e363 #d,-,18,2416,2357,1130,6,0,173196,10738,2416,2359,1130,2416,2357,1124,89,100,0,500,2701;
@400000005e7b0e331e94cbb8 #d,-,18,2416,2360,1127,7,0,174824,10839,2416,2360,1132,2416,2357,1125,89,100,0,500,2704;
@400000005e7b0e331e9d6381 #d,-,18,2418,2359,1124,7,0,173265,10742,2418,2360,1133,2416,2359,1123,89,100,0,500,2711;
@400000005e7b0e351eaa91af #d,-,18,2417,2361,1123,8,0,174634,10827,2418,2362,1130,2417,2359,1121,89,100,0,500,2701;
@400000005e7b0e351eb3447a #d,-,18,2418,2363,1125,9,0,173293,10744,2418,2363,1129,2417,2361,1122,89,100,0,500,2701;
@400000005e7b0e371ec063c2 #d,-,18,2418,2363,1126,9,0,173314,10745,2418,2363,1131,2418,2363,1121,89,100,0,500,2701;
@400000005e7b0e371ec92dd5 #d,-,18,2417,2363,1126,10,0,173314,10745,2418,2363,1127,2417,2362,1121,89,100,0,500,2704;
@400000005e7b0e391ed6690e #d,-,18,2417,2365,1126,11,0,173332,10746,2417,2365,1131,2417,2363,1122,89,100,0,500,2701;
@400000005e7b0e391edf51dd #d,-,18,2418,2365,1130,11,0,173339,10747,2418,2366,1130,2417,2365,1122,89,100,0,500,2706;
@400000005e7b0e3b1eec22e9 #d,-,18,2418,2366,1124,12,0,174267,10804,2418,2366,1134,2418,2364,1121,89,100,0,500,2708;
@400000005e7b0e3b1ef4c226 #d,-,18,2418,2364,1127,13,0,174241,10802,2418,2366,1131,2418,2364,1123,89,100,0,500,2706;
@400000005e7b0e3d1f05606e #d,-,18,2418,2362,1124,13,0,173391,10750,2418,2364,1131,2418,2362,1123,89,100,0,500,2708;
@400000005e7b0e3d1f0f6ae1 #d,-,18,2419,2359,1723,14,0,175561,10884,2419,2363,1723,2418,2359,1123,89,100,0,500,2706;
@400000005e7b0e3f1f1ed3f6 #d,-,18,3337,2363,1216,15,0,178690,11078,3337,2363,1725,2419,2359,1216,96,100,0,500,3450;
@400000005e7b0e3f1f283a80 #d,-,18,3206,2363,1345,16,0,180257,11175,3337,2363,1431,3206,2361,1214,92,100,0,500,3469;
@400000005e7b0e411f38663a #d,-,18,2898,2365,1395,17,0,180951,11218,3206,2366,1395,2898,2363,1146,91,100,0,500,3175;
@400000005e7b0e411f425d1f #d,-,18,3218,2366,1407,18,0,184326,11428,3218,2366,1781,2898,2363,1395,95,100,0,500,3372;
@400000005e7b0e431f5944ba #d,-,18,3222,2365,1307,18,0,185122,11477,3222,2367,1449,3218,2365,1130,91,100,0,500,3512;
@400000005e7b0e431f636de9 #d,-,18,2864,2365,1163,19,0,185318,11489,3222,2366,1309,2864,2365,1135,90,100,0,500,3149;
@400000005e7b0e451f73e514 #d,-,18,3176,2364,1705,20,0,188594,11692,3176,2365,1879,2864,2362,1163,96,100,0,500,3303;
@400000005e7b0e451f7d433b #d,-,18,3373,2365,1292,21,0,189176,11728,3373,2366,1705,3176,2364,1153,92,100,0,500,3666;
