@400000005e7c5dd709c8aed4 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7c5dd733c0bba6 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7c5dd739d2c3c8 #f,-,48,113,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e7c5dd939e8c825 #d,-,18,2433,2368,1127,0,0,174522,10820,2433,2370,1132,2433,2368,1124,89,100,0,500,2718;
@400000005e7c5ddb39f9e6f3 #d,-,18,2433,2369,1128,1,0,174501,10819,2433,2369,1133,2433,2367,1124,89,100,0,500,2713;
@400000005e7c5ddb3a03b6ba #d,-,18,2433,2370,1132,2,0,179641,11137,2433,2370,1136,2433,2368,1128,89,100,0,500,2720;
@400000005e7c5ddd3a1314a2 #d,-,18,2434,2372,1125,2,0,174674,10829,2434,2373,1136,2433,2369,1125,89,100,0,500,2730;
@400000005e7c5ddd3a1cdcf6 #d,-,18,2434,2370,1131,3,0,174663,10829,2434,2373,1134,2434,2370,1125,89,100,0,500,2720;
@400000005e7c5ddf3a2c610d #d,-,18,2434,2372,1133,4,0,174764,10835,2434,2372,1139,2434,2370,1127,89,100,0,500,2723;
@400000005e7c5ddf3a361218 #d,-,18,2435,2370,1131,4,0,174782,10836,2435,2372,1136,2434,2370,1127,89,100,0,500,2734;
@400000005e7c5de13a44f5ff #d,-,18,2435,2372,1129,5,0,174712,10832,2435,2372,1132,2435,2369,1126,89,100,0,500,2723;
@400000005e7c5de13a4f23d7 #d,-,18,2434,2370,1123,6,0,174656,10828,2435,2372,1131,2434,2369,1123,89,100,0,500,2718;
@400000005e7c5de33a5ec025 #d,-,18,2433,2372,1127,6,0,174598,10825,2434,2372,1129,2433,2370,1123,89,100,0,500,2715;
@400000005e7c5de33a688016 #d,-,18,2432,2370,1124,7,0,174549,10822,2433,2372,1128,2432,2369,1123,89,100,0,500,2711;
@400000005e7c5de53a7817bd #d,-,18,2431,2370,1125,8,0,174509,10819,2432,2372,1129,2431,2369,1123,89,100,0,500,2715;
@400000005e7c5de53a81b539 #d,-,18,2431,2371,1134,8,0,174516,10820,2431,2371,1134,2431,2368,1125,89,100,0,500,2715;
@400000005e7c5de73a90dc2e #d,-,18,2431,2369,1127,9,0,175736,10895,2431,2371,1136,2431,2369,1127,89,100,0,500,2727;
@400000005e7c5de73a9b01a4 #d,-,18,2431,2369,1133,10,0,174538,10821,2431,2369,1133,2431,2368,1125,89,100,0,500,2720;
@400000005e7c5de93aaad3f6 #d,-,18,2431,2371,1124,11,0,174534,10821,2431,2371,1133,2431,2368,1124,89,100,0,500,2723;
@400000005e7c5de93ab4a865 #d,-,18,2431,2370,1127,11,0,174530,10820,2431,2371,1132,2431,2369,1124,89,100,0,500,2718;
@400000005e7c5deb3ac47ab7 #d,-,18,2431,2371,1128,12,0,174519,10820,2431,2372,1131,2431,2369,1125,89,100,0,500,2718;
@400000005e7c5deb3ace3aa9 #d,-,18,2431,2371,1125,13,0,174509,10819,2431,2372,1131,2431,2370,1125,89,100,0,500,2720;
@400000005e7c5ded3add6912 #d,-,18,2431,2373,1128,13,0,174507,10819,2431,2373,1130,2431,2371,1124,89,100,0,500,2718;
@400000005e7c5ded3ae77385 #d,-,18,2431,2371,1127,14,0,174498,10818,2431,2373,1130,2431,2371,1123,89,100,0,500,2715;
@400000005e7c5def3af6d8e1 #d,-,18,2431,2370,1132,15,0,174510,10819,2431,2373,1133,2431,2370,1126,89,100,0,500,2718;
@400000005e7c5def3b009d7b #d,-,18,2431,2372,1211,15,0,174636,10827,2431,2373,1211,2431,2370,1126,89,100,0,500,2723;
@400000005e7c5df13b101665 #d,-,18,2569,2371,1274,16,0,175564,10884,2569,2372,1302,2431,2368,1200,90,100,0,500,2829;
@400000005e7c5df13b19c2c8 #d,-,18,2828,2368,1282,17,0,176638,10951,2828,2371,1284,2569,2368,1266,92,100,0,500,3057;
@400000005e7c5df33b293bb2 #d,-,18,2828,2368,1277,18,0,177637,11013,2828,2370,1284,2828,2368,1277,91,100,0,500,3076;
@400000005e7c5df33b331b4e #d,-,18,2828,2370,1280,18,0,178564,11070,2828,2371,1281,2828,2367,1276,92,100,0,500,3073;
@400000005e7c5df53b424243 #d,-,18,2731,2370,1062,19,0,178526,11068,2828,2371,1280,2731,2369,1062,90,100,0,500,3012;
@400000005e7c5df53b4c15c4 #d,-,18,2345,2369,1175,20,0,179096,11103,2731,2372,1217,2345,2369,1057,88,100,0,500,2656;
@400000005e7c5df73b5bc5a1 #d,-,18,2591,2371,1182,20,0,178707,11079,2591,2371,1192,2345,2368,1174,91,100,0,500,2843;
@400000005e7c5df73b65894c #d,-,18,2589,2370,1184,21,0,178905,11092,2591,2372,1185,2589,2369,1180,90,100,0,500,2848;
@400000005e7c5df93b750d64 #d,-,18,2583,2370,1130,22,0,178852,11088,2589,2372,1184,2583,2370,1129,91,100,0,500,2827;
@400000005e7c5df93b7f4756 #d,-,18,2449,2371,1133,23,0,178747,11082,2583,2371,1137,2449,2369,1130,89,100,0,500,2737;
@400000005e7c5dfb3b8ef645 #d,-,18,2448,2371,1132,23,0,178645,11075,2449,2371,1137,2448,2370,1130,89,100,0,500,2730;
@400000005e7c5dfb3b98e5b6 #d,-,18,2446,2370,1129,24,0,178535,11069,2448,2372,1134,2446,2370,1128,89,100,0,500,2727;
@400000005e7c5dfe000d07ff #d,-,18,2446,2371,1159,25,0,178467,11065,2446,2371,1159,2446,2369,1129,89,100,0,500,2727;
@400000005e7c5dfe0016b81c #d,-,18,2549,2368,1291,25,0,179423,11124,2549,2371,1302,2446,2367,1159,90,100,0,500,2806;
@400000005e7c5e000025febb #d,-,18,2809,2370,1280,26,0,179574,11133,2809,2371,1291,2549,2368,1269,92,100,0,500,3038;
@400000005e7c5e00002fb291 #d,-,18,2812,2370,1284,27,0,180178,11171,2812,2370,1284,2809,2368,1278,91,100,0,500,3080;
@400000005e7c5e02003f204f #d,-,18,2814,2368,1280,28,0,180749,11206,2814,2370,1284,2812,2368,1278,91,100,0,500,3078;
@400000005e7c5e020048c53e #d,-,18,2747,2371,1161,28,0,180802,11209,2814,2372,1281,2747,2368,1102,90,100,0,500,3035;
@400000005e7c5e040057ffc3 #d,-,18,2499,2368,1186,29,0,180869,11213,2747,2371,1192,2499,2367,1151,90,100,0,500,2768;
@400000005e7c5e0400621cd6 #d,-,18,2585,2368,1186,30,0,180970,11220,2585,2370,1188,2499,2367,1183,90,100,0,500,2853;
@400000005e7c5e0600712c83 #d,-,18,2584,2370,1134,31,0,181027,11223,2585,2370,1191,2584,2366,1134,90,100,0,500,2851;
@400000005e7c5e06007b2368 #d,-,18,2503,2368,1135,31,0,180924,11217,2584,2370,1147,2503,2367,1129,89,100,0,500,2789;
@400000005e7c5e08008a0fb1 #d,-,18,2449,2370,1135,32,0,180807,11210,2503,2371,1137,2449,2367,1133,89,100,0,500,2732;
@400000005e7c5e080093bc14 #d,-,18,2448,2369,1135,33,0,180698,11203,2449,2371,1138,2448,2368,1132,89,100,0,500,2732;
@400000005e7c5e0a00a2b0be #d,-,18,2448,2370,1138,33,0,180599,11197,2448,2371,1140,2448,2368,1134,89,100,0,500,2734;
@400000005e7c5e0a00acd9ed #d,-,18,2449,2371,1189,34,0,180540,11193,2449,2371,1189,2448,2369,1134,89,100,0,500,2734;
@400000005e7c5e0c00bc3f49 #d,-,18,2567,2370,1278,35,0,180877,11214,2567,2371,1306,2449,2368,1189,90,100,0,500,2827;
@400000005e7c5e0c00c60b56 #d,-,18,2830,2369,1282,35,0,181315,11241,2830,2371,1287,2567,2368,1270,92,100,0,500,3054;
@400000005e7c5e0e00d597cf #d,-,18,2830,2368,1284,36,0,182094,11289,2830,2371,1286,2830,2368,1281,91,100,0,500,3080;
@400000005e7c5e0e00df5407 #d,-,18,2832,2370,1282,37,0,182497,11314,2832,2370,1286,2830,2367,1277,91,100,0,500,3088;
@400000005e7c5e1000ee729b #d,-,18,2725,2369,1171,38,0,182216,11297,2832,2370,1282,2725,2369,1106,90,100,0,500,3019;
@400000005e7c5e1000f898ff #d,-,18,2585,2369,1186,38,0,182278,11301,2725,2371,1194,2585,2369,1170,91,100,0,500,2836;
@400000005e7c5e12010815a3 #d,-,18,2584,2371,1182,39,0,182330,11304,2585,2371,1187,2584,2369,1182,90,100,0,500,2853;
@400000005e7c5e12011208cd #d,-,18,2583,2371,1143,40,0,182296,11302,2584,2371,1184,2583,2369,1128,90,100,0,500,2848;
