@400000005e7daf4701799b8e #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7daf472b6403eb #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7daf473171edcb #f,-,48,157,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e7daf493184ed29 #d,-,18,2424,2357,1130,0,0,167785,10402,2424,2358,1131,2423,2357,1128,89,100,0,500,2708;
@400000005e7daf4b31933589 #d,-,18,2424,2356,1132,1,0,170245,10555,2424,2357,1136,2424,2356,1127,89,100,0,500,2708;
@400000005e7daf4b319bd01c #d,-,18,2425,2357,1134,2,0,171418,10627,2425,2357,1136,2424,2356,1128,89,100,0,500,2711;
@400000005e7daf4d31a8d462 #d,-,18,2426,2357,1130,2,0,172081,10669,2426,2357,1136,2425,2357,1127,89,100,0,500,2711;
@400000005e7daf4d31b16783 #d,-,18,2426,2357,1131,3,0,172456,10692,2426,2358,1134,2426,2357,1127,89,100,0,500,2706;
@400000005e7daf4f31bdb80a #d,-,18,2427,2357,1129,4,0,172739,10709,2427,2358,1132,2426,2357,1127,89,100,0,500,2708;
@400000005e7daf4f31c6d7cb #d,-,18,2427,2355,1132,4,0,172947,10722,2427,2358,1132,2427,2355,1126,89,100,0,500,2706;
@400000005e7daf5131d3d49e #d,-,18,2427,2356,1127,5,0,173107,10732,2427,2356,1132,2427,2355,1124,89,100,0,500,2706;
@400000005e7daf5131dc445a #d,-,18,2427,2357,1133,6,0,173249,10741,2427,2357,1133,2427,2356,1127,89,100,0,500,2706;
@400000005e7daf5331e944e6 #d,-,18,2428,2354,1130,6,0,173391,10750,2428,2357,1138,2427,2354,1128,89,100,0,500,2711;
@400000005e7daf5331f254d3 #d,-,18,2429,2354,1129,7,0,173459,10754,2429,2355,1135,2428,2354,1125,89,100,0,500,2711;
@400000005e7daf5531ffe974 #d,-,18,2428,2354,1131,8,0,173505,10757,2429,2355,1132,2428,2354,1128,89,100,0,500,2704;
@400000005e7daf5532088408 #d,-,18,2428,2356,1131,8,0,173555,10760,2428,2357,1133,2428,2354,1124,89,100,0,500,2704;
@400000005e7daf573215e65e #d,-,18,2427,2356,1129,9,0,173578,10761,2428,2357,1133,2427,2355,1125,89,100,0,500,2706;
@400000005e7daf57321e9480 #d,-,18,2427,2355,1130,10,0,173598,10763,2427,2356,1133,2427,2355,1126,89,100,0,500,2704;
@400000005e7daf59322bfa90 #d,-,18,2427,2356,1132,10,0,173642,10765,2427,2357,1133,2427,2355,1125,89,100,0,500,2706;
@400000005e7daf593234bd30 #d,-,18,2427,2357,1132,11,0,173664,10767,2427,2357,1134,2427,2356,1125,89,100,0,500,2711;
@400000005e7daf5b32421724 #d,-,18,2426,2357,1129,12,0,174615,10826,2427,2358,1132,2426,2356,1125,89,100,0,500,2704;
@400000005e7daf5b324b03ad #d,-,18,2427,2357,1131,12,0,173702,10769,2427,2357,1132,2426,2356,1127,89,100,0,500,2706;
@400000005e7daf5d3258af96 #d,-,18,2426,2356,1129,13,0,174559,10822,2427,2357,1132,2426,2356,1127,89,100,0,500,2706;
@400000005e7daf5d32613efd #d,-,18,2426,2356,1133,14,0,174541,10821,2426,2357,1133,2426,2356,1126,89,100,0,500,2708;
@400000005e7daf5f326fc5c2 #d,-,18,2426,2355,1130,14,0,174525,10820,2426,2356,1134,2426,2355,1128,89,100,0,500,2708;
@400000005e7daf5f3278f913 #d,-,18,2427,2355,1240,15,0,175098,10856,2427,2356,1286,2426,2354,1129,89,100,0,500,2711;
@400000005e7daf613287d2bb #d,-,18,2840,2354,1341,16,0,175879,10904,2840,2355,1364,2427,2354,1239,93,100,0,500,3031;
