@400000005e81963533d3752b #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8196362223c746 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8196362831f611 #f,-,48,201,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e81963828445186 #d,-,18,2395,2400,1113,0,0,171942,10660,2395,2401,1121,2384,2400,1112,87,100,0,500,2730;
@400000005e81963a28526f0e #d,-,18,2399,2401,1120,1,0,172995,10725,2399,2402,1122,2395,2400,1113,87,100,0,500,2730;
@400000005e81963a285b3567 #d,-,18,2403,2401,1116,2,0,173386,10749,2403,2401,1120,2399,2400,1113,88,100,0,500,2727;
@400000005e81963c2868c1a6 #d,-,18,2407,2401,1119,2,0,173632,10765,2407,2401,1121,2403,2400,1113,88,100,0,500,2725;
@400000005e81963c2871499a #d,-,18,2410,2401,1118,3,0,173760,10773,2410,2401,1122,2407,2401,1113,88,100,0,500,2730;
@400000005e81963e287ef1c9 #d,-,18,2412,2402,1117,4,0,173848,10778,2412,2402,1122,2410,2401,1115,88,100,0,500,2727;
@400000005e81963e2887ac07 #d,-,18,2414,2401,1122,4,0,173951,10784,2414,2402,1122,2412,2400,1114,88,100,0,500,2732;
@400000005e8196402894c3dc #d,-,18,2416,2401,1115,5,0,173978,10786,2416,2403,1122,2414,2401,1114,88,100,0,500,2730;
@400000005e819640289dbc80 #d,-,18,2418,2401,1116,6,0,174000,10788,2418,2403,1123,2416,2401,1113,88,100,0,500,2730;
@400000005e81964228ab1de7 #d,-,18,2419,2401,1118,6,0,174003,10788,2419,2401,1120,2418,2400,1111,88,100,0,500,2725;
@400000005e81964228b3ccf8 #d,-,18,2420,2401,1116,7,0,174006,10788,2420,2402,1121,2419,2401,1112,88,100,0,500,2730;
@400000005e81964428c0effa #d,-,18,2420,2403,1116,8,0,174009,10788,2420,2404,1118,2420,2401,1111,88,100,0,500,2723;
@400000005e81964428ca181e #d,-,18,2420,2403,1113,8,0,174011,10788,2420,2403,1119,2420,2403,1113,88,100,0,500,2725;
@400000005e81964628d77985 #d,-,18,2421,2403,1117,9,0,174013,10788,2421,2403,1120,2420,2403,1113,88,100,0,500,2725;
@400000005e81964628e0300a #d,-,18,2422,2403,1119,10,0,174024,10789,2422,2403,1121,2421,2402,1115,88,100,0,500,2730;
@400000005e81964828ed47de #d,-,18,2423,2403,1117,10,0,174033,10790,2423,2403,1121,2422,2403,1114,88,100,0,500,2730;
@400000005e81964828f620d8 #d,-,18,2423,2401,1123,11,0,174050,10791,2423,2403,1123,2423,2401,1115,88,100,0,500,2730;
@400000005e81964a2903410e #d,-,18,2424,2400,1116,12,0,174057,10791,2424,2402,1123,2423,2400,1115,88,100,0,500,2732;
