@400000005e6b3bc4133294fa #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e6b3bc5018dd3d9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6b3bc507a09373 #f,-,48,193,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e6b3bc707b8416e #d,-,18,2737,2372,1160,1,0,189923,11775,2741,2374,1160,2737,2372,1157,99,100,0,500,2758;
@400000005e6b3bc907ca66de #d,-,18,2735,2373,1190,1,0,192695,11947,2737,2373,1190,2735,2371,1159,99,100,0,500,2760;
@400000005e6b3bc907d49b3a #d,-,18,2737,2374,1161,2,0,193574,12001,2737,2375,1190,2735,2373,1152,98,100,0,500,2790;
@400000005e6b3bcb07e6912a #d,-,18,2735,2373,1159,3,0,193942,12024,2737,2375,1161,2735,2373,1158,99,100,0,500,2758;
@400000005e6b3bcb07f3992a #d,-,18,2734,2374,1223,4,0,195003,12090,2735,2374,1237,2734,2373,1159,99,100,0,500,2758;
@400000005e6b3bcd0802f358 #d,-,18,2733,2375,1056,4,0,196495,12182,2734,2375,1223,2733,2373,1056,98,100,0,500,2771;
@400000005e6b3bcd080d2041 #d,-,18,2606,2372,1071,5,0,195607,12127,2733,2375,1210,2606,2372,1054,99,100,0,500,2625;
@400000005e6b3bcf081c570b #d,-,18,2603,2375,1064,6,0,193680,12008,2606,2375,1084,2603,2372,1059,98,100,0,500,2655;
@400000005e6b3bcf0826a758 #d,-,18,2487,2374,1058,6,0,192002,11904,2603,2375,1064,2487,2374,1057,98,100,0,500,2527;
@400000005e6b3bd10835d6af #d,-,18,2486,2375,1061,7,0,188830,11707,2487,2376,1061,2486,2373,1058,98,100,0,500,2522;
@400000005e6b3bd1083fd14d #d,-,18,2486,2376,1058,8,0,187890,11649,2486,2376,1062,2486,2375,1058,98,100,0,500,2525;
@400000005e6b3bd3084eb9dd #d,-,18,2485,2374,1077,9,0,187151,11603,2486,2376,1077,2485,2364,1058,98,100,0,500,2523;
@400000005e6b3bd3085919fe #d,-,18,2489,2373,1061,9,0,186579,11567,2489,2375,1090,2485,2373,1053,97,100,0,500,2555;
@400000005e6b3bd508691728 #d,-,18,2488,2372,1061,10,0,185988,11531,2489,2374,1062,2488,2371,1060,98,100,0,500,2522;
@400000005e6b3bd508734146 #d,-,18,2488,2372,1061,10,0,185474,11499,2488,2372,1063,2488,2368,1061,98,100,0,500,2525;
@400000005e6b3bd7087d6a75 #d,-,18,2487,2370,1456,11,0,186176,11542,2488,2373,1462,2487,2368,1060,98,100,0,500,2522;
@400000005e6b3bd70882e507 #d,-,18,2821,2368,1106,12,0,187281,11611,2821,2371,1456,2487,2368,1076,97,100,0,500,2885;
@400000005e6b3bd9089176f9 #d,-,18,2594,2370,1072,13,0,186031,11533,2821,2371,1117,2594,2368,1066,98,100,0,500,2627;
@400000005e6b3bd9089bd362 #d,-,18,2505,2369,1066,13,0,185698,11513,2594,2371,1074,2505,2369,1066,98,100,0,500,2550;
@400000005e6b3bdb08aa144e #d,-,18,2504,2369,1064,14,0,185355,11492,2505,2370,1072,2504,2368,1061,98,100,0,500,2541;
@400000005e6b3bdb08b4649a #d,-,18,2502,2370,1064,15,0,185023,11471,2504,2370,1065,2502,2367,1061,98,100,0,500,2529;
@400000005e6b3bdd08c3c63c #d,-,18,2499,2367,1063,15,0,184712,11452,2502,2370,1064,2499,2367,1062,98,100,0,500,2525;
@400000005e6b3bdd08ce3279 #d,-,18,2502,2370,1058,16,0,184519,11440,2502,2370,1094,2499,2367,1055,98,100,0,500,2550;
@400000005e6b3bdf08dca96a #d,-,18,2500,2372,1063,17,0,184266,11424,2502,2372,1064,2500,2369,1058,98,100,0,500,2529;
@400000005e6b3bdf08e603d8 #d,-,18,2498,2370,1063,18,0,184038,11410,2500,2373,1066,2498,2370,1061,98,100,0,500,2529;
@400000005e6b3be108ef758e #d,-,18,2497,2371,1064,18,0,183819,11396,2498,2372,1064,2497,2370,1061,98,100,0,500,2529;
@400000005e6b3be108f486e3 #d,-,18,2496,2369,1063,19,0,183620,11384,2497,2371,1065,2496,2369,1063,98,100,0,500,2527;
@400000005e6b3be308fd9316 #d,-,18,2577,2368,1123,20,0,184338,11429,2577,2370,1467,2496,2366,1062,100,100,0,500,2577;
@400000005e6b3be30902de29 #d,-,18,2818,2371,1110,20,0,185056,11473,2818,2371,1128,2577,2368,1092,96,100,0,500,2906;
@400000005e6b3be5090c0a07 #d,-,18,2595,2370,1081,21,0,185006,11470,2818,2371,1110,2595,2369,1081,98,100,0,500,2639;
@400000005e6b3be5091149ed #d,-,18,2525,2374,1071,22,0,184259,11424,2595,2374,1081,2525,2369,1068,98,100,0,500,2571;
@400000005e6b3be709208be4 #d,-,18,2522,2374,1067,23,0,184675,11449,2525,2375,1071,2522,2374,1066,99,100,0,500,2547;
@400000005e6b3be7092d0742 #d,-,18,2522,2372,1130,23,0,184076,11412,2522,2375,1130,2522,2372,1064,98,100,0,500,2550;
@400000005e6b3be9093cda83 #d,-,18,2626,2372,1066,24,0,184070,11412,2626,2373,1192,2522,2370,1032,98,100,0,500,2673;
@400000005e6b3be909471fa3 #d,-,18,2472,2371,1062,25,0,183909,11402,2626,2372,1068,2472,2369,1062,98,100,0,500,2513;
@400000005e6b3beb0958a7ae #d,-,18,2473,2370,1062,25,0,183753,11392,2473,2371,1064,2472,2370,1061,97,100,0,500,2527;
@400000005e6b3beb0964535d #d,-,18,2475,2369,1062,26,0,183603,11383,2475,2370,1064,2473,2369,1062,97,100,0,500,2527;
@400000005e6b3bed096f7712 #d,-,18,2478,2370,1060,27,0,183519,11378,2478,2370,1095,2475,2368,1060,97,100,0,500,2534;
@400000005e6b3bed09752898 #d,-,18,2481,2368,1364,27,0,183939,11404,2481,2370,1453,2478,2367,1054,97,100,0,500,2547;
@400000005e6b3bef09832675 #d,-,18,2841,2370,1254,28,0,184189,11419,2841,2371,1364,2481,2367,1088,98,100,0,500,2892;
@400000005e6b3bef098d5bc0 #d,-,18,2842,2371,1201,29,0,184661,11449,2842,2372,1254,2841,2370,1201,99,100,0,500,2862;
@400000005e6b3bf1099ce47f #d,-,18,2839,2370,1168,30,0,185006,11470,2842,2371,1201,2839,2369,1168,99,100,0,500,2858;
@400000005e6b3bf109a75476 #d,-,18,2672,2374,1073,30,0,184980,11468,2839,2374,1170,2672,2370,1066,97,100,0,500,2737;
@400000005e6b3bf309b6d11a #d,-,18,2504,2372,1061,31,0,184821,11458,2672,2375,1073,2504,2372,1056,98,100,0,500,2545;
@400000005e6b3bf309c1313c #d,-,18,2502,2373,1062,32,0,184676,11449,2504,2373,1063,2502,2371,1061,98,100,0,500,2529;
@400000005e6b3bf509d26fb4 #d,-,18,2500,2373,1061,33,0,184933,11465,2502,2374,1062,2500,2373,1061,99,100,0,500,2525;
@400000005e6b3bf509de5255 #d,-,18,2498,2371,1064,33,0,184402,11432,2500,2373,1065,2498,2371,1060,98,100,0,500,2527;
@400000005e6b3bf709eb1fa8 #d,-,18,2498,2372,1082,34,0,184331,11428,2498,2372,1095,2498,2371,1063,98,100,0,500,2532;
