@400000005e6f2f3c118ab122 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e6f2f3c3b88a938 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6f2f3d0602c182 #f,-,48,133,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e6f2f3f0619acd7 #d,-,18,2689,2394,1172,1,0,188768,11703,2689,2394,1175,2681,2391,1143,98,100,0,500,2741;
@400000005e6f2f41062b548c #d,-,18,2694,2394,1143,1,0,190573,11815,2694,2394,1172,2689,2392,1136,97,100,0,500,2771;
@400000005e6f2f410635b868 #d,-,18,2696,2392,1144,2,0,191457,11870,2696,2394,1144,2694,2391,1142,98,100,0,500,2742;
@400000005e6f2f4306461c03 #d,-,18,2697,2394,1144,3,0,191994,11903,2697,2395,1144,2696,2391,1142,98,100,0,500,2744;
@400000005e6f2f4306509bcf #d,-,18,2698,2395,1143,4,0,192309,11923,2698,2395,1145,2697,2393,1142,98,100,0,500,2744;
@400000005e6f2f4506608a12 #d,-,18,2699,2395,1173,4,0,192802,11953,2699,2395,1173,2698,2393,1142,98,100,0,500,2741;
@400000005e6f2f45066aa726 #d,-,18,2704,2394,1145,5,0,195509,12121,2704,2395,1173,2699,2393,1136,97,100,0,500,2773;
@400000005e6f2f47067aec06 #d,-,18,2704,2394,1144,6,0,193108,11972,2704,2394,1145,2704,2392,1142,98,100,0,500,2741;
@400000005e6f2f47068518ef #d,-,18,2704,2395,1143,7,0,193192,11977,2704,2395,1144,2704,2392,1142,98,100,0,500,2744;
@400000005e6f2f490694c06a #d,-,18,2704,2394,1143,7,0,193260,11982,2704,2395,1144,2704,2393,1142,98,100,0,500,2742;
@400000005e6f2f49069f8ab7 #d,-,18,2705,2394,1171,8,0,193418,11991,2705,2394,1171,2704,2392,1142,98,100,0,500,2742;
@400000005e6f2f4b06b08621 #d,-,18,2708,2394,1162,9,0,193627,12004,2708,2394,1173,2705,2390,1141,97,100,0,500,2771;
@400000005e6f2f4b06bae643 #d,-,18,2714,2394,1185,10,0,194096,12033,2714,2394,1194,2708,2391,1157,97,100,0,500,2780;
@400000005e6f2f4d06cb8845 #d,-,18,2814,2393,1186,10,0,194582,12064,2814,2394,1188,2714,2391,1183,98,100,0,500,2847;
@400000005e6f2f4d06d5adba #d,-,18,2813,2392,1187,11,0,195007,12090,2814,2393,1188,2813,2390,1184,98,100,0,500,2844;
@400000005e6f2f4f06e643a1 #d,-,18,2812,2392,1206,12,0,195414,12115,2813,2393,1206,2812,2390,1184,98,100,0,500,2842;
@400000005e6f2f4f06f09122 #d,-,18,2815,2389,1173,13,0,196838,12203,2815,2392,1216,2812,2389,1150,98,100,0,500,2872;
@400000005e6f2f5106ff9c27 #d,-,18,2812,2391,1177,14,0,195999,12151,2815,2393,1194,2812,2389,1173,99,100,0,500,2822;
@400000005e6f2f51070a2bc8 #d,-,18,2740,2392,1138,14,0,195856,12143,2812,2392,1177,2740,2388,1128,98,100,0,500,2789;
@400000005e6f2f53071abdf5 #d,-,18,2689,2392,1133,15,0,195680,12132,2740,2394,1138,2689,2391,1132,98,100,0,500,2724;
@400000005e6f2f5307253cd2 #d,-,18,2689,2391,1160,16,0,195654,12130,2689,2393,1160,2689,2391,1133,98,100,0,500,2726;
@400000005e6f2f550735c3d2 #d,-,18,2791,2388,1179,17,0,196774,12200,2791,2393,1213,2689,2387,1160,99,100,0,500,2819;
@400000005e6f2f5507400449 #d,-,18,2789,2391,1177,17,0,196074,12156,2791,2394,1181,2789,2388,1173,98,100,0,500,2819;
@400000005e6f2f570750b267 #d,-,18,2789,2392,1175,18,0,196223,12165,2789,2393,1178,2789,2391,1175,98,100,0,500,2821;
@400000005e6f2f57075b4119 #d,-,18,2788,2392,1174,19,0,196344,12173,2789,2394,1176,2788,2391,1170,98,100,0,500,2821;
@400000005e6f2f59076aaed6 #d,-,18,2785,2392,1189,20,0,196415,12177,2788,2394,1190,2785,2391,1136,99,100,0,500,2808;
@400000005e6f2f59077539cf #d,-,18,2789,2393,1140,21,0,197277,12231,2789,2393,1206,2785,2390,1140,98,100,0,500,2835;
@400000005e6f2f5b0785c489 #d,-,18,2710,2393,1135,21,0,196416,12177,2789,2394,1140,2710,2391,1126,98,100,0,500,2764;
@400000005e6f2f5b07902c1e #d,-,18,2707,2392,1152,22,0,196300,12170,2710,2394,1152,2707,2390,1135,99,100,0,500,2724;
@400000005e6f2f5d07a0ecdb #d,-,18,2713,2392,1177,23,0,196427,12178,2713,2393,1188,2707,2390,1152,97,100,0,500,2778;
@400000005e6f2f5d07ab0724 #d,-,18,2786,2391,1176,24,0,196535,12185,2786,2392,1179,2713,2390,1176,98,100,0,500,2822;
@400000005e6f2f5f07bbf761 #d,-,18,2789,2391,1169,24,0,196690,12194,2789,2392,1207,2786,2390,1168,98,100,0,500,2840;
@400000005e6f2f5f07c67285 #d,-,18,2788,2391,1177,25,0,196775,12200,2789,2393,1177,2788,2390,1169,98,100,0,500,2829;
@400000005e6f2f6107d6683b #d,-,18,2788,2391,1170,26,0,196855,12205,2788,2393,1178,2788,2390,1170,98,100,0,500,2819;
@400000005e6f2f6107e17862 #d,-,18,2786,2390,1178,27,0,196916,12208,2788,2392,1186,2786,2390,1148,99,100,0,500,2806;
@400000005e6f2f6307f1e371 #d,-,18,2785,2391,1149,27,0,196879,12206,2786,2392,1178,2785,2389,1128,98,100,0,500,2822;
@400000005e6f2f6307fc5368 #d,-,18,2719,2390,1134,28,0,197377,12237,2785,2391,1171,2719,2389,1134,98,100,0,500,2751;
@400000005e6f2f65080cca92 #d,-,18,2717,2390,1177,29,0,197325,12234,2719,2390,1177,2717,2385,1133,98,100,0,500,2746;
