@400000005e70813f0a382e00 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e70813f34361ae9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e70813f3a4b3b99 #f,-,48,37,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e7081413a63a1fa #d,-,18,2746,2375,1162,1,0,193873,12020,2750,2375,1165,2746,2373,1162,99,100,0,501,2767;
@400000005e7081433a75ba60 #d,-,18,2744,2373,1162,2,0,201040,12464,2746,2375,1164,2744,2372,1162,99,100,0,501,2765;
@400000005e7081433a8041a0 #d,-,18,2742,2374,1182,3,0,194957,12087,2744,2375,1182,2742,2372,1162,99,100,0,501,2765;
@400000005e7081453a90d013 #d,-,18,2745,2373,1162,3,0,195435,12117,2745,2375,1196,2742,2372,1155,98,100,0,501,2797;
@400000005e7081453a9b28c1 #d,-,18,2743,2373,1161,4,0,195472,12119,2745,2375,1164,2743,2373,1161,99,100,0,501,2762;
@400000005e7081473aab87b5 #d,-,18,2741,2375,1162,5,0,198323,12296,2743,2375,1164,2741,2372,1161,99,100,0,501,2765;
@400000005e7081473ab5f3f2 #d,-,18,2740,2374,1163,6,0,195533,12123,2741,2375,1163,2740,2373,1161,99,100,0,501,2764;
@400000005e7081493ac6cce6 #d,-,18,2739,2373,1169,6,0,195595,12126,2740,2375,1169,2739,2373,1160,99,100,0,501,2765;
@400000005e7081493ad105eb #d,-,18,2742,2374,1162,7,0,197741,12259,2742,2374,1194,2739,2372,1156,98,100,0,501,2794;
@400000005e70814b3ae04f56 #d,-,18,2740,2374,1164,8,0,195782,12138,2742,2375,1165,2740,2372,1161,99,100,0,501,2764;
@400000005e70814b3aeb1141 #d,-,18,2739,2376,1161,9,0,195781,12138,2740,2376,1164,2739,2373,1161,99,100,0,501,2765;
@400000005e70814d3afd51b3 #d,-,18,2737,2373,1206,9,0,195880,12144,2739,2376,1206,2737,2373,1160,99,100,0,501,2762;
@400000005e70814d3b0b6a93 #d,-,18,2820,2374,1194,10,0,196425,12178,2820,2375,1231,2737,2372,1194,99,100,0,501,2844;
@400000005e70814f3b1ba711 #d,-,18,2821,2375,1179,11,0,196812,12202,2821,2375,1219,2820,2373,1175,98,100,0,501,2865;
@400000005e70814f3b261ac2 #d,-,18,2768,2373,1081,12,0,196290,12170,2821,2376,1196,2768,2372,1055,98,100,0,501,2822;
@400000005e7081513b32f077 #d,-,18,2573,2374,1190,12,0,196247,12167,2768,2375,1205,2573,2371,1081,99,100,0,501,2596;
@400000005e7081513b3aee94 #d,-,18,2713,2375,1142,13,0,195730,12135,2713,2376,1191,2573,2373,1055,97,100,0,501,2774;
@400000005e7081533b49cbf7 #d,-,18,2650,2373,1081,14,0,195245,12105,2713,2376,1180,2650,2373,1060,99,100,0,501,2669;
@400000005e7081533b54285f #d,-,18,2541,2375,1074,15,0,194662,12069,2650,2376,1111,2541,2372,1073,98,100,0,501,2584;
@400000005e7081553b5d9a15 #d,-,18,2547,2374,1098,15,0,194525,12060,2547,2376,1221,2541,2374,1074,97,100,0,501,2611;
@400000005e7081553b62d9fb #d,-,18,2991,2375,1231,16,0,195801,12139,2991,2375,1421,2547,2371,1098,99,100,0,501,2999;
@400000005e7081573b6e0524 #d,-,18,2887,2373,1239,17,0,197089,12219,2991,2376,1239,2887,2373,1188,97,100,0,501,2947;
@400000005e7081573b742ece #d,-,18,2891,2376,1238,18,0,196832,12203,2891,2376,1253,2887,2373,1238,97,100,0,501,2951;
@400000005e7081593b7e3941 #d,-,18,2896,2375,1217,19,0,197312,12233,2896,2376,1267,2891,2371,1217,98,100,0,501,2954;
@400000005e7081593b846792 #d,-,18,2895,2375,1215,19,0,198390,12300,2896,2375,1226,2895,2373,1215,98,100,0,501,2933;
@400000005e70815b3b9261b6 #d,-,18,2891,2374,1214,20,0,197893,12269,2895,2375,1219,2891,2372,1211,99,100,0,501,2894;
@400000005e70815c00000000 #d,-,18,2885,2375,1214,21,0,198118,12283,2891,2376,1214,2885,2374,1203,100,100,0,501,2885;
@400000005e70815e00130317 #d,-,18,2881,2373,1417,22,0,198756,12322,2885,2376,1424,2881,2373,1204,100,100,0,501,2881;
@400000005e70815e0021183d #d,-,18,3114,2373,1208,23,0,199864,12391,3114,2376,1417,2881,2373,1208,99,100,0,501,3136;
@400000005e708160002f41e1 #d,-,18,2823,2375,1160,23,0,199034,12340,3114,2376,1208,2823,2373,1107,97,100,0,501,2885;
@400000005e70816000375fa9 #d,-,18,2683,2374,1212,24,0,199084,12343,2823,2376,1233,2683,2373,1126,99,100,0,501,2705;
@400000005e708162004507d8 #d,-,18,2767,2376,1118,25,0,198781,12324,2767,2376,1212,2683,2373,1093,98,100,0,501,2819;
@400000005e708162004f0276 #d,-,18,2627,2375,1173,26,0,198734,12321,2767,2376,1248,2627,2373,1104,99,100,0,501,2648;
@400000005e708164005f32d9 #d,-,18,2800,2376,1111,26,0,198554,12310,2800,2376,1213,2627,2374,1107,99,100,0,501,2824;
@400000005e708164006ac82e #d,-,18,2720,2374,1084,27,0,198357,12298,2800,2376,1230,2720,2373,1073,98,100,0,501,2765;
@400000005e70816600755f42 #d,-,18,2543,2376,1089,28,0,197940,12272,2720,2376,1090,2543,2373,1084,97,100,0,501,2595;
@400000005e708166007c53f2 #d,-,18,2893,2374,1189,29,0,198562,12310,2893,2376,1423,2543,2372,1089,100,100,0,501,2893;
@400000005e708168008986c9 #d,-,18,2890,2376,1201,29,0,198660,12316,2893,2376,1226,2890,2374,1152,98,100,0,501,2943;
@400000005e708168009179ba #d,-,18,2886,2374,1225,30,0,199374,12361,2890,2376,1250,2886,2373,1200,99,100,0,501,2890;
@400000005e70816a009da7cb #d,-,18,2885,2375,1199,31,0,198980,12336,2886,2376,1225,2885,2374,1199,99,100,0,501,2908;
@400000005e70816a00a5872d #d,-,18,2826,2374,1194,32,0,199058,12341,2885,2376,1206,2826,2373,1192,98,100,0,501,2858;
@400000005e70816c00b00ab3 #d,-,18,2823,2374,1150,33,0,199007,12338,2826,2376,1212,2823,2373,1121,99,100,0,501,2849;
@400000005e70816c00b68a0a #d,-,18,2618,2374,1093,33,0,198651,12316,2823,2375,1150,2618,2372,1076,98,100,0,501,2671;
@400000005e70816e00be1004 #d,-,18,2707,2373,1230,34,0,198782,12324,2707,2375,1233,2618,2372,1093,99,100,0,501,2714;
@400000005e70816e00c1ec26 #d,-,18,2982,2375,1260,35,0,199308,12357,2982,2375,1423,2707,2371,1221,100,100,0,501,2982;
@400000005e70817000cf275e #d,-,18,2926,2373,1052,36,0,199139,12346,2982,2375,1260,2926,2371,1052,96,100,0,501,3022;
@400000005e70817000d82002 #d,-,18,2474,2372,1112,36,0,198583,12312,2926,2376,1112,2474,2372,989,97,100,0,501,2536;
@400000005e70817200e848f2 #d,-,18,2603,2375,1200,37,0,198554,12310,2603,2375,1200,2474,2372,1112,99,100,0,501,2612;
@400000005e70817200f291cb #d,-,18,2768,2374,1196,38,0,198948,12334,2768,2375,1202,2603,2370,1160,98,100,0,500,2799;
@400000005e708174010268c6 #d,-,18,2768,2374,1170,39,0,198532,12309,2768,2375,1198,2768,2372,1162,98,100,0,500,2801;
@400000005e708174010d41fa #d,-,18,2765,2373,1166,39,0,198494,12306,2768,2375,1171,2765,2373,1165,99,100,0,501,2776;
@400000005e708176011db836 #d,-,18,2761,2373,1166,40,0,198457,12304,2765,2376,1170,2761,2372,1166,99,100,0,501,2774;
@400000005e70817601285b66 #d,-,18,2759,2376,1164,41,0,198419,12302,2761,2376,1167,2759,2372,1164,99,100,0,501,2774;
@400000005e7081780138f14c #d,-,18,2757,2374,1186,42,0,198396,12300,2759,2376,1186,2757,2373,1164,99,100,0,501,2776;
@400000005e7081780143516e #d,-,18,2758,2376,1166,42,0,198737,12321,2758,2376,1197,2757,2374,1158,98,100,0,501,2805;
@400000005e70817a0153f370 #d,-,18,2756,2373,1167,43,0,198346,12297,2758,2376,1168,2756,2371,1164,99,100,0,501,2769;
@400000005e70817a015e33e7 #d,-,18,2754,2373,1166,44,0,198313,12295,2756,2375,1169,2754,2370,1165,99,100,0,501,2774;
@400000005e70817c016e35b9 #d,-,18,2751,2373,1166,45,0,198279,12293,2754,2374,1167,2751,2372,1165,99,100,0,501,2771;
@400000005e70817c01791395 #d,-,18,2750,2371,1173,45,0,198582,12312,2751,2373,1173,2750,2371,1165,99,100,0,501,2773;
@400000005e70817e01895efa #d,-,18,2753,2373,1173,46,0,198252,12291,2753,2373,1198,2750,2371,1158,98,100,0,501,2803;
@400000005e70817e01940d57 #d,-,18,2752,2372,1171,47,0,198238,12290,2753,2373,1177,2752,2371,1171,98,100,0,501,2781;
@400000005e708180019ce386 #d,-,18,2752,2373,1171,48,0,198225,12289,2752,2373,1173,2752,2370,1171,98,100,0,501,2785;
@400000005e70818001a0ea7f #d,-,18,2752,2371,1205,48,0,198224,12289,2752,2373,1205,2752,2371,1170,98,100,0,501,2785;
@400000005e70818201aeffa5 #d,-,18,2853,2373,1230,49,0,198376,12299,2853,2373,1250,2752,2371,1205,99,100,0,501,2872;
@400000005e70818201b919ee #d,-,18,2910,2371,1201,50,0,198801,12325,2910,2373,1253,2853,2370,1199,99,100,0,501,2938;
@400000005e70818401c48f98 #d,-,18,2830,2373,1225,51,0,198585,12312,2910,2373,1225,2830,2371,1201,98,100,0,501,2870;
@400000005e70818401cb1b0b #d,-,18,2835,2371,1216,52,0,198695,12319,2835,2373,1232,2830,2371,1216,97,100,0,501,2904;
@400000005e70818601d71d57 #d,-,18,2838,2371,1220,52,0,198780,12324,2838,2373,1220,2835,2371,1212,98,100,0,501,2890;
@400000005e70818601df895a #d,-,18,2840,2373,1214,53,0,198866,12329,2840,2373,1220,2838,2370,1214,98,100,0,501,2888;
@400000005e70818801ec00ff #d,-,18,2846,2370,1396,54,0,199198,12350,2846,2373,1429,2840,2370,1212,98,100,0,501,2904;
@400000005e70818801f3b589 #d,-,18,3147,2372,1248,55,0,199377,12361,3147,2372,1396,2846,2369,1223,98,100,0,501,3185;
@400000005e70818a01fe7775 #d,-,18,2916,2370,1250,56,0,199793,12387,3147,2373,1250,2916,2369,1241,99,100,0,501,2943;
@400000005e70818a0204b59b #d,-,18,2918,2370,1241,56,0,199658,12378,2918,2373,1251,2916,2370,1241,98,100,0,501,2963;
@400000005e70818c020ec782 #d,-,18,2917,2370,1237,57,0,199785,12386,2918,2373,1247,2917,2368,1237,98,100,0,501,2949;
@400000005e70818c02168380 #d,-,18,2921,2372,1246,58,0,199957,12397,2921,2372,1286,2917,2369,1237,98,100,0,501,2965;
@400000005e70818e0220929b #d,-,18,2926,2368,1232,59,0,200084,12405,2926,2372,1259,2921,2368,1229,97,100,0,501,2997;
@400000005e70818e0226766b #d,-,18,2926,2371,1342,60,0,200397,12424,2926,2371,1444,2926,2368,1232,99,100,0,501,2945;
@400000005e708190022f6f0f #d,-,18,3119,2369,1244,61,0,200778,12448,3119,2372,1342,2926,2369,1223,98,100,0,501,3178;
@400000005e70819002349f20 #d,-,18,2923,2369,1239,61,0,200632,12439,3119,2371,1244,2923,2368,1239,99,100,0,501,2949;
@400000005e708192023d5d18 #d,-,18,2921,2372,1225,62,0,200746,12446,2923,2372,1272,2921,2368,1225,99,100,0,501,2942;
@400000005e70819202427d53 #d,-,18,2919,2370,1225,63,0,200806,12450,2921,2372,1231,2919,2369,1207,99,100,0,501,2938;
@400000005e7081940249ec05 #d,-,18,2914,2369,1224,64,0,200880,12454,2919,2372,1235,2914,2369,1224,99,100,0,501,2917;
@400000005e708194024ddbb5 #d,-,18,2910,2371,1235,65,0,200965,12459,2914,2371,1245,2910,2369,1221,99,100,0,501,2911;
@400000005e70819602584bac #d,-,18,2909,2369,1444,66,0,201153,12471,2910,2371,1444,2909,2369,1215,99,100,0,501,2933;
@400000005e708196025ebc1d #d,-,18,3141,2369,1251,66,0,201330,12482,3141,2371,1444,2909,2368,1234,99,100,0,501,3161;
@400000005e7081980267b96a #d,-,18,2913,2371,1241,67,0,201416,12487,3141,2371,1251,2913,2368,1227,98,100,0,501,2951;
@400000005e708198026ce97a #d,-,18,2912,2369,1174,68,0,201421,12488,2913,2371,1241,2912,2369,1136,98,100,0,501,2943;
@400000005e70819a027587c8 #d,-,18,2809,2369,1223,69,0,201478,12491,2912,2371,1234,2809,2369,1174,98,100,0,501,2846;
@400000005e70819a027a9cd7 #d,-,18,2814,2371,1229,69,0,201523,12494,2814,2371,1243,2809,2368,1186,97,100,0,501,2885;
@400000005e70819c028a7efe #d,-,18,2893,2370,1242,70,0,201820,12512,2893,2371,1254,2814,2368,1224,99,100,0,501,2920;
@400000005e70819c02956808 #d,-,18,2893,2371,1240,71,0,201640,12501,2893,2372,1242,2893,2369,1211,98,100,0,501,2929;
@400000005e70819e02a69a64 #d,-,18,3092,2372,1178,72,0,201876,12516,3092,2372,1434,2893,2369,1178,99,100,0,501,3093;
@400000005e70819e02b164b2 #d,-,18,2786,2371,1042,73,0,201940,12520,3092,2372,1178,2786,2370,1042,97,100,0,501,2867;
@400000005e7081a002bc7031 #d,-,18,2532,2373,1149,73,0,201569,12497,2786,2373,1178,2532,2370,1024,98,100,0,501,2575;
@400000005e7081a002c72336 #d,-,18,2714,2371,1233,74,0,201533,12495,2714,2373,1233,2532,2370,1142,98,100,0,501,2742;
@400000005e7081a202d315ac #d,-,18,2792,2369,1159,75,0,201475,12491,2792,2372,1233,2714,2369,1150,98,100,0,501,2828;
@400000005e7081a202ddd798 #d,-,18,2728,2370,1162,76,0,201421,12488,2792,2372,1172,2728,2369,1158,98,100,0,501,2757;
@400000005e7081a402ed4bda #d,-,18,2728,2370,1167,76,0,201365,12484,2728,2372,1168,2728,2368,1162,98,100,0,501,2765;
@400000005e7081a402f7a0cf #d,-,18,2729,2370,1166,77,0,201310,12481,2729,2372,1168,2728,2369,1163,98,100,0,501,2769;
@400000005e7081a603060077 #d,-,18,2729,2371,1193,78,0,201267,12478,2729,2372,1193,2729,2369,1163,98,100,0,501,2765;
@400000005e7081a60310b647 #d,-,18,2733,2365,1165,79,0,201223,12475,2733,2371,1195,2729,2365,1160,97,100,0,501,2796;
@400000005e7081a803204768 #d,-,18,2733,2369,1166,80,0,201172,12472,2733,2370,1168,2733,2362,1164,98,100,0,501,2764;
@400000005e7081a8032aaefd #d,-,18,2733,2365,1167,80,0,201121,12469,2733,2370,1168,2733,2364,1165,98,100,0,501,2765;
@400000005e7081aa0335cb40 #d,-,18,2733,2369,1165,81,0,201070,12466,2733,2370,1167,2733,2365,1165,98,100,0,501,2767;
@400000005e7081aa0340ee07 #d,-,18,2733,2368,1186,82,0,201028,12463,2733,2370,1186,2733,2367,1165,98,100,0,501,2764;
@400000005e7081ac034b5dfe #d,-,18,2736,2369,1166,83,0,201179,12473,2736,2369,1195,2733,2365,1160,97,100,0,501,2796;
@400000005e7081ac0350f392 #d,-,18,2735,2366,1165,83,0,200941,12458,2736,2369,1166,2735,2365,1164,99,100,0,501,2762;
@400000005e7081ae035f4453 #d,-,18,2736,2369,1174,84,0,200907,12456,2736,2369,1178,2735,2366,1164,98,100,0,501,2769;
@400000005e7081ae0369afa2 #d,-,18,2737,2368,1179,85,0,200874,12454,2737,2369,1179,2736,2367,1170,98,100,0,501,2785;
@400000005e7081b00378d2de #d,-,18,2792,2369,1224,86,0,201088,12467,2792,2370,1236,2737,2366,1178,99,100,0,501,2812;
@400000005e7081b00382f853 #d,-,18,2889,2367,1207,86,0,200943,12458,2889,2369,1240,2792,2367,1201,98,100,0,501,2922;
