@400000005e71d2e53895367f #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e71d2e626f9246f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e71d2e62d0dfb8c #f,-,48,141,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e71d2e82d254403 #d,-,18,2721,2363,1165,1,0,197912,12270,2721,2365,1199,2715,2363,1163,98,100,0,500,2755;
@400000005e71d2ea2d366b33 #d,-,18,2721,2363,1166,2,0,190200,11792,2721,2365,1166,2721,2363,1163,98,100,0,500,2760;
@400000005e71d2ea2d414467 #d,-,18,2722,2363,1165,2,0,191517,11874,2722,2365,1167,2721,2360,1163,98,100,0,500,2757;
@400000005e71d2ec2d517c3d #d,-,18,2722,2362,1169,3,0,196326,12172,2722,2364,1169,2722,2361,1163,98,100,0,500,2758;
@400000005e71d2ec2d5bf84f #d,-,18,2726,2362,1164,4,0,193143,11974,2726,2364,1197,2722,2359,1157,97,100,0,500,2787;
@400000005e71d2ee2d6c5389 #d,-,18,2726,2361,1166,5,0,193476,11995,2726,2363,1167,2726,2359,1164,98,100,0,500,2758;
@400000005e71d2ee2d76bc0d #d,-,18,2726,2360,1167,5,0,193726,12011,2726,2364,1167,2726,2360,1165,98,100,0,500,2758;
@400000005e71d2f02d87421e #d,-,18,2726,2363,1167,6,0,193919,12023,2726,2364,1168,2726,2359,1163,98,100,0,500,2758;
@400000005e71d2f02d919713 #d,-,18,2726,2365,1163,7,0,196031,12153,2726,2365,1167,2726,2361,1163,98,100,0,500,2760;
@400000005e71d2f22da14248 #d,-,18,2729,2365,1161,8,0,194358,12050,2729,2365,1195,2726,2363,1159,98,100,0,500,2778;
@400000005e71d2f22dac3ee0 #d,-,18,2728,2365,1164,8,0,194440,12055,2729,2366,1166,2728,2364,1161,98,100,0,500,2765;
@400000005e71d2f42db81a0e #d,-,18,2728,2364,1164,9,0,194502,12059,2728,2367,1166,2728,2364,1162,98,100,0,500,2757;
@400000005e71d2f42dbf074b #d,-,18,2728,2365,1164,10,0,194562,12062,2728,2366,1165,2728,2362,1163,98,100,0,500,2758;
@400000005e71d2f62dce133e #d,-,18,2729,2363,1228,11,0,195101,12096,2729,2365,1243,2728,2363,1163,98,100,0,500,2762;
@400000005e71d2f62dd8c90e #d,-,18,2914,2363,1210,11,0,195926,12147,2914,2365,1264,2729,2363,1210,99,100,0,500,2931;
@400000005e71d2f82de7e02f #d,-,18,2857,2364,1209,12,0,196359,12174,2914,2364,1213,2857,2362,1207,98,100,0,500,2901;
@400000005e71d2f82df21ddb #d,-,18,2855,2365,1213,13,0,196852,12204,2857,2365,1236,2855,2362,1209,99,100,0,500,2874;
@400000005e71d2fa2e00fa4f #d,-,18,2856,2364,1216,14,0,197248,12229,2856,2366,1218,2855,2363,1212,98,100,0,500,2892;
@400000005e71d2fa2e0af8a7 #d,-,18,2855,2364,1217,15,0,197598,12251,2856,2366,1217,2855,2364,1214,99,100,0,500,2879;
@400000005e71d2fc2e1d3cd2 #d,-,18,2856,2365,1214,15,0,198028,12277,2856,2366,1247,2855,2363,1214,98,100,0,500,2888;
@400000005e71d2fc2e2a7363 #d,-,18,2857,2364,1217,16,0,199226,12352,2857,2365,1223,2856,2362,1210,98,100,0,500,2906;
@400000005e71d2fe2e336fc0 #d,-,18,2858,2365,1355,17,0,199255,12353,2858,2366,1430,2857,2363,1217,99,100,0,500,2886;
@400000005e71d2fe2e3773ef #d,-,18,3032,2367,1312,18,0,199734,12383,3032,2367,1355,2858,2364,1144,98,100,0,500,3064;
