@400000005e73256210bf9cd8 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7325623ab25da9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e73256305281592 #f,-,48,233,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e732565053cb71a #d,-,18,2728,2350,1169,1,0,197341,12235,2728,2352,1196,2722,2350,1168,97,100,0,501,2787;
@400000005e732567054e5a27 #d,-,18,2729,2351,1175,1,0,204693,12690,2729,2352,1178,2728,2349,1169,98,100,0,501,2776;
@400000005e73256705589f47 #d,-,18,2730,2352,1173,2,0,196559,12186,2730,2352,1176,2729,2350,1173,98,100,0,501,2765;
@400000005e7325690564a192 #d,-,18,2730,2350,1174,3,0,196387,12176,2730,2352,1174,2730,2350,1172,98,100,0,501,2764;
@400000005e732569056f7353 #d,-,18,2730,2352,1173,4,0,199866,12391,2730,2353,1174,2730,2350,1173,98,100,0,501,2765;
@400000005e73256b057d3df8 #d,-,18,2733,2351,1167,4,0,196529,12184,2733,2353,1204,2730,2351,1167,98,100,0,501,2776;
@400000005e73256b0587a67c #d,-,18,2734,2353,1173,5,0,196429,12178,2734,2354,1176,2733,2351,1166,98,100,0,501,2780;
@400000005e73256d0597b37a #d,-,18,2733,2348,1175,6,0,198662,12317,2734,2353,1175,2733,2346,1171,98,100,0,501,2764;
@400000005e73256d05a20c29 #d,-,18,2733,2351,1172,7,0,196269,12168,2733,2352,1175,2733,2348,1171,98,100,0,501,2762;
@400000005e73256f05b1a015 #d,-,18,2732,2350,1174,7,0,196212,12165,2733,2352,1174,2732,2349,1172,98,100,0,501,2762;
@400000005e73256f05bbcdec #d,-,18,2733,2351,1173,8,0,196370,12174,2733,2352,1204,2732,2349,1173,98,100,0,501,2767;
@400000005e73257105cb0c2a #d,-,18,2735,2350,1172,9,0,196288,12169,2735,2352,1175,2733,2349,1166,98,100,0,501,2785;
@400000005e73257105d5936a #d,-,18,2734,2351,1172,10,0,196250,12167,2735,2352,1174,2734,2350,1172,98,100,0,501,2764;
@400000005e73257305e63cdf #d,-,18,2734,2352,1172,10,0,196210,12165,2734,2352,1174,2734,2350,1171,98,100,0,501,2762;
