@400000005e74764b3a795463 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e74764c28ced2d6 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e74764c2edcd310 #f,-,48,81,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e74764e2eefa796 #d,-,18,2771,2367,1174,1,0,191945,11900,2777,2367,1175,2771,2365,1173,99,100,0,501,2781;
@400000005e7476502efdd8ad #d,-,18,2768,2365,1199,1,0,194774,12076,2771,2367,1202,2768,2365,1173,99,100,0,501,2781;
@400000005e7476502f08a20c #d,-,18,2769,2364,1174,2,0,195399,12114,2769,2367,1199,2768,2364,1168,98,100,0,501,2808;
@400000005e7476522f17d8d7 #d,-,18,2767,2365,1175,3,0,195771,12137,2769,2366,1175,2767,2364,1173,99,100,0,501,2781;
@400000005e7476522f1d33bf #d,-,18,2764,2366,1173,4,0,195987,12151,2767,2366,1175,2764,2362,1173,99,100,0,501,2780;
@400000005e7476542f2bf8eb #d,-,18,2763,2365,1166,4,0,196220,12165,2764,2367,1183,2763,2364,1166,99,100,0,501,2787;
@400000005e7476542f36c338 #d,-,18,2758,2366,1195,5,0,196204,12164,2763,2367,1195,2758,2364,1153,99,100,0,501,2762;
@400000005e7476562f46acd3 #d,-,18,2758,2366,1166,6,0,196140,12160,2758,2367,1195,2758,2364,1158,99,100,0,501,2785;
@400000005e7476562f50f1f3 #d,-,18,2754,2364,1165,7,0,198153,12285,2758,2366,1166,2754,2363,1164,99,100,0,501,2757;
@400000005e7476582f5b98dc #d,-,18,2750,2363,1166,7,0,196008,12152,2754,2366,1166,2750,2362,1165,99,100,0,501,2760;
@400000005e7476582f6583a5 #d,-,18,2747,2366,1166,8,0,195968,12150,2750,2366,1167,2747,2362,1163,99,100,0,501,2760;
@400000005e74765a2f74d92b #d,-,18,2745,2363,1188,9,0,197568,12249,2747,2366,1188,2745,2363,1164,99,100,0,501,2758;
@400000005e74765a2f7f394d #d,-,18,2746,2365,1164,10,0,196019,12153,2746,2366,1194,2745,2363,1158,98,100,0,501,2787;
@400000005e74765c2f8c8bce #d,-,18,2743,2366,1166,10,0,195980,12150,2746,2366,1166,2743,2364,1164,99,100,0,501,2757;
@400000005e74765c2f96c4d2 #d,-,18,2741,2362,1164,11,0,197211,12227,2743,2366,1166,2741,2362,1163,99,100,0,501,2758;
@400000005e74765e2fa2a862 #d,-,18,2739,2364,1165,12,0,195902,12145,2741,2364,1167,2739,2361,1164,99,100,0,501,2757;
@400000005e74765e2faa495e #d,-,18,2743,2363,1247,13,0,196488,12182,2743,2365,1261,2739,2362,1164,98,100,0,501,2787;
@400000005e7476602fb7e1b8 #d,-,18,2920,2365,1208,13,0,196971,12212,2920,2365,1253,2743,2362,1206,98,100,0,501,2956;
@400000005e7476602fc03de6 #d,-,18,2827,2363,1197,14,0,197237,12228,2920,2365,1209,2827,2362,1195,98,100,0,501,2862;
@400000005e7476622fce7b18 #d,-,18,2749,2366,1210,15,0,197313,12233,2827,2366,1226,2749,2363,1113,98,100,0,501,2790;
@400000005e7476622fd7d1cd #d,-,18,2830,2365,1083,16,0,197075,12218,2830,2367,1210,2749,2364,1075,99,100,0,501,2854;
@400000005e7476642fe68e97 #d,-,18,2564,2365,1107,16,0,196526,12184,2830,2365,1107,2564,2362,1083,97,100,0,501,2621;
@400000005e7476642ff04acf #d,-,18,2569,2364,1242,17,0,196379,12175,2569,2366,1242,2564,2364,1107,97,100,0,501,2637;
@400000005e7476662fff7de0 #d,-,18,2806,2365,1213,18,0,196553,12186,2806,2366,1246,2569,2363,1131,99,100,0,501,2824;
@400000005e7476663009e1bb #d,-,18,2657,2363,1107,19,0,196106,12158,2806,2366,1213,2657,2363,1079,97,100,0,501,2714;
@400000005e7476683018fc95 #d,-,18,2594,2361,1164,20,0,195775,12138,2657,2365,1164,2594,2361,1106,98,100,0,501,2625;
@400000005e747668302341b5 #d,-,18,2962,2362,1193,20,0,196790,12201,2962,2363,1468,2594,2360,1164,100,100,0,500,2962;
@400000005e74766a302f4400 #d,-,18,3042,2364,1326,21,0,197720,12258,3042,2364,1355,2962,2361,1193,98,100,0,500,3100;
