@400000005e786ac82e5ffade #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e786ac91cb61892 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e786ac922c3b437 #f,-,48,165,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e786acb22d795e4 #d,-,18,2691,2353,1159,0,0,185469,11499,2691,2354,1187,2685,2352,1158,97,100,0,500,2753;
@400000005e786acd22e96c2b #d,-,18,2692,2352,1166,1,0,188949,11714,2692,2353,1168,2691,2351,1157,98,100,0,500,2732;
@400000005e786acd22f39dbc #d,-,18,2695,2350,1165,2,0,196348,12173,2695,2353,1166,2692,2350,1164,98,100,0,500,2744;
@400000005e786acf2303981a #d,-,18,2697,2353,1164,3,0,191459,11870,2697,2353,1166,2695,2350,1164,98,100,0,500,2746;
@400000005e786acf230dd11e #d,-,18,2699,2353,1169,3,0,192318,11923,2699,2353,1190,2697,2351,1164,98,100,0,500,2746;
@400000005e786ad123184ffc #d,-,18,2702,2352,1160,4,0,192434,11930,2702,2354,1169,2699,2352,1151,98,100,0,500,2755;
@400000005e786ad12322d382 #d,-,18,2701,2352,1158,5,0,195201,12102,2702,2353,1160,2701,2350,1158,98,100,0,500,2732;
@400000005e786ad3232d76b1 #d,-,18,2701,2354,1159,6,0,192661,11945,2701,2354,1160,2701,2349,1157,98,100,0,500,2732;
@400000005e786ad3233828c8 #d,-,18,2701,2353,1166,6,0,192808,11954,2701,2354,1166,2701,2351,1159,98,100,0,500,2735;
@400000005e786ad52343cd04 #d,-,18,2702,2353,1191,7,0,193155,11975,2702,2354,1193,2701,2351,1163,98,100,0,500,2742;
@400000005e786ad5234e4916 #d,-,18,2707,2352,1156,8,0,193223,11979,2707,2353,1191,2702,2350,1156,97,100,0,500,2773;
@400000005e786ad72358b465 #d,-,18,2706,2350,1159,9,0,193228,11980,2707,2353,1160,2706,2350,1156,99,100,0,500,2733;
@400000005e786ad723635f08 #d,-,18,2704,2352,1158,9,0,193232,11980,2706,2354,1159,2704,2349,1157,99,100,0,500,2730;
@400000005e786ad9236e409e #d,-,18,2703,2351,1158,10,0,193235,11980,2704,2352,1159,2703,2350,1157,99,100,0,500,2730;
@400000005e786ad9237885be #d,-,18,2703,2351,1186,11,0,193336,11986,2703,2353,1186,2703,2350,1157,99,100,0,500,2730;
@400000005e786adb23877d34 #d,-,18,2705,2351,1160,12,0,193359,11988,2705,2352,1186,2703,2350,1151,98,100,0,500,2755;
@400000005e786adb2392a4a3 #d,-,18,2704,2349,1160,12,0,193361,11988,2705,2352,1160,2704,2349,1158,98,100,0,500,2732;
@400000005e786add239e3550 #d,-,18,2704,2351,1159,13,0,193368,11988,2704,2351,1160,2704,2348,1158,98,100,0,500,2732;
@400000005e786add23a84bde #d,-,18,2703,2352,1158,14,0,193375,11989,2704,2353,1160,2703,2350,1157,98,100,0,500,2733;
@400000005e786adf23b4270d #d,-,18,2702,2353,1184,15,0,193429,11992,2703,2354,1184,2702,2352,1157,98,100,0,500,2732;
@400000005e786adf23bc34ff #d,-,18,2705,2352,1159,15,0,193467,11995,2705,2354,1187,2702,2352,1150,98,100,0,500,2760;
@400000005e786ae123c4921c #d,-,18,2704,2352,1665,16,0,194537,12061,2705,2353,1665,2704,2351,1156,99,100,0,500,2730;
@400000005e786ae123cbe122 #d,-,18,3678,2353,1276,17,0,197070,12218,3678,2354,1715,2704,2352,1275,100,100,0,500,3678;
@400000005e786ae323d57283 #d,-,18,3272,2354,1284,18,0,198987,12337,3678,2355,1616,3272,2352,1276,98,100,0,500,3326;
@400000005e786ae323dba848 #d,-,18,3593,2354,1412,19,0,201781,12510,3593,2355,1706,3272,2352,1243,99,100,0,500,3627;
@400000005e786ae523e5ca04 #d,-,18,3340,2355,1518,20,0,203198,12598,3593,2356,1607,3340,2352,1236,97,100,0,500,3440;
@400000005e786ae523ebc8d5 #d,-,18,3596,2354,1678,21,0,206331,12792,3596,2356,1727,3340,2350,1253,99,100,0,500,3600;
@400000005e786ae723f70fef #d,-,18,3411,2351,1615,22,0,206533,12805,3596,2356,1678,3411,2351,1152,95,100,0,500,3575;
@400000005e786ae723fd60b6 #d,-,18,3478,2352,1684,23,0,208414,12921,3478,2354,1707,3411,2351,1255,100,100,0,500,3478;
@400000005e786ae9240ca755 #d,-,18,3656,2352,1669,24,0,209444,12985,3656,2357,1684,3478,2351,1149,96,100,0,500,3785;
@400000005e786ae924170b31 #d,-,18,3432,2354,1140,25,0,210534,13053,3656,2357,1673,3432,2352,1135,99,100,0,500,3463;
@400000005e786aeb2420237f #d,-,18,2659,2356,1159,26,0,209268,12974,3432,2356,1161,2659,2354,1124,97,100,0,500,2733;
@400000005e786aeb242b33a6 #d,-,18,2659,2355,1179,26,0,208770,12943,2659,2356,1179,2659,2353,1136,98,100,0,500,2694;
@400000005e786aed24344393 #d,-,18,2729,2355,1153,27,0,208354,12918,2729,2355,1189,2659,2353,1151,98,100,0,500,2760;
@400000005e786aed243b5c95 #d,-,18,2723,2354,1160,28,0,208521,12928,2729,2355,1163,2723,2352,1152,100,100,0,500,2723;
@400000005e786aef244ac964 #d,-,18,2724,2354,1154,29,0,207577,12869,2724,2355,1186,2723,2352,1152,98,100,0,500,2755;
@400000005e786aef24552986 #d,-,18,2721,2354,1159,29,0,207203,12846,2724,2354,1160,2721,2352,1154,99,100,0,500,2737;
@400000005e786af124636210 #d,-,18,2718,2353,1160,30,0,206849,12824,2721,2354,1160,2718,2352,1157,99,100,0,500,2733;
@400000005e786af1246dda69 #d,-,18,2716,2351,1159,31,0,206510,12803,2718,2353,1160,2716,2350,1158,99,100,0,500,2732;
@400000005e786af324774866 #d,-,18,2713,2352,1160,32,0,206191,12783,2716,2352,1161,2713,2350,1158,99,100,0,500,2733;
@400000005e786af3248248b8 #d,-,18,2714,2353,1152,32,0,205931,12767,2714,2353,1187,2713,2351,1152,98,100,0,500,2748;
@400000005e786af5248acfbd #d,-,18,2714,2355,1158,33,0,205635,12749,2714,2355,1160,2714,2352,1152,98,100,0,500,2746;
@400000005e786af5249508c1 #d,-,18,2712,2351,1160,34,0,205361,12732,2714,2355,1160,2712,2350,1157,99,100,0,500,2733;
@400000005e786af724a568a3 #d,-,18,2710,2353,1158,35,0,205556,12744,2712,2353,1160,2710,2350,1158,99,100,0,500,2733;
@400000005e786af724aff39c #d,-,18,2709,2353,1157,35,0,204836,12699,2710,2354,1159,2709,2351,1156,99,100,0,500,2733;
@400000005e786af924b8ed2f #d,-,18,2709,2355,1156,36,0,204633,12687,2709,2355,1186,2709,2352,1156,98,100,0,500,2737;
