@400000005e843b78088f0255 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e843b78327b00c0 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e843b7838895b51 #f,-,48,169,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e843b7a389caca4 #d,-,18,2418,2375,1132,0,0,173174,10736,2418,2375,1135,2408,2373,1131,88,100,0,500,2737;
@400000005e843b7c38ae704a #d,-,18,2422,2374,1132,1,0,181828,11273,2422,2375,1136,2418,2374,1131,88,100,0,500,2732;
@400000005e843b7c38b902b6 #d,-,18,2425,2374,1134,2,0,174738,10833,2425,2374,1136,2422,2374,1130,88,100,0,500,2737;
@400000005e843b7e38c89791 #d,-,18,2428,2370,1735,2,0,189267,11734,2428,2374,1921,2425,2370,1130,88,100,0,500,2734;
@400000005e843b7e38d24f21 #d,-,18,3571,2366,1655,3,0,199735,12383,3571,2372,1858,2428,2366,1465,96,100,0,500,3718;
@400000005e843b8038dfc14c #d,-,18,3805,2367,1603,5,0,212044,13146,3805,2367,2065,3571,2364,1415,93,100,0,500,4090;
@400000005e843b8038e84c0b #d,-,18,3892,2365,1830,6,0,220386,13663,3892,2368,1877,3805,2363,1428,95,100,0,500,4090;
@400000005e843b8238f1fd16 #d,-,18,3685,2368,1655,7,0,226998,14073,3892,2369,2075,3685,2365,1458,93,100,0,500,3950;
@400000005e843b8238f782d5 #d,-,18,4062,2372,1116,8,0,230204,14272,4062,2372,1945,3685,2367,1054,93,100,0,500,4334;
@400000005e843b84390513bc #d,-,18,2539,2371,1150,8,0,225141,13958,4062,2372,1175,2539,2371,1116,86,100,0,500,2950;
@400000005e843b84390d9ac1 #d,-,18,2467,2371,1139,9,0,220771,13687,2539,2373,1154,2467,2370,1105,89,100,0,500,2746;
@400000005e843b86391af4b5 #d,-,18,2464,2373,1136,10,0,215361,13352,2467,2374,1152,2464,2370,1122,90,100,0,500,2727;
@400000005e843b863923ea8e #d,-,18,2461,2375,1130,10,0,212384,13167,2464,2376,1136,2461,2373,1128,90,100,0,500,2732;
@400000005e843b8839358d9c #d,-,18,2459,2374,1135,11,0,209821,13008,2461,2375,1135,2459,2373,1130,90,100,0,500,2732;
@400000005e843b883940ebfe #d,-,18,2457,2375,1131,12,0,207582,12870,2459,2376,1135,2457,2373,1129,89,100,0,500,2732;
@400000005e843b8a3952b26f #d,-,18,2456,2371,1940,12,0,207280,12851,2457,2376,1952,2456,2370,1126,89,100,0,500,2730;
@400000005e843b8a395cad0d #d,-,18,3294,2375,1497,13,0,210631,13059,3294,2375,1940,2456,2370,1446,93,100,0,500,3524;
@400000005e843b8c396df2f9 #d,-,18,3860,2371,1900,15,0,214187,13279,3860,2375,1900,3294,2369,1418,96,100,0,500,3998;
@400000005e843b8c39782bfd #d,-,18,3723,2375,1474,16,0,217088,13459,3860,2375,1924,3723,2370,1474,93,100,0,500,3988;
@400000005e843b8e39812d03 #d,-,18,3918,2371,1875,17,0,220036,13642,3918,2375,1978,3723,2370,1380,95,100,0,500,4102;
@400000005e843b8e398a2e09 #d,-,18,3663,2374,1432,18,0,222138,13772,3918,2374,2092,3663,2369,1417,92,100,0,500,3946;
@400000005e843b9039973608 #d,-,18,3220,2373,1150,18,0,220138,13648,3663,2376,1432,3220,2373,1140,88,100,0,500,3654;
@400000005e843b9039a01ed7 #d,-,18,2449,2373,1127,19,0,218217,13529,3220,2373,1155,2449,2372,1089,89,100,0,500,2751;
@400000005e843b9239acf48c #d,-,18,2452,2373,1156,20,0,216512,13423,2452,2374,1163,2449,2372,1090,89,100,0,500,2749;
@400000005e843b9239b5c613 #d,-,18,2451,2373,1132,20,0,214885,13322,2452,2373,1156,2451,2372,1121,90,100,0,500,2723;
@400000005e843b9439c32b34 #d,-,18,2451,2375,1133,21,0,213414,13231,2451,2376,1136,2451,2373,1130,89,100,0,500,2734;
@400000005e843b9439cbc6b6 #d,-,18,2450,2377,1134,22,0,212811,13194,2451,2377,1137,2450,2375,1129,89,100,0,500,2734;
@400000005e843b9639dada1d #d,-,18,2450,2377,1134,22,0,210762,13067,2450,2377,1137,2450,2376,1129,89,100,0,500,2739;
@400000005e843b9639e3c2ec #d,-,18,2912,2373,1794,23,0,212363,13166,2912,2377,1895,2450,2373,1134,94,100,0,500,3069;
@400000005e843b9839edc5ec #d,-,18,3649,2374,1563,24,0,214317,13287,3649,2374,1880,2912,2372,1406,91,100,0,500,3995;
@400000005e843b9839f44632 #d,-,18,3926,2374,1893,26,0,216586,13428,3926,2375,2024,3649,2371,1409,96,100,0,500,4081;
@400000005e843b9a3a02d824 #d,-,18,3920,2375,1501,27,0,218142,13524,3926,2376,1893,3920,2373,1412,94,100,0,500,4130;
@400000005e843b9a3a0c75a0 #d,-,18,3915,2371,1698,28,0,220376,13663,3920,2375,2085,3915,2369,1501,93,100,0,500,4183;
@400000005e843b9c3a18f0ff #d,-,18,3443,2373,1119,28,0,219338,13598,3915,2374,1698,3443,2370,1043,89,100,0,500,3837;
@400000005e843b9c3a21841f #d,-,18,2485,2375,1151,29,0,218160,13525,3443,2375,1158,2485,2373,1116,90,100,0,500,2746;
@400000005e843b9e3a2e419d #d,-,18,2431,2374,1132,30,0,216948,13450,2485,2376,1156,2431,2373,1078,89,100,0,500,2725;
@400000005e843b9e3a365438 #d,-,18,2434,2376,1132,31,0,215843,13382,2434,2376,1136,2431,2373,1128,88,100,0,500,2737;
@400000005e843ba03a4301e1 #d,-,18,2435,2373,1128,31,0,214791,13317,2435,2376,1136,2434,2373,1128,89,100,0,500,2732;
@400000005e843ba03a4bcfae #d,-,18,2436,2375,1131,32,0,213786,13254,2436,2376,1136,2435,2373,1127,89,100,0,500,2732;
@400000005e843ba23a59a75c #d,-,18,2437,2375,1128,33,0,213362,13228,2437,2377,1135,2436,2375,1128,89,100,0,500,2732;
@400000005e843ba23a621f7b #d,-,18,2519,2373,1460,33,0,213359,13228,2519,2375,1936,2437,2371,1128,91,100,0,500,2753;
@400000005e843ba43a6f560b #d,-,18,3868,2374,1786,35,0,214868,13321,3868,2376,1839,2519,2373,1414,94,100,0,500,4097;
@400000005e843ba43a782f05 #d,-,18,3675,2371,1772,36,0,215921,13387,3868,2374,1915,3675,2371,1334,95,100,0,500,3867;
@400000005e843ba63a86c59f #d,-,18,3767,2373,1666,37,0,217347,13475,3767,2375,1994,3675,2371,1441,91,100,0,500,4102;
@400000005e843ba63a8f5d68 #d,-,18,3978,2373,1887,38,0,218878,13570,3978,2374,2096,3767,2371,1459,96,100,0,500,4116;
@400000005e843ba83a9c0b11 #d,-,18,3645,2374,1160,38,0,218531,13548,3978,2376,1887,3645,2372,1118,89,100,0,500,4062;
@400000005e843ba83aa4dc98 #d,-,18,2443,2376,1156,39,0,217641,13493,3645,2376,1163,2443,2374,1105,88,100,0,500,2772;
