@400000005e8ad2e42b286afe #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8ad2e519792657 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8ad2e51f87ca7b #f,-,48,33,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e8ad2e71f9b27e9 #d,-,18,2429,2365,1139,0,0,166297,10310,2429,2366,1142,2419,2362,1132,88,100,0,499,2734;
@400000005e8ad2e91fa93956 #d,-,18,2432,2363,1137,1,0,170420,10566,2432,2365,1140,2429,2361,1132,89,100,0,499,2732;
@400000005e8ad2e91fb1dc4b #d,-,18,2435,2363,1134,2,0,177377,10997,2435,2363,1140,2432,2361,1132,89,100,0,499,2734;
@400000005e8ad2eb1fc0f814 #d,-,18,2437,2362,1137,2,0,173109,10732,2437,2363,1140,2435,2359,1133,89,100,0,499,2734;
@400000005e8ad2eb1fcad6c1 #d,-,18,2440,2363,1135,3,0,176984,10973,2440,2363,1144,2437,2359,1134,89,100,0,499,2734;
@400000005e8ad2ed1fd932af #d,-,18,2444,2361,1496,4,0,182718,11328,2444,2363,1910,2440,2358,1134,89,100,0,499,2737;
@400000005e8ad2ed1fe2cb84 #d,-,18,3467,2361,1585,5,0,191799,11891,3467,2362,1854,2444,2358,1340,93,100,0,499,3727;
@400000005e8ad2ef1ff32f1f #d,-,18,3468,2362,1657,6,0,200818,12450,3468,2362,1962,3467,2358,1262,93,100,0,499,3709;
@400000005e8ad2ef1ffddd7c #d,-,18,3470,2360,1703,7,0,203706,12629,3470,2363,1820,3468,2359,1306,92,100,0,499,3761;
@400000005e8ad2f1200e5fd4 #d,-,18,3467,2360,1821,8,0,208122,12903,3470,2364,1948,3467,2359,1288,94,100,0,499,3678;
@400000005e8ad2f1201852ff #d,-,18,3465,2357,1850,9,0,213255,13221,3467,2363,1912,3465,2356,1295,94,100,0,499,3671;
@400000005e8ad2f3202172c0 #d,-,18,3464,2357,1991,10,0,214295,13286,3465,2361,1999,3464,2357,1289,94,100,0,499,3659;
@400000005e8ad2f32025bcc8 #d,-,18,3467,2358,1979,11,0,216674,13433,3467,2361,2010,3464,2356,1265,93,100,0,499,3697;
@400000005e8ad2f52032337e #d,-,18,3473,2361,1176,11,0,218283,13533,3473,2363,1979,3467,2358,1176,91,100,0,499,3794;
@400000005e8ad2f5203acb47 #d,-,18,2611,2362,1136,12,0,214235,13282,3473,2363,1176,2611,2360,1136,88,100,0,499,2967;
