@400000005e8c23a637fc7d93 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8c23a7264ca3e9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8c23a72c5b2df9 #f,-,48,77,436,1,4775,0,0,65533,0,199,810,237,17949,177,311,4753,4,92217,151,32123,69906,40,694,17008,0,93,1,4659,0,0,65533,0,199,822,242,18484,171,318,5362,2,92206,150,32190,70407,42,536,17029,0,92;
@400000005e8c23ab2c72f7e5 #d,-,18,2405,2386,1123,1,0,167832,10405,2405,2389,1126,2395,2386,1117,88,100,0,501,2718;
@400000005e8c23ab2c7bcd25 #d,-,18,2407,2387,1116,1,0,169625,10516,2407,2389,1126,2405,2386,1116,88,100,0,501,2718;
@400000005e8c23ad2c88d8de #d,-,18,2409,2386,1124,2,0,170684,10582,2409,2389,1127,2407,2386,1116,88,100,0,501,2718;
@400000005e8c23ad2c918435 #d,-,18,2410,2385,1120,3,0,171263,10618,2410,2388,1128,2409,2384,1118,88,100,0,501,2718;
@400000005e8c23af2ca07bab #d,-,18,2412,2384,1122,3,0,171703,10645,2412,2387,1127,2410,2381,1118,88,100,0,501,2718;
@400000005e8c23af2caa0d0c #d,-,18,2413,2382,1400,4,0,180480,11189,2413,2386,1819,2412,2379,1115,88,100,0,501,2713;
@400000005e8c23b12cb8f59c #d,-,18,3230,2384,1202,5,0,180369,11182,3230,2385,1400,2413,2381,1202,94,100,0,501,3426;
@400000005e8c23b12cc253c3 #d,-,18,2643,2383,1448,6,0,181728,11267,3230,2386,1448,2643,2383,1166,89,100,0,501,2943;
@400000005e8c23b32cd10a08 #d,-,18,3116,2383,1210,7,0,185529,11502,3116,2385,1844,2643,2382,1210,92,100,0,501,3351;
@400000005e8c23b32cda7805 #d,-,18,2663,2384,1149,7,0,185555,11504,3116,2386,1210,2663,2383,1149,90,100,0,501,2941;
@400000005e8c23b52ce539f1 #d,-,18,3020,2383,1225,8,0,190337,11800,3020,2385,1863,2663,2381,1143,96,100,0,501,3142;
@400000005e8c23b52cea911f #d,-,18,2711,2386,1135,9,0,188599,11693,3020,2386,1234,2711,2381,1134,86,100,0,501,3121;
@400000005e8c23b72cf8a28c #d,-,18,2653,2388,1188,10,0,190988,11841,2711,2388,1851,2653,2383,1135,92,100,0,501,2862;
@400000005e8c23b72d07197c #d,-,18,3056,2386,1174,11,0,192160,11913,3056,2388,1233,2653,2383,1174,90,100,0,501,3374;
@400000005e8c23b92d161954 #d,-,18,2553,2387,1469,11,0,192814,11954,3056,2387,1911,2553,2382,1137,89,100,0,501,2843;
@400000005e8c23b92d1fa253 #d,-,18,3192,2386,1208,12,0,193887,12021,3192,2388,1469,2553,2384,1203,91,100,0,501,3493;
@400000005e8c23bb2d35bb2e #d,-,18,2601,2382,1858,13,0,193848,12018,3192,2387,1858,2601,2381,1144,89,100,0,501,2910;
@400000005e8c23bb2d42de2f #d,-,18,3120,2388,1140,14,0,193812,12016,3120,2388,1858,2601,2382,1127,92,100,0,501,3365;
@400000005e8c23bd2d5cd32c #d,-,18,2541,2386,1294,14,0,193347,11987,3120,2388,1294,2541,2384,1135,89,100,0,501,2832;
@400000005e8c23bd2d6e727f #d,-,18,3094,2386,1209,15,0,194768,12075,3094,2388,1836,2541,2382,1208,92,100,0,501,3344;
@400000005e8c23bf2d835d9a #d,-,18,2587,2384,1143,16,0,194187,12039,3094,2388,1209,2587,2384,1143,87,100,0,501,2952;
@400000005e8c23bf2d8ecf8b #d,-,18,3064,2387,1196,17,0,195524,12122,3064,2387,1844,2587,2382,1143,95,100,0,501,3220;
@400000005e8c23bf2d972ca7 #d,-,18,2583,2388,1147,18,0,194888,12083,3064,2388,1196,2583,2385,1133,87,100,0,501,2967;
@400000005e8c23c12da587a7 #d,-,18,2487,2387,1123,18,0,194087,12033,2583,2389,1152,2487,2387,1115,89,100,0,501,2787;
@400000005e8c23c12dae3e2b #d,-,18,2417,2386,1119,19,0,194040,12030,2487,2388,1126,2417,2385,1117,89,100,0,501,2713;
@400000005e8c23c32dbb90ac #d,-,18,2417,2387,1123,20,0,192586,11940,2417,2389,1125,2417,2386,1115,88,100,0,501,2718;
@400000005e8c23c32dc46233 #d,-,18,2417,2387,1119,20,0,191905,11898,2417,2389,1124,2417,2386,1114,89,100,0,501,2713;
@400000005e8c23c52dd1c843 #d,-,18,2417,2387,1123,21,0,191291,11860,2417,2389,1125,2417,2386,1118,89,100,0,501,2713;
@400000005e8c23c52ddae804 #d,-,18,2418,2388,1122,22,0,190697,11823,2418,2388,1123,2417,2386,1113,89,100,0,501,2715;
@400000005e8c23c72de8d6fb #d,-,18,2418,2385,1121,22,0,190151,11789,2418,2388,1128,2418,2385,1116,89,100,0,501,2713;
@400000005e8c23c72df1718f #d,-,18,2418,2386,1123,23,0,189644,11757,2418,2388,1125,2418,2385,1118,88,100,0,501,2718;
@400000005e8c23c92dfe9cf3 #d,-,18,2418,2386,1120,24,0,189166,11728,2418,2388,1126,2418,2386,1115,88,100,0,501,2718;
@400000005e8c23c92e07fed4 #d,-,18,2419,2387,1120,24,0,189273,11734,2419,2388,1126,2418,2385,1117,89,100,0,501,2715;
@400000005e8c23cb2e173d12 #d,-,18,2753,2385,1306,25,0,189661,11758,2753,2388,1718,2419,2383,1117,94,100,0,501,2900;
@400000005e8c23cb2e20da8e #d,-,18,2888,2384,1175,26,0,190257,11795,2888,2387,1312,2753,2384,1175,88,100,0,501,3251;
@400000005e8c23cd2e3043a3 #d,-,18,2577,2384,1723,27,0,190530,11812,2888,2387,1868,2577,2384,1133,89,100,0,501,2867;
@400000005e8c23cd2e399a58 #d,-,18,3148,2386,1194,28,0,190583,11816,3148,2387,1723,2577,2384,1194,93,100,0,501,3379;
@400000005e8c23cf2e4388db #d,-,18,2645,2386,1175,28,0,190371,11803,3148,2387,1201,2645,2384,1134,90,100,0,501,2929;
@400000005e8c23cf2e47f646 #d,-,18,3080,2385,1258,29,0,191349,11863,3080,2388,1878,2645,2382,1175,94,100,0,501,3261;
@400000005e8c23d12e525ddb #d,-,18,2679,2386,1142,30,0,191260,11858,3080,2388,1258,2679,2385,1142,88,100,0,501,3021;
@400000005e8c23d12e5bef3c #d,-,18,2674,2386,1281,31,0,192100,11910,2679,2388,1875,2674,2383,1132,93,100,0,501,2865;
@400000005e8c23d32e6b02a3 #d,-,18,3156,2386,1191,31,0,192094,11909,3156,2388,1291,2674,2385,1191,91,100,0,501,3455;
@400000005e8c23d32e74ab4c #d,-,18,2571,2386,1562,32,0,192786,11952,3156,2388,1877,2571,2382,1134,89,100,0,501,2860;
@400000005e8c23d52e83d241 #d,-,18,3210,2386,1201,33,0,192788,11952,3210,2387,1562,2571,2384,1201,93,100,0,501,3438;
@400000005e8c23d52e8d9e4f #d,-,18,2607,2385,1858,34,0,193555,12000,3210,2389,1858,2607,2385,1134,89,100,0,501,2900;
@400000005e8c23d72ea21057 #d,-,18,3150,2387,1206,35,0,193408,11991,3150,2389,1881,2607,2384,1202,93,100,0,501,3379;
@400000005e8c23d72eaeed7f #d,-,18,2669,2383,1296,35,0,193673,12007,3150,2389,1296,2669,2383,1137,90,100,0,501,2952;
@400000005e8c23d92ec7862b #d,-,18,3106,2387,1194,36,0,194019,12029,3106,2388,1889,2669,2381,1194,93,100,0,501,3327;
@400000005e8c23d92ed7bef0 #d,-,18,2707,2388,1144,37,0,193841,12018,3106,2389,1214,2707,2386,1137,90,100,0,501,3007;
@400000005e8c23db2ee7d80a #d,-,18,3014,2386,1270,38,0,194556,12062,3014,2388,1884,2707,2381,1144,96,100,0,501,3128;
@400000005e8c23db2ef139eb #d,-,18,2771,2387,1158,39,0,194389,12052,3014,2387,1270,2771,2384,1148,87,100,0,501,3182;
@400000005e8c23dd2efe5933 #d,-,18,2511,2386,1117,39,0,194402,12052,2771,2388,1166,2511,2385,1117,89,100,0,501,2813;
@400000005e8c23dd2f075df3 #d,-,18,2437,2387,1141,40,0,193690,12008,2511,2388,1141,2437,2385,1112,89,100,0,501,2730;
@400000005e8c23df2f14c7bc #d,-,18,2435,2387,1119,41,0,193324,11986,2437,2389,1141,2435,2386,1112,89,100,0,501,2723;
@400000005e8c23df2f1d5369 #d,-,18,2434,2387,1125,41,0,192981,11964,2435,2389,1127,2434,2385,1117,89,100,0,501,2715;
@400000005e8c23e12f2a6696 #d,-,18,2432,2387,1118,42,0,192646,11944,2434,2389,1125,2432,2386,1117,89,100,0,501,2718;
@400000005e8c23e12f33407e #d,-,18,2431,2385,1123,43,0,192324,11924,2432,2390,1124,2431,2385,1116,89,100,0,501,2718;
@400000005e8c23e32f40b574 #d,-,18,2430,2388,1117,43,0,192011,11904,2431,2388,1125,2430,2384,1117,89,100,0,501,2713;
@400000005e8c23e32f49745b #d,-,18,2429,2388,1127,44,0,191713,11886,2430,2388,1127,2429,2386,1117,89,100,0,501,2718;
@400000005e8c23e52f56c5ed #d,-,18,2428,2387,1123,45,0,191422,11868,2429,2388,1127,2428,2385,1120,89,100,0,501,2718;
@400000005e8c23e52f5f6d8b #d,-,18,2428,2388,1125,45,0,191446,11869,2428,2388,1127,2428,2386,1113,89,100,0,501,2715;
@400000005e8c23e72f6de0c1 #d,-,18,2571,2386,1219,46,0,191595,11878,2571,2388,1810,2428,2384,1120,92,100,0,501,2775;
@400000005e8c23e72f77a0b3 #d,-,18,3060,2387,1198,47,0,191623,11880,3060,2388,1288,2571,2384,1192,90,100,0,501,3379;
@400000005e8c23e92f8709c8 #d,-,18,2623,2385,1681,48,0,192401,11928,3060,2388,1845,2623,2384,1173,90,100,0,501,2898;
@400000005e8c23e92f9092c7 #d,-,18,3156,2385,1212,49,0,192110,11910,3156,2387,1681,2623,2384,1190,93,100,0,501,3386;
@400000005e8c23eb2fa01b87 #d,-,18,2641,2382,1697,49,0,192255,11919,3156,2388,1697,2641,2382,1158,90,100,0,501,2931;
@400000005e8c23eb2fa9a0cc #d,-,18,3100,2387,1192,50,0,192544,11937,3100,2389,1848,2641,2382,1185,92,100,0,501,3355;
@400000005e8c23ed2fb8eedf #d,-,18,2681,2388,1162,51,0,192424,11930,3100,2390,1211,2681,2386,1134,90,100,0,501,2948;
@400000005e8c23ed2fc3242a #d,-,18,3070,2387,1229,52,0,192921,11961,3070,2390,1836,2681,2384,1162,94,100,0,501,3239;
@400000005e8c23ef2fd19b1a #d,-,18,2659,2387,1136,52,0,192815,11954,3070,2389,1229,2659,2386,1136,88,100,0,501,3014;
@400000005e8c23ef2fdb1532 #d,-,18,2769,2384,1282,53,0,193555,12000,2769,2387,1849,2659,2381,1136,94,100,0,501,2931;
@400000005e8c23f12fe57554 #d,-,18,2978,2385,1171,54,0,193227,11980,2978,2387,1282,2769,2384,1171,89,100,0,501,3344;
@400000005e8c23f12feb3a68 #d,-,18,2557,2386,1330,55,0,193864,12019,2978,2387,1845,2557,2381,1137,89,100,0,501,2848;
@400000005e8c23f32ffbf3b2 #d,-,18,3184,2387,1198,56,0,193581,12002,3184,2387,1330,2557,2384,1198,93,100,0,501,3422;
@400000005e8c23f330057184 #d,-,18,2591,2383,1848,56,0,193849,12018,3184,2387,1857,2591,2382,1137,90,100,0,501,2877;
@400000005e8c23f5301789ea #d,-,18,3140,2387,1208,57,0,193903,12022,3140,2387,1848,2591,2383,1204,93,100,0,501,3372;
@400000005e8c23f5302291af #d,-,18,2635,2386,1372,58,0,193827,12017,3140,2388,1372,2635,2385,1137,90,100,0,501,2924;
@400000005e8c23f73031cc34 #d,-,18,3090,2386,1207,59,0,194208,12040,3090,2388,1867,2635,2383,1207,93,100,0,501,3317;
