@400000005e7b0f841e12a784 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7b0f850c646891 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7b0f851275e058 #f,-,48,205,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e7b0f87128e46b9 #d,-,18,2718,2356,1162,0,0,188657,11696,2720,2357,1166,2718,2356,1162,98,100,0,500,2753;
@400000005e7b0f89129fc2a9 #d,-,18,2718,2355,1194,1,0,191938,11900,2718,2356,1194,2718,2355,1162,98,100,0,500,2748;
@400000005e7b0f8912aa22cb #d,-,18,2721,2356,1165,2,0,192936,11962,2721,2357,1195,2718,2355,1155,97,100,0,500,2778;
@400000005e7b0f8b12b3859b #d,-,18,2721,2353,1166,3,0,193343,11987,2721,2356,1166,2721,2353,1164,98,100,0,500,2749;
@400000005e7b0f8b12b82551 #d,-,18,2955,2352,1222,3,0,198112,12282,2955,2354,1426,2721,2351,1166,100,100,0,500,2955;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
