@400000005e7c603704e04ada #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7c60372ed4d04a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7c603734e448c6 #f,-,48,17,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e7c603934fb7dae #d,-,18,2720,2360,1163,0,0,192197,11916,2720,2361,1164,2717,2358,1158,98,100,0,500,2751;
@400000005e7c603b350d4c81 #d,-,18,2720,2359,1163,1,0,201731,12507,2720,2361,1164,2720,2359,1163,98,100,0,500,2751;
@400000005e7c603b3517aca2 #d,-,18,2720,2360,1163,2,0,193726,12011,2720,2362,1164,2720,2359,1162,98,100,0,500,2751;
@400000005e7c603d3523f970 #d,-,18,2719,2362,1165,3,0,193994,12027,2720,2362,1165,2719,2360,1161,98,100,0,500,2751;
@400000005e7c603d352afdf5 #d,-,18,2723,2363,1159,3,0,194503,12059,2723,2365,1192,2719,2362,1153,98,100,0,500,2778;
@400000005e7c603f35326ca6 #d,-,18,2722,2361,1377,4,0,199631,12377,2723,2365,1386,2722,2361,1159,98,100,0,500,2751;
@400000005e7c603f3537e290 #d,-,18,2935,2364,1194,5,0,197187,12225,2935,2364,1377,2722,2361,1168,98,100,0,500,2968;
@400000005e7c604135413cff #d,-,18,2750,2363,1156,6,0,196670,12193,2935,2364,1194,2750,2362,1138,98,100,0,500,2790;
@400000005e7c6041354b6362 #d,-,18,2901,2362,1168,7,0,198429,12302,2901,2364,1448,2750,2360,1156,100,100,0,500,2901;
@400000005e7c60433554c8fe #d,-,18,2848,2360,1145,7,0,200402,12424,2901,2363,1230,2848,2360,1140,97,100,0,500,2933;
@400000005e7c6043355a7221 #d,-,18,2696,2362,1387,8,0,199169,12348,2848,2363,1388,2696,2360,1145,98,100,0,500,2744;
@400000005e7c6045356376e1 #d,-,18,2932,2363,1189,9,0,199305,12356,2932,2363,1387,2696,2361,1158,98,100,0,500,2967;
@400000005e7c60453568c69c #d,-,18,2752,2361,1150,10,0,198888,12331,2932,2363,1189,2752,2361,1150,98,100,0,500,2787;
@400000005e7c604735717d20 #d,-,18,2925,2361,1167,10,0,199890,12393,2925,2362,1450,2752,2360,1149,100,100,0,500,2925;
@400000005e7c6047357647ae #d,-,18,2812,2363,1142,11,0,199770,12385,2925,2363,1220,2812,2360,1140,97,100,0,500,2897;
@400000005e7c604935856641 #d,-,18,2693,2361,1350,12,0,200523,12432,2812,2363,1453,2693,2358,1142,98,100,0,500,2741;
@400000005e7c6049358fcb0b #d,-,18,2980,2360,1169,13,0,200337,12420,2980,2362,1350,2693,2360,1163,98,100,0,500,3022;
@400000005e7c604b35996f0c #d,-,18,2725,2359,1160,14,0,201034,12464,2980,2361,1169,2725,2359,1147,98,100,0,500,2764;
@400000005e7c604b35a4395a #d,-,18,2958,2361,1188,14,0,200631,12439,2958,2362,1436,2725,2358,1159,99,100,0,500,2970;
@400000005e7c604d35b48967 #d,-,18,2768,2362,1149,15,0,200488,12430,2958,2362,1202,2768,2359,1149,98,100,0,500,2822;
@400000005e7c604d35bf1819 #d,-,18,2762,2361,1245,16,0,201032,12464,2768,2362,1449,2762,2359,1148,100,100,0,500,2762;
@400000005e7c604f35c8e427 #d,-,18,2971,2360,1157,17,0,201775,12510,2971,2362,1245,2762,2359,1157,98,100,0,500,3022;
@400000005e7c604f35cdfcef #d,-,18,2719,2358,1327,18,0,200684,12442,2971,2362,1327,2719,2358,1146,98,100,0,500,2760;
@400000005e7c605135dacdfc #d,-,18,2958,2359,1201,18,0,201130,12470,2958,2361,1450,2719,2357,1167,98,100,0,500,3000;
@400000005e7c605135e4ebfe #d,-,18,2762,2360,1158,19,0,200954,12459,2958,2361,1201,2762,2358,1158,98,100,0,500,2797;
@400000005e7c605335f42a3c #d,-,18,2755,2360,1151,20,0,201405,12487,2762,2361,1158,2755,2358,1147,100,100,0,500,2755;
@400000005e7c605335ff0729 #d,-,18,2750,2360,1156,21,0,200437,12427,2755,2360,1177,2750,2358,1151,100,100,0,500,2750;
@400000005e7c6055360c8bf5 #d,-,18,2747,2359,1160,21,0,200273,12416,2750,2361,1184,2747,2357,1156,99,100,0,500,2757;
@400000005e7c6055361726c3 #d,-,18,2745,2358,1167,22,0,200127,12407,2747,2360,1174,2745,2357,1160,99,100,0,500,2758;
@400000005e7c60573625ebef #d,-,18,2743,2358,1185,23,0,200051,12403,2745,2359,1200,2743,2357,1165,99,100,0,500,2762;
@400000005e7c605736301252 #d,-,18,2744,2358,1166,24,0,200540,12433,2744,2360,1185,2743,2357,1162,98,100,0,500,2789;
@400000005e7c6059363c3f75 #d,-,18,2742,2361,1166,24,0,199767,12385,2744,2363,1168,2742,2358,1166,99,100,0,500,2760;
@400000005e7c605936478e02 #d,-,18,2740,2359,1167,25,0,199641,12377,2742,2362,1167,2740,2359,1165,99,100,0,500,2762;
@400000005e7c605b3650f846 #d,-,18,2739,2360,1166,26,0,199516,12370,2740,2361,1168,2739,2359,1165,99,100,0,500,2758;
@400000005e7c605b3655c2d3 #d,-,18,2737,2358,1244,27,0,199499,12368,2739,2362,1244,2737,2358,1165,99,100,0,500,2758;
@400000005e7c605d365e2ed6 #d,-,18,2952,2361,1205,27,0,200351,12421,2952,2361,1353,2737,2358,1184,99,100,0,500,2965;
@400000005e7c605d36643609 #d,-,18,2780,2360,1146,28,0,199673,12379,2952,2361,1209,2780,2358,1138,98,100,0,500,2833;
@400000005e7c605f366fba9b #d,-,18,2696,2359,1275,29,0,200019,12401,2780,2360,1453,2696,2357,1146,99,100,0,500,2717;
@400000005e7c605f367757dd #d,-,18,2986,2359,1166,30,0,199967,12397,2986,2359,1275,2696,2356,1166,98,100,0,500,3031;
@400000005e7c6061367f8ddb #d,-,18,2731,2355,1330,31,0,199911,12394,2986,2359,1330,2731,2355,1155,98,100,0,500,2774;
@400000005e7c60613688dc2e #d,-,18,3008,2358,1202,31,0,200722,12444,3008,2359,1469,2731,2354,1164,98,100,0,500,3041;
@400000005e7c60633692369c #d,-,18,2750,2358,1156,32,0,200112,12406,3008,2360,1203,2750,2357,1148,98,100,0,500,2796;
@400000005e7c6063369c8f4b #d,-,18,2803,2360,1174,33,0,200421,12426,2803,2360,1461,2750,2357,1155,100,100,0,500,2803;
@400000005e7c606536a62465 #d,-,18,2911,2361,1145,34,0,200793,12449,2911,2361,1202,2803,2358,1145,97,100,0,500,2991;
@400000005e7c606536aae77f #d,-,18,2702,2358,1441,35,0,200452,12428,2911,2361,1441,2702,2358,1145,98,100,0,500,2746;
@400000005e7c606736b2ca9b #d,-,18,2989,2359,1199,35,0,200566,12435,2989,2360,1451,2702,2357,1166,98,100,0,500,3034;
@400000005e7c606736b76a51 #d,-,18,2756,2359,1158,36,0,200430,12426,2989,2361,1199,2756,2359,1147,98,100,0,500,2792;
@400000005e7c606936c36081 #d,-,18,2856,2361,1167,37,0,200685,12442,2856,2361,1455,2756,2357,1155,100,100,0,500,2856;
@400000005e7c606936ca7984 #d,-,18,2856,2361,1150,38,0,200612,12437,2856,2361,1203,2856,2358,1148,96,100,0,500,2947;
@400000005e7c606b36d9c3dd #d,-,18,2702,2357,1478,38,0,200800,12449,2856,2361,1478,2702,2357,1150,98,100,0,500,2742;
@400000005e7c606b36e4a83e #d,-,18,3012,2358,1184,39,0,200832,12451,3012,2360,1478,2702,2357,1175,98,100,0,500,3054;
@400000005e7c606d36f44c00 #d,-,18,2738,2357,1158,40,0,200692,12442,3012,2359,1184,2738,2357,1150,98,100,0,500,2776;
@400000005e7c606d36febbf7 #d,-,18,2901,2358,1172,41,0,201269,12478,2901,2358,1398,2738,2354,1158,100,100,0,500,2901;
@400000005e7c606f3707305b #d,-,18,2798,2359,1152,42,0,200820,12450,2901,2359,1205,2798,2356,1148,97,100,0,500,2876;
