@400000005e7db1d2208247c4 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7db1d30eda2b06 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7db1d314e95900 #f,-,48,177,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e7db1d514ffa7de #d,-,18,2726,2343,1173,1,0,195478,12119,2726,2344,1182,2726,2342,1173,98,100,0,500,2757;
@400000005e7db1d715100318 #d,-,18,2726,2345,1194,1,0,196348,12173,2726,2345,1204,2726,2343,1173,98,100,0,500,2760;
@400000005e7db1d7151a67e2 #d,-,18,2730,2344,1171,2,0,195987,12151,2730,2345,1194,2726,2344,1166,98,100,0,500,2785;
@400000005e7db1d91528697a #d,-,18,2729,2343,1171,3,0,195872,12144,2730,2345,1175,2729,2343,1171,98,100,0,500,2757;
@400000005e7db1d91533e2de #d,-,18,2729,2344,1173,4,0,195740,12135,2729,2345,1173,2729,2342,1170,98,100,0,500,2757;
@400000005e7db1db1544cab9 #d,-,18,2728,2342,1172,4,0,198678,12318,2729,2345,1175,2728,2342,1172,98,100,0,500,2758;
@400000005e7db1db154fe6fc #d,-,18,2728,2343,1202,5,0,198495,12306,2728,2344,1203,2728,2342,1171,98,100,0,500,2757;
@400000005e7db1dd155f11ab #d,-,18,3208,2343,1533,6,0,205619,12748,3208,2346,1702,2728,2342,1192,100,100,0,500,3208;
@400000005e7db1dd15688bc3 #d,-,18,3787,2341,1683,7,0,210912,13076,3787,2343,1725,3208,2341,1533,98,100,0,500,3826;
@400000005e7db1df1579291d #d,-,18,3784,2343,1656,8,0,216925,13449,3787,2343,1705,3784,2340,1559,99,100,0,500,3808;
@400000005e7db1df1583cc4d #d,-,18,3538,2345,1161,9,0,216348,13413,3784,2346,1656,3538,2343,1139,96,100,0,500,3655;
@400000005e7db1e1158c446b #d,-,18,2684,2344,1249,10,0,214906,13324,3538,2345,1249,2684,2343,1156,98,100,0,500,2719;
@400000005e7db1e115934caa #d,-,18,2794,2345,1166,11,0,213502,13237,2794,2345,1249,2684,2344,1156,98,100,0,500,2826;
@400000005e7db1e3159c516a #d,-,18,2720,2343,1169,12,0,212281,13161,2794,2345,1181,2720,2343,1166,98,100,0,500,2748;
@400000005e7db1e315a33aed #d,-,18,2720,2344,1173,12,0,211209,13094,2720,2344,1174,2720,2342,1169,98,100,0,500,2757;
@400000005e7db1e515ac56f5 #d,-,18,2721,2344,1174,13,0,210265,13036,2721,2344,1175,2720,2343,1173,98,100,0,500,2758;
@400000005e7db1e515b3345d #d,-,18,2721,2343,1202,14,0,209482,12987,2721,2344,1202,2721,2342,1173,98,100,0,500,2758;
@400000005e7db1e715bd103f #d,-,18,2726,2344,1175,15,0,208784,12944,2726,2344,1206,2721,2342,1167,97,100,0,500,2790;
@400000005e7db1e715c86ea1 #d,-,18,2725,2343,1173,15,0,209163,12968,2726,2345,1175,2725,2343,1173,98,100,0,500,2755;
@400000005e7db1e915d16746 #d,-,18,2725,2343,1172,16,0,207490,12864,2725,2344,1175,2725,2341,1172,98,100,0,500,2757;
@400000005e7db1e915dcae5f #d,-,18,2726,2344,1173,17,0,206935,12830,2726,2344,1175,2725,2342,1172,98,100,0,500,2758;
@400000005e7db1eb15e78b4d #d,-,18,2725,2339,1734,18,0,208808,12946,2726,2345,1734,2725,2339,1172,98,100,0,500,2758;
@400000005e7db1eb15ed408c #d,-,18,3701,2339,1642,19,0,210680,13062,3701,2340,1734,2725,2338,1570,100,100,0,500,3701;
@400000005e7db1ed15fb45dd #d,-,18,3830,2342,1571,20,0,213115,13213,3830,2342,1690,3701,2339,1549,99,100,0,500,3831;
@400000005e7db1ed16069824 #d,-,18,3831,2342,1189,21,0,214770,13315,3831,2343,1701,3830,2341,1189,98,100,0,500,3874;
@400000005e7db1ef1613b3b2 #d,-,18,2937,2340,1182,21,0,214010,13268,3831,2343,1197,2937,2340,1120,95,100,0,500,3072;
@400000005e7db1ef161e3f99 #d,-,18,2734,2341,1202,22,0,213363,13228,2937,2341,1202,2734,2340,1162,98,100,0,500,2771;
@400000005e7db1f1162f8496 #d,-,18,2739,2340,1174,23,0,212788,13192,2739,2341,1207,2734,2340,1164,97,100,0,500,2801;
@400000005e7db1f1163a081c #d,-,18,2736,2342,1184,24,0,212226,13158,2739,2342,1184,2736,2340,1174,99,100,0,500,2753;
@400000005e7db1f31649a46a #d,-,18,2737,2342,1183,24,0,211718,13126,2737,2342,1184,2736,2342,1180,98,100,0,500,2773;
@400000005e7db1f316551dce #d,-,18,2737,2341,1175,25,0,211211,13095,2737,2342,1184,2737,2340,1173,98,100,0,500,2771;
@400000005e7db1f516664c71 #d,-,18,2735,2341,1176,26,0,210729,13065,2737,2342,1176,2735,2340,1174,99,100,0,500,2760;
@400000005e7db1f51671640c #d,-,18,2739,2343,1170,27,0,210334,13040,2739,2343,1207,2735,2340,1166,98,100,0,500,2785;
@400000005e7db1f716829668 #d,-,18,2736,2343,1173,27,0,209905,13014,2739,2344,1176,2736,2342,1170,99,100,0,500,2760;
@400000005e7db1f7168d410b #d,-,18,2735,2341,1174,28,0,209499,12988,2736,2343,1175,2735,2341,1173,99,100,0,500,2757;
@400000005e7db1f91698c2d1 #d,-,18,2734,2342,1173,29,0,209117,12965,2735,2342,1176,2734,2341,1173,99,100,0,500,2758;
@400000005e7db1f9169ed8ec #d,-,18,3131,2341,1542,30,0,210408,13045,3131,2342,1721,2734,2338,1173,100,100,0,500,3131;
@400000005e7db1fb16a69d4b #d,-,18,3824,2339,1678,31,0,212726,13189,3824,2342,1744,3131,2339,1542,99,100,0,500,3860;
@400000005e7db1fb16aa8589 #d,-,18,3820,2338,1674,32,0,213792,13255,3824,2340,1704,3820,2338,1567,99,100,0,500,3846;
@400000005e7db1fd16b416ea #d,-,18,3594,2338,1169,33,0,213804,13255,3820,2340,1674,3594,2337,1132,97,100,0,500,3702;
@400000005e7db1fd16ba444c #d,-,18,2681,2338,1208,34,0,213874,13260,3594,2339,1208,2681,2338,1161,98,100,0,500,2724;
@400000005e7db1ff16c490df #d,-,18,2759,2338,1169,35,0,212962,13203,2759,2339,1216,2681,2337,1167,98,100,0,500,2789;
@400000005e7db1ff16cb3489 #d,-,18,2756,2338,1168,35,0,212611,13181,2759,2339,1212,2756,2337,1168,99,100,0,500,2758;
@400000005e7db20116d63895 #d,-,18,2753,2340,1174,36,0,212222,13157,2756,2340,1176,2753,2337,1167,99,100,0,500,2776;
@400000005e7db20116dc7a75 #d,-,18,2750,2340,1174,37,0,211857,13135,2753,2341,1178,2750,2340,1174,99,100,0,500,2757;
@400000005e7db20316e7f01f #d,-,18,2747,2340,1174,38,0,211504,13113,2750,2341,1177,2747,2340,1174,99,100,0,500,2760;
@400000005e7db20316ee7f4c #d,-,18,2744,2340,1175,38,0,211613,13120,2747,2341,1178,2744,2339,1174,99,100,0,500,2758;
@400000005e7db20516fa89fa #d,-,18,2744,2338,1173,39,0,210891,13075,2744,2340,1208,2744,2337,1173,99,100,0,500,2765;
@400000005e7db2051701e8d6 #d,-,18,2743,2338,1176,40,0,210576,13055,2744,2339,1179,2743,2337,1167,98,100,0,500,2780;
@400000005e7db207170f68f9 #d,-,18,2741,2340,1174,41,0,210277,13037,2743,2340,1176,2741,2337,1174,99,100,0,500,2758;
@400000005e7db2071718d7e4 #d,-,18,2739,2336,1716,41,0,210489,13050,2741,2340,1716,2739,2336,1174,99,100,0,500,2757;
@400000005e7db20917251034 #d,-,18,3596,2337,1674,43,0,211716,13126,3596,2337,1734,2739,2336,1548,100,100,0,500,3596;
@400000005e7db209172b5214 #d,-,18,3854,2336,1584,44,0,212868,13197,3854,2338,1720,3596,2335,1563,100,100,0,500,3854;
@400000005e7db20b1734100c #d,-,18,3856,2339,1238,44,0,213712,13250,3856,2339,1713,3854,2335,1238,98,100,0,500,3903;
@400000005e7db20b1737d12c #d,-,18,2977,2341,1183,45,0,213328,13226,3856,2341,1238,2977,2338,1130,95,100,0,500,3121;
@400000005e7db20d1741db9f #d,-,18,2759,2341,1168,46,0,213050,13209,2977,2341,1218,2759,2340,1167,99,100,0,500,2785;
@400000005e7db20d1747af9a #d,-,18,2753,2340,1178,47,0,212745,13190,2759,2341,1182,2753,2340,1168,100,100,0,500,2753;
@400000005e7db20f1753aa72 #d,-,18,2750,2342,1198,47,0,212488,13174,2753,2342,1206,2750,2339,1173,99,100,0,500,2764;
@400000005e7db20f1759bcd3 #d,-,18,2750,2340,1175,48,0,212202,13156,2750,2342,1198,2750,2340,1169,98,100,0,500,2785;
@400000005e7db2111764f417 #d,-,18,2748,2340,1175,49,0,211924,13139,2750,2341,1176,2748,2339,1173,99,100,0,500,2760;
@400000005e7db211176ba6a8 #d,-,18,2745,2339,1175,50,0,211659,13122,2748,2340,1179,2745,2338,1174,99,100,0,500,2762;
@400000005e7db2131776a340 #d,-,18,2743,2341,1174,51,0,211400,13106,2745,2341,1177,2743,2339,1174,99,100,0,500,2760;
@400000005e7db213177d5217 #d,-,18,2741,2341,1205,51,0,211182,13093,2743,2341,1206,2741,2340,1174,99,100,0,500,2758;
@400000005e7db215178bb579 #d,-,18,2743,2343,1173,52,0,210939,13078,2743,2344,1205,2741,2341,1168,98,100,0,500,2789;
@400000005e7db21517952bd7 #d,-,18,2741,2342,1174,53,0,210703,13063,2743,2344,1176,2741,2341,1173,99,100,0,500,2757;
@400000005e7db21717a40fbe #d,-,18,3102,2341,1558,54,0,211728,13127,3102,2342,1719,2741,2338,1172,100,100,0,500,3102;
@400000005e7db21717adc0ca #d,-,18,3832,2340,1665,55,0,212364,13166,3832,2343,1726,3102,2339,1558,99,100,0,500,3865;
@400000005e7db21917b98007 #d,-,18,3776,2340,1712,56,0,213317,13225,3832,2343,1732,3776,2339,1565,98,100,0,500,3821;
@400000005e7db21917c071ec #d,-,18,3630,2343,1168,57,0,213342,13227,3776,2345,1712,3630,2340,1129,97,100,0,500,3742;
@400000005e7db21b17cc1628 #d,-,18,2683,2341,1199,58,0,213419,13232,3630,2344,1217,2683,2340,1159,98,100,0,500,2721;
@400000005e7db21b17d2d4d4 #d,-,18,2761,2342,1170,58,0,213155,13215,2761,2343,1199,2683,2341,1167,98,100,0,500,2794;
@400000005e7db21d17df677a #d,-,18,2756,2343,1173,59,0,212622,13182,2761,2343,1183,2756,2341,1170,100,100,0,500,2756;
@400000005e7db21d17e6b2c8 #d,-,18,2752,2341,1201,60,0,212401,13168,2756,2343,1201,2752,2341,1172,99,100,0,500,2757;
@400000005e7db21f17f3456e #d,-,18,2752,2343,1174,61,0,212187,13155,2752,2344,1205,2752,2341,1167,98,100,0,500,2790;
@400000005e7db21f17fc2310 #d,-,18,2749,2342,1175,61,0,211967,13142,2752,2344,1177,2749,2342,1173,99,100,0,500,2753;
@400000005e7db221180ac4d8 #d,-,18,2746,2341,1174,62,0,211751,13128,2749,2342,1175,2746,2341,1173,99,100,0,500,2760;
@400000005e7db2211813b9c2 #d,-,18,2743,2342,1173,63,0,211541,13115,2746,2342,1177,2743,2341,1173,99,100,0,500,2760;
@400000005e7db2231821c775 #d,-,18,2742,2340,1193,64,0,211342,13103,2743,2342,1193,2742,2340,1173,99,100,0,500,2758;
@400000005e7db223182ba711 #d,-,18,2744,2342,1175,64,0,211161,13092,2744,2342,1208,2742,2340,1167,98,100,0,500,2790;
@400000005e7db225183a64c9 #d,-,18,2741,2337,1717,65,0,211590,13118,2744,2342,1717,2741,2337,1174,99,100,0,500,2755;
@400000005e7db2251843d2c6 #d,-,18,3623,2340,1653,66,0,212078,13148,3623,2340,1717,2741,2337,1542,100,100,0,500,3623;
@400000005e7db227184e9fdf #d,-,18,3838,2340,1591,67,0,212804,13193,3838,2340,1692,3623,2337,1563,100,100,0,500,3838;
@400000005e7db2271854f908 #d,-,18,3840,2341,1207,68,0,213316,13225,3840,2341,1701,3838,2338,1207,98,100,0,500,3887;
@400000005e7db22918643aff #d,-,18,2964,2340,1205,69,0,213114,13213,3840,2342,1207,2964,2340,1161,95,100,0,500,3100;
@400000005e7db229186ee1e9 #d,-,18,2741,2341,1178,70,0,212906,13200,2964,2341,1205,2741,2339,1163,98,100,0,500,2778;
@400000005e7db22b187ee3ba #d,-,18,2739,2340,1174,71,0,212708,13187,2741,2342,1184,2739,2340,1172,99,100,0,500,2757;
@400000005e7db22b188a39bb #d,-,18,2737,2342,1175,71,0,212511,13175,2739,2343,1176,2737,2340,1173,99,100,0,500,2757;
@400000005e7db22d1899d609 #d,-,18,2736,2340,1175,72,0,212560,13178,2737,2342,1178,2736,2339,1174,99,100,0,500,2758;
@400000005e7db22d18a47491 #d,-,18,2738,2341,1170,73,0,212154,13153,2738,2342,1207,2736,2338,1167,98,100,0,500,2783;
@400000005e7db22f18b59bc0 #d,-,18,2737,2340,1174,74,0,212207,13156,2738,2342,1178,2737,2340,1170,99,100,0,500,2764;
@400000005e7db22f18c0554a #d,-,18,2735,2343,1174,74,0,211791,13131,2737,2343,1176,2735,2340,1174,99,100,0,500,2760;
@400000005e7db23118d183ed #d,-,18,2734,2341,1174,75,0,211615,13120,2735,2343,1177,2734,2341,1173,99,100,0,500,2758;
