@400000005e81956c36532e84 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e81956d24a92d7d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e81956d2abb2983 #f,-,48,197,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e81956f2acfa7a7 #d,-,18,2712,2397,1144,0,0,189490,11748,2712,2397,1167,2709,2395,1144,98,100,0,500,2767;
@400000005e8195712ae0ed93 #d,-,18,2711,2398,1142,1,0,191340,11863,2712,2398,1144,2711,2395,1141,98,100,0,500,2742;
@400000005e8195712aeb64fd #d,-,18,2710,2397,1142,2,0,192102,11910,2711,2398,1143,2710,2395,1141,98,100,0,500,2742;
@400000005e8195732afa1788 #d,-,18,2710,2398,1142,3,0,192517,11936,2710,2398,1143,2710,2395,1141,98,100,0,500,2742;
@400000005e8195732b047b63 #d,-,18,2709,2394,1172,3,0,193040,11968,2710,2398,1172,2709,2391,1140,98,100,0,500,2742;
@400000005e8195752b110a50 #d,-,18,2712,2394,1145,4,0,193263,11982,2712,2395,1172,2709,2392,1137,97,100,0,500,2771;
@400000005e8195752b1c31c0 #d,-,18,2711,2396,1142,5,0,193353,11987,2712,2396,1145,2711,2393,1142,98,100,0,500,2742;
@400000005e8195772b2a149b #d,-,18,2710,2393,1143,6,0,193422,11992,2711,2396,1144,2710,2392,1142,98,100,0,500,2744;
@400000005e8195772b34a34e #d,-,18,2710,2392,1144,6,0,193488,11996,2710,2394,1147,2710,2385,1142,98,100,0,500,2742;
@400000005e8195792b41d625 #d,-,18,2709,2392,1166,7,0,193603,12003,2710,2394,1166,2709,2392,1142,98,100,0,500,2742;
@400000005e8195792b4cd676 #d,-,18,2712,2390,1145,8,0,193717,12010,2712,2394,1171,2709,2390,1137,97,100,0,500,2771;
