@400000005e82e9d71d1d1fa0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e82e9d80b714ecc #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e82e9d81179677d #f,-,48,37,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e82e9da118ecbaa #d,-,18,2687,2372,1149,0,0,192406,11929,2687,2374,1174,2681,2371,1142,98,100,0,500,2737;
@400000005e82e9dc119e77ce #d,-,18,2688,2371,1145,1,0,192456,11932,2688,2374,1149,2687,2371,1143,98,100,0,500,2726;
@400000005e82e9dc11a939b9 #d,-,18,2688,2373,1144,2,0,192542,11937,2688,2373,1146,2688,2370,1143,98,100,0,500,2723;
@400000005e82e9de11b3ef8a #d,-,18,2688,2371,1145,3,0,197199,12226,2688,2374,1147,2688,2371,1144,98,100,0,500,2723;
@400000005e82e9de11be1d61 #d,-,18,2689,2370,1152,3,0,193045,11968,2689,2371,1174,2688,2369,1145,98,100,0,500,2728;
@400000005e82e9e011c9066a #d,-,18,2691,2371,1146,4,0,192945,11962,2691,2372,1152,2689,2369,1139,97,100,0,500,2746;
@400000005e82e9e011d3cc10 #d,-,18,2691,2370,1145,5,0,192902,11959,2691,2371,1147,2691,2369,1145,98,100,0,500,2724;
@400000005e82e9e211e3ca28 #d,-,18,2691,2370,1148,6,0,192908,11960,2691,2371,1149,2691,2369,1145,98,100,0,500,2724;
@400000005e82e9e211ee1e2e #d,-,18,2691,2368,1146,6,0,192902,11959,2691,2371,1149,2691,2368,1146,98,100,0,500,2728;
@400000005e82e9e411fab936 #d,-,18,2691,2367,1169,7,0,193096,11971,2691,2369,1175,2691,2366,1146,98,100,0,500,2724;
@400000005e82e9e4120562eb #d,-,18,2694,2368,1146,8,0,193045,11968,2694,2369,1169,2691,2367,1140,98,100,0,500,2748;
@400000005e82e9e61211617d #d,-,18,2693,2368,1146,9,0,193029,11967,2694,2369,1148,2693,2367,1146,98,100,0,500,2724;
@400000005e82e9e6121bd52e #d,-,18,2693,2371,1145,9,0,194470,12057,2693,2371,1148,2693,2368,1145,98,100,0,500,2724;
@400000005e82e9e81227533a #d,-,18,2692,2371,1146,10,0,192981,11964,2693,2371,1147,2692,2368,1144,98,100,0,500,2723;
@400000005e82e9e8122e5b79 #d,-,18,2692,2368,1175,11,0,194356,12050,2692,2371,1175,2692,2368,1145,98,100,0,500,2724;
@400000005e82e9ea1236ac7a #d,-,18,2695,2370,1243,12,0,193350,11987,2695,2370,1243,2692,2368,1140,98,100,0,500,2749;
@400000005e82e9ea123db961 #d,-,18,2895,2370,1256,12,0,194429,12054,2895,2371,1265,2695,2369,1243,99,100,0,500,2901;
@400000005e82e9ec124e4f48 #d,-,18,2950,2370,1128,13,0,194999,12089,2950,2372,1256,2895,2370,1128,98,100,0,500,2981;
@400000005e82e9ec12589f94 #d,-,18,2717,2371,1139,14,0,194848,12080,2950,2372,1148,2717,2369,1126,97,100,0,500,2776;
@400000005e82e9ee126804f0 #d,-,18,2710,2369,1163,15,0,194691,12070,2717,2372,1163,2710,2369,1131,100,100,0,500,2710;
@400000005e82e9ee12723ee2 #d,-,18,2709,2371,1138,15,0,194579,12063,2710,2371,1168,2709,2369,1133,99,100,0,500,2732;
@400000005e82e9f0127ac9a1 #d,-,18,2704,2370,1138,16,0,194433,12054,2709,2372,1138,2704,2370,1136,100,100,0,500,2704;
@400000005e82e9f012801d16 #d,-,18,2699,2373,1135,17,0,195133,12098,2704,2374,1139,2699,2370,1135,99,100,0,500,2705;
@400000005e82e9f2128d86df #d,-,18,2696,2372,1134,18,0,194165,12038,2699,2373,1138,2696,2371,1134,99,100,0,500,2705;
@400000005e82e9f21295575a #d,-,18,2779,2372,1269,18,0,194785,12076,2779,2373,1281,2696,2370,1133,99,100,0,500,2781;
@400000005e82e9f4129dc717 #d,-,18,2971,2373,1252,19,0,195444,12117,2971,2373,1280,2779,2370,1245,98,100,0,500,3009;
@400000005e82e9f412a433ce #d,-,18,2811,2371,1140,20,0,195329,12110,2971,2374,1252,2811,2371,1115,97,100,0,500,2872;
@400000005e82e9f612b0228b #d,-,18,2672,2372,1137,21,0,195188,12101,2811,2373,1140,2672,2370,1137,98,100,0,500,2703;
@400000005e82e9f612baff79 #d,-,18,2671,2371,1138,21,0,195060,12093,2672,2372,1138,2671,2369,1137,98,100,0,500,2705;
@400000005e82e9f812c43b2b #d,-,18,2671,2369,1146,22,0,194944,12086,2671,2372,1146,2671,2369,1137,98,100,0,500,2705;
@400000005e82e9f812cc9ecd #d,-,18,2675,2371,1138,23,0,195505,12121,2675,2371,1166,2671,2368,1131,97,100,0,500,2733;
