@400000005e843a8406488cee #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e843a8430353b5f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e843a843643b954 #f,-,48,89,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e843a863655e9f0 #d,-,18,2720,2382,1154,1,0,191558,11876,2720,2384,1155,2718,2381,1148,98,100,0,500,2758;
@400000005e843a88365fd100 #d,-,18,2720,2382,1153,2,0,192637,11943,2720,2384,1155,2720,2381,1153,98,100,0,500,2757;
@400000005e843a88366ac8f0 #d,-,18,2720,2380,1153,3,0,193203,11978,2720,2382,1157,2720,2379,1152,98,100,0,500,2755;
@400000005e843a8a367b1cb6 #d,-,18,2721,2380,1158,3,0,193988,12027,2721,2382,1183,2720,2378,1153,98,100,0,500,2758;
@400000005e843a8a368536ff #d,-,18,2723,2381,1155,4,0,197301,12232,2723,2381,1158,2721,2378,1149,98,100,0,500,2778;
@400000005e843a8c368e98e0 #d,-,18,2723,2379,1155,5,0,194258,12044,2723,2382,1156,2723,2378,1154,98,100,0,500,2757;
@400000005e843a8c3699acc1 #d,-,18,2723,2381,1156,6,0,194363,12050,2723,2381,1157,2723,2377,1154,98,100,0,500,2757;
@400000005e843a8e36aa2032 #d,-,18,2723,2379,1155,6,0,194445,12055,2723,2381,1156,2723,2378,1154,98,100,0,500,2755;
@400000005e843a8e36b43218 #d,-,18,2723,2378,1171,7,0,194703,12071,2723,2380,1183,2723,2378,1154,98,100,0,500,2757;
@400000005e843a9036c3e969 #d,-,18,2726,2379,1156,8,0,194721,12072,2726,2379,1171,2723,2376,1150,98,100,0,500,2780;
@400000005e843a9036ce807d #d,-,18,2725,2379,1155,9,0,194754,12074,2726,2380,1156,2725,2377,1153,98,100,0,500,2757;
@400000005e843a9236da8ee4 #d,-,18,2725,2379,1153,9,0,194773,12075,2725,2380,1156,2725,2378,1153,98,100,0,500,2757;
@400000005e843a9236e50a08 #d,-,18,2724,2381,1154,10,0,196172,12162,2725,2381,1154,2724,2379,1152,98,100,0,500,2755;
@400000005e843a9436ed5ec3 #d,-,18,2724,2378,1182,11,0,196224,12165,2724,2381,1183,2724,2377,1153,98,100,0,500,2753;
@400000005e843a9436f59fee #d,-,18,2726,2379,1155,12,0,196142,12160,2726,2380,1182,2724,2378,1148,98,100,0,500,2781;
@400000005e843a9637072440 #d,-,18,2726,2375,1663,12,0,196617,12190,2726,2379,1663,2726,2375,1154,98,100,0,500,2755;
@400000005e843a9637129da4 #d,-,18,3690,2375,1450,13,0,200223,12413,3690,2377,1672,2726,2374,1432,100,100,0,500,3690;
@400000005e843a9837248fdb #d,-,18,3535,2375,1619,15,0,203561,12620,3690,2377,1630,3535,2374,1387,98,100,0,500,3607;
@400000005e843a98372f8411 #d,-,18,3719,2375,1591,15,0,206461,12800,3719,2376,1619,3535,2373,1501,99,100,0,500,3726;
@400000005e843a9a37403d5c #d,-,18,3608,2376,1612,16,0,209318,12977,3719,2379,1644,3608,2373,1410,99,100,0,500,3637;
@400000005e843a9a374a9250 #d,-,18,3725,2376,1592,18,0,211644,13121,3725,2378,1612,3608,2376,1490,99,100,0,500,3762;
@400000005e843a9c375a694b #d,-,18,3642,2379,1564,19,0,214896,13323,3725,2380,1640,3642,2376,1420,99,100,0,500,3645;
@400000005e843a9c37650f46 #d,-,18,3644,2378,1521,20,0,215795,13379,3644,2380,1592,3642,2377,1476,98,100,0,500,3716;
@400000005e843a9e3774cef8 #d,-,18,3239,2380,1171,20,0,215100,13336,3644,2381,1521,3239,2378,1123,96,100,0,500,3349;
@400000005e843a9e377e6f40 #d,-,18,2707,2380,1158,21,0,214283,13285,3239,2382,1171,2707,2379,1133,98,100,0,500,2739;
@400000005e843aa0378e84a0 #d,-,18,2711,2381,1148,22,0,213639,13245,2711,2381,1190,2707,2379,1144,97,100,0,500,2769;
@400000005e843aa03797df0e #d,-,18,2711,2381,1155,23,0,212982,13204,2711,2382,1158,2711,2379,1148,98,100,0,500,2749;
@400000005e843aa237a721f4 #d,-,18,2713,2379,1155,23,0,212366,13166,2713,2381,1156,2711,2378,1153,98,100,0,500,2758;
@400000005e843aa237b0e1e6 #d,-,18,2714,2376,1171,24,0,212517,13176,2714,2380,1171,2713,2376,1155,98,100,0,500,2757;
@400000005e843aa437bfeceb #d,-,18,2719,2379,1158,25,0,211323,13102,2719,2380,1185,2714,2376,1149,97,100,0,500,2787;
@400000005e843aa437c991da #d,-,18,2719,2381,1155,26,0,210827,13071,2719,2381,1159,2719,2376,1154,98,100,0,500,2753;
@400000005e843aa637d9aeae #d,-,18,2720,2378,1157,26,0,210354,13041,2720,2382,1157,2719,2377,1153,98,100,0,500,2758;
@400000005e843aa637e44209 #d,-,18,2720,2380,1155,27,0,209905,13014,2720,2381,1157,2720,2378,1153,98,100,0,500,2755;
@400000005e843aa837f45edd #d,-,18,2720,2383,1157,28,0,209488,12988,2720,2383,1157,2720,2378,1153,98,100,0,500,2755;
@400000005e843aa837ff1d0f #d,-,18,2724,2382,1154,29,0,209136,12966,2724,2383,1182,2720,2380,1148,97,100,0,500,2781;
@400000005e843aaa380fa320 #d,-,18,2723,2382,1154,29,0,208760,12943,2724,2382,1156,2723,2380,1153,98,100,0,500,2757;
@400000005e843aaa3819f0a2 #d,-,18,2722,2382,1153,30,0,208400,12920,2723,2383,1155,2722,2381,1153,98,100,0,500,2755;
@400000005e843aac382a76b3 #d,-,18,2722,2382,1154,31,0,208058,12899,2722,2384,1155,2722,2381,1152,98,100,0,500,2755;
@400000005e843aac3834ea63 #d,-,18,2722,2382,1154,32,0,207734,12879,2722,2383,1155,2722,2381,1152,98,100,0,500,2755;
@400000005e843aae3845320f #d,-,18,2725,2381,1147,32,0,207470,12863,2725,2384,1182,2722,2381,1146,98,100,0,500,2774;
@400000005e843aae384f834a #d,-,18,2724,2382,1151,33,0,207172,12844,2725,2384,1155,2724,2381,1147,98,100,0,500,2760;
@400000005e843ab0385fcaf5 #d,-,18,2724,2380,1152,34,0,206888,12827,2724,2382,1156,2724,2379,1151,98,100,0,500,2753;
