@400000005e8ad25514bb6ec7 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e8ad256030d5337 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8ad256091dc191 #f,-,48,117,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e8ad258092fbef5 #d,-,18,2767,2361,1184,0,0,189645,11758,2769,2361,1184,2765,2359,1176,99,100,0,499,2794;
@400000005e8ad25a09393cc7 #d,-,18,2768,2357,1182,1,0,193280,11983,2768,2361,1184,2767,2357,1179,98,100,0,499,2799;
@400000005e8ad25a093e2e72 #d,-,18,2767,2360,1181,2,0,194713,12072,2768,2361,1182,2767,2356,1178,98,100,0,499,2796;
@400000005e8ad25c09468e5a #d,-,18,2767,2361,1192,3,0,195569,12125,2767,2361,1192,2767,2357,1179,98,100,0,499,2797;
@400000005e8ad25c094b1a81 #d,-,18,2770,2360,1180,4,0,200032,12402,2770,2361,1210,2767,2357,1174,98,100,0,499,2824;
@400000005e8ad25e095b3755 #d,-,18,2769,2358,1183,4,0,196613,12190,2770,2362,1183,2769,2356,1177,99,100,0,499,2790;
@400000005e8ad25e0965d311 #d,-,18,2768,2359,1181,5,0,196807,12202,2769,2362,1183,2768,2358,1178,98,100,0,499,2797;
@400000005e8ad26009761e76 #d,-,18,2768,2360,1178,6,0,196954,12211,2768,2361,1182,2768,2358,1177,98,100,0,499,2796;
@400000005e8ad26009805b34 #d,-,18,2767,2359,1182,7,0,197105,12220,2768,2360,1183,2767,2357,1178,98,100,0,499,2796;
@400000005e8ad26209908423 #d,-,18,2771,2359,1179,7,0,197393,12238,2771,2360,1212,2767,2357,1173,98,100,0,499,2824;
@400000005e8ad262099aa999 #d,-,18,2769,2361,1180,8,0,197469,12243,2771,2361,1183,2769,2357,1179,98,100,0,499,2797;
@400000005e8ad26409a2ebb3 #d,-,18,2769,2361,1181,9,0,197524,12246,2769,2361,1181,2769,2358,1179,99,100,0,499,2796;
@400000005e8ad26409a7299f #d,-,18,2768,2359,1179,10,0,197571,12249,2769,2362,1181,2768,2358,1178,98,100,0,499,2796;
@400000005e8ad26609b457cd #d,-,18,2767,2360,1180,10,0,197604,12251,2768,2362,1180,2767,2358,1178,99,100,0,499,2794;
@400000005e8ad26609bf590e #d,-,18,2770,2362,1173,11,0,197745,12260,2770,2362,1208,2767,2359,1171,98,100,0,499,2817;
@400000005e8ad26809d296d1 #d,-,18,2769,2361,1180,12,0,197763,12261,2770,2362,1180,2769,2359,1173,98,100,0,499,2797;
@400000005e8ad26809dfcd62 #d,-,18,2768,2360,1178,13,0,197779,12262,2769,2362,1181,2768,2359,1178,98,100,0,499,2796;
@400000005e8ad26a09ea4886 #d,-,18,2767,2358,1679,13,0,199024,12339,2768,2362,1679,2767,2358,1177,99,100,0,499,2792;
@400000005e8ad26a09ee2950 #d,-,18,3623,2362,1212,15,0,202372,12547,3623,2362,1692,2767,2357,1209,100,100,0,499,3623;
@400000005e8ad26c09fb8ab7 #d,-,18,2949,2360,1222,15,0,202740,12569,3623,2362,1271,2949,2359,1212,97,100,0,499,3038;
@400000005e8ad26c0a060e3d #d,-,18,2892,2358,1238,16,0,201998,12523,2949,2362,1238,2892,2357,1222,98,100,0,499,2929;
@400000005e8ad26e0a1607ad #d,-,18,2889,2359,1155,17,0,201899,12517,2892,2362,1238,2889,2357,1154,99,100,0,499,2906;
@400000005e8ad26e0a20552f #d,-,18,2719,2362,1165,18,0,201600,12499,2889,2362,1167,2719,2358,1155,98,100,0,499,2760;
@400000005e8ad2700a29f1bc #d,-,18,2719,2361,1162,18,0,201330,12482,2719,2362,1165,2719,2357,1161,98,100,0,499,2757;
