@400000005e8c23820862be00 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e8c2382324cc581 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8c2382385b5e78 #f,-,48,173,436,1,4803,0,0,65535,0,150,1177,177,10481,276,203,3340,13,121719,86,50084,105837,25,2629,11458,0,64,1,4686,0,0,65535,0,150,1030,182,11055,266,212,3240,13,121394,92,49362,104176,24,2613,13005,0,71;
@400000005e8c2384386ebfa0 #d,-,18,2764,2382,1161,1,0,193993,12027,2773,2382,1164,2764,2378,1160,100,100,0,501,2764;
@400000005e8c2386387ac95f #d,-,18,2761,2380,1160,2,0,194680,12070,2764,2382,1162,2761,2380,1160,99,100,0,501,2765;
@400000005e8c238638858b4a #d,-,18,2760,2380,1153,2,0,195515,12121,2761,2382,1191,2760,2379,1152,99,100,0,501,2783;
@400000005e8c2388389060c5 #d,-,18,2757,2382,1161,3,0,195589,12126,2760,2382,1163,2757,2378,1153,99,100,0,501,2774;
@400000005e8c2388389af331 #d,-,18,2754,2379,1160,4,0,195657,12130,2757,2382,1162,2754,2379,1160,99,100,0,501,2764;
@400000005e8c238a38aaddbb #d,-,18,2752,2377,1162,5,0,195705,12133,2754,2381,1162,2752,2376,1159,99,100,0,501,2765;
@400000005e8c238a38b522da #d,-,18,2749,2380,1161,5,0,195727,12135,2752,2380,1163,2749,2377,1159,99,100,0,501,2764;
@400000005e8c238c38c4416e #d,-,18,2750,2378,1154,6,0,195999,12151,2750,2380,1192,2749,2377,1154,99,100,0,501,2774;
@400000005e8c238c38cf2f1f #d,-,18,2749,2378,1160,7,0,195987,12151,2750,2380,1164,2749,2375,1153,98,100,0,501,2780;
@400000005e8c238e38dab76a #d,-,18,2747,2375,1161,8,0,195977,12150,2749,2379,1163,2747,2375,1159,99,100,0,501,2764;
@400000005e8c238e38e4e541 #d,-,18,2745,2379,1160,8,0,195969,12150,2747,2379,1163,2745,2375,1160,99,100,0,501,2765;
@400000005e8c239038f41fc6 #d,-,18,2744,2377,1160,9,0,195979,12150,2745,2379,1163,2744,2376,1159,99,100,0,501,2762;
@400000005e8c239038ff2fec #d,-,18,2744,2380,1162,10,0,196135,12160,2744,2380,1193,2744,2377,1160,99,100,0,501,2769;
@400000005e8c2392390f6c6b #d,-,18,2745,2378,1158,11,0,196096,12157,2745,2381,1162,2744,2378,1153,98,100,0,501,2787;
@400000005e8c23923919e78f #d,-,18,2743,2381,1158,11,0,196083,12157,2745,2381,1163,2743,2377,1158,99,100,0,501,2762;
